字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	超能战士妮塔		居然出现了第四个保护节点，这意味着什么？	0	2.7版本妮塔入队剧情
page1.2	恒沙		超能战士妮塔，别再向前了……最后一个保护节点，是我留给彼此的喘息之机。	0	2.7版本妮塔入队剧情
page1.3	恒沙		我已经被邪恶入侵，不再是人类的指引者……	0	2.7版本妮塔入队剧情
page1.4	超能战士妮塔		那我就摧毁你，也好过……	0	2.7版本妮塔入队剧情
page1.5	恒沙		摧毁？你可以吗？真相会把你的勇气碾碎，让你陷入绝望的深渊。	0	2.7版本妮塔入队剧情
page1.6	H主角		妮塔……我们是该回头了。	0	2.7版本妮塔入队剧情
page1.7	超能战士妮塔		playername！为什么连你也……	0	2.7版本妮塔入队剧情
page1.8	超能战士妮塔		不，我不会离开，为了拯救弱小，再残酷的真相也不能让我退后一步。	0	2.7版本妮塔入队剧情
page1.9	H主角		……	0	2.7版本妮塔入队剧情
page1.10	H主角		实际上，你一直寻找的核心就是我。抱歉，我并非人类……	0	2.7版本妮塔入队剧情
page1.11	H主角		为了你的理想，摧毁我吧，就如同你刚才所说的那样。	0	2.7版本妮塔入队剧情
page1.12	超能战士妮塔		playername……不！！！	0	2.7版本妮塔入队剧情
page1.13	T妮塔		咔！	0	2.7版本妮塔入队剧情
page1.14	H主角		这就结束了吗？接下来的故事好像也很精彩。	0	2.7版本妮塔入队剧情
page1.15	T妮塔		呜……先拍到这里吧，看了分析员的演绎，我都有点想哭了。	0	2.7版本妮塔入队剧情
page1.16	H主角		噗……这大概就是真情流露吧。	0	2.7版本妮塔入队剧情
page1.17	H主角		不管为妮塔做什么，我都是愿意的。	0	2.7版本妮塔入队剧情
page1.18			妮塔的脸微微泛红，回避着我的视线。	0	2.7版本妮塔入队剧情
page1.19			她肩膀微微紧绷，却又刻意放松，整个人在紧张与自然之间摇摆不定。	0	2.7版本妮塔入队剧情
page1.20	T妮塔		分析员！说这种话太犯规了！	0	2.7版本妮塔入队剧情
page1.21	H主角		这种程度就算犯规？但我还有好多话想跟你说。	0	2.7版本妮塔入队剧情
page1.22	T妮塔		咳咳……那就等回去，找个没人的地方，再……再说吧。	0	2.7版本妮塔入队剧情
page1.23	H主角		好，那此时此刻，妮塔还有什么想和我一起完成的心愿吗？	0	2.7版本妮塔入队剧情
page1.24	T妮塔		今天已经足够啦！	0	2.7版本妮塔入队剧情
page1.25	T妮塔		和分析员创造了很多新的回忆，那些遗憾的情绪好像都消失了。	0	2.7版本妮塔入队剧情
page1.26	T妮塔		如果非说还有什么想做的……我想问分析员一个问题。	0	2.7版本妮塔入队剧情
page1.27	T妮塔		我想知道，分析员现在心里是不是也跟我一样幸福？	0	2.7版本妮塔入队剧情
page1.28	H主角		很幸福，和你一样。	0	2.7版本妮塔入队剧情
page1.29			相视一笑，我们都很默契的没再多说什么，任爱意在心中蔓延。	0	2.7版本妮塔入队剧情
page1.30			而此刻这份平淡的幸福，像一条和缓的溪流，慢慢流向未来，直至永恒。	0	2.7版本妮塔入队剧情
