字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T妮塔		嘿嘿~「乐透卡」到手~	0	2.7版本妮塔入队剧情
page1.2			妮塔转过身，背对着我将「乐透卡」收入随身的小包中。	0	2.7版本妮塔入队剧情
page1.3			她顺手又拿出一本小小的笔记，偷偷摸摸地翻了两下，塞了回去。	0	2.7版本妮塔入队剧情
page1.4			以为能逃过我的眼睛，却不知她的一举一动都在我的注视之下。	0	2.7版本妮塔入队剧情
page1.5	T妮塔		分析员~咱去下一站吧。	0	2.7版本妮塔入队剧情
page1.6	H主角		你刚才在看什么？	0	2.7版本妮塔入队剧情
page1.7	T妮塔		没看啥啊，包里除了「乐透卡」，啥也没有。	0	2.7版本妮塔入队剧情
page1.8	H主角		（很快她就意识到自己说漏了嘴，尴尬地挠了挠头，双颊也泛起了红晕。）	0	2.7版本妮塔入队剧情
page1.9	T妮塔		好吧，其实就是一个计划本，上面写了点我的……小想法。	0	2.7版本妮塔入队剧情
page1.10	H主角		小想法啊，能给我瞧瞧吗？	0	2.7版本妮塔入队剧情
page1.11	T妮塔		分析员想看当然没问题，就是别笑我，我知道有些想法不靠谱。	0	2.7版本妮塔入队剧情
page1.12			我接过这本小册子，上面用蚂蚁大小的字体密密麻麻记下了一大堆计划。	0	2.7版本妮塔入队剧情
page1.13			竹筏体验、放灯祈愿、遗迹探险……	0	2.7版本妮塔入队剧情
page1.14	H主角		（不知道是不是我的错觉，从字里行间，我似乎窥见到了许多过去的画面。）	0	2.7版本妮塔入队剧情
page1.15	H主角		（而妮塔站在这些鲜明的画面之外，眼中流淌着一种平静又难以察觉的失落。）	0	2.7版本妮塔入队剧情
page1.16	T妮塔		分析员，你咋不说话了？	0	2.7版本妮塔入队剧情
page1.17	T妮塔		好吧！我不该一边想着团建的大奖，一边还打公费旅行的主意。	0	2.7版本妮塔入队剧情
page1.18	H主角		啧，妮塔怎么突然有觉悟了？	0	2.7版本妮塔入队剧情
page1.19	T妮塔		我这不是看你不说话，怕你生气了嘛……	0	2.7版本妮塔入队剧情
page1.20	H主角		在你心里我就这么小气？我刚才是在想，带你去哪里玩比较好。	0	2.7版本妮塔入队剧情
page1.21	H主角		要说走过了那么多地方……我印象最深的还是……	0	2.7版本妮塔入队剧情
page1.22	T妮塔		是哪里？	0	2.7版本妮塔入队剧情
page1.23			妮塔眼中闪烁着期待的光芒，身体不自觉地微微前倾，神情专注而热切。	0	2.7版本妮塔入队剧情
page1.24	H主角		朔州有一座漂亮的古宅，建筑风格很是特别，我记得墙上还有几句写得不错的朔州古句。	0	2.7版本妮塔入队剧情
page1.25	H主角		“<orange>悟空</>观境启玄关，<orange>表里</>门扉映月环。虚实皆藏深院处，乾坤倒转镜花间。”	0	2.7版本妮塔入队剧情
page1.26	H主角		<orange>意思是宅院内有两个世界，表里切换，变化无穷。妮塔愿不愿意和我去瞧瞧？</>	0	2.7版本妮塔入队剧情
page1.27	T妮塔		哇，这么厉害吗。快~分析员~快带我去看看！	0	2.7版本妮塔入队剧情
page1.28	H主角		别急别急，这不正走着了吗……	0	2.7版本妮塔入队剧情
page1.29	T妮塔		用跑的！用跑的！	0	2.7版本妮塔入队剧情
page1.30	T妮塔		嗯？有点听不明白。	0	2.7版本妮塔入队剧情
