字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			随着最后一叠「随心兑」被放入，保险箱内顿时金光璀璨，仿佛一片小小的黄金海洋。	0	2.7版本妮塔入队剧情
page1.2	H主角		现在，就等妮塔来发现这个惊喜了。	0	2.7版本妮塔入队剧情
page1.3	H妮塔		分析员小心！	0	2.7版本妮塔入队剧情
page1.4	H主角		？？？	0	2.7版本妮塔入队剧情
page1.5			听到妮塔的警告，我的身体立刻紧绷起来，进入战斗状态。但环顾四周，却发现一切如常。	0	2.7版本妮塔入队剧情
page1.6	H主角		发生什么事了？	0	2.7版本妮塔入队剧情
page1.7	H妮塔		啊……我是怕分析员误触了保险箱引发报警系统……	0	2.7版本妮塔入队剧情
page1.8	H主角		报警之后会发生什么？	0	2.7版本妮塔入队剧情
page1.9	H妮塔		嘿嘿，也没什么大不了的啦，顶多就是被打成筛子而已……	0	2.7版本妮塔入队剧情
page1.10	H主角		我不是说过了吗！别在宿舍装这种危险的机关啊！	0	2.7版本妮塔入队剧情
page1.11	H妮塔		开玩笑的啦~	0	2.7版本妮塔入队剧情
page1.12	H妮塔		只是增加了警报的音量而已，要是不小心误触，那刺耳的感觉可不好受。	0	2.7版本妮塔入队剧情
page1.13	H妮塔		既然说到保险箱，我就顺便检查一下我的小金库吧~	0	2.7版本妮塔入队剧情
page1.14			随着保险箱门打开，金色光晕倾泻而出，像是打翻的蜂蜜，甜甜地淌满了整个房间。	0	2.7版本妮塔入队剧情
page1.15	H妮塔		我……我不是在做梦吧？	0	2.7版本妮塔入队剧情
page1.16	H妮塔		啊~眼睛都快被金券的光芒闪瞎了，但……好喜欢这种感觉。	0	2.7版本妮塔入队剧情
page1.17			妮塔的双眼比满箱的「随心兑」还要闪亮。空气中漂浮的微尘在阳光里打转，像是为她撒下的细碎星屑。	0	2.7版本妮塔入队剧情
page1.18			巨额财富给了妮塔不小的冲击，久久她还怔在原地，回不过神来。	0	2.7版本妮塔入队剧情
page1.19			我顺势拿出心率监测仪器，数值如同火箭般疯狂攀升，但就在即将突破群星的那一刻，变化停止了……	0	2.7版本妮塔入队剧情
page1.20	H妮塔		心跳得这么厉害，也还是没达到理论值吗？	0	2.7版本妮塔入队剧情
page1.21			疑惑、沮丧、兴奋、惊喜……各种情绪在妮塔眼中打转。	0	2.7版本妮塔入队剧情
page1.22			她成了一个手足无措的矛盾体，只是捂住胸口，眼眶里充盈着水汽。	0	2.7版本妮塔入队剧情
page1.23	H妮塔		分析员……我……我该怎么做才好呢？	0	2.7版本妮塔入队剧情
page1.24			我突然意识到，这份惊喜或许不该沾染上任何的遗憾。	0	2.7版本妮塔入队剧情
page1.25	H主角		没关系，心率实验并不是着急就能见到成效的。	0	2.7版本妮塔入队剧情
page1.26	H妮塔		分析员的意思是？	0	2.7版本妮塔入队剧情
page1.27	H主角		意思是，我想和妮塔先享受当下。这么多「随心兑」，不想和我一起挥霍掉吗？	0	2.7版本妮塔入队剧情
page1.28	H妮塔		哈哈~想啊，超级想！	0	2.7版本妮塔入队剧情
page1.29			妮塔眼中的阴霾被我的话驱散。她欢呼着扑向那片跃动的金色，做回那个纯粹又简单的妮塔。	0	2.7版本妮塔入队剧情
