字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			疗愈中心的房间内，妮塔已经趴在了床上，伴着平稳的呼吸等待着我。	0	2.7版本妮塔入队剧情
page1.2	H主角		（我先用温热的手掌覆上她紧绷的肩颈，轻柔地抚触。）	0	2.7版本妮塔入队剧情
page1.3	H主角		（等她的身体逐渐放松，再慢慢加重力道揉按肌群，缓解她的不适感。）	0	2.7版本妮塔入队剧情
page1.4	H妮塔		嗯……嗯……分析员，再帮我按按大腿好吗？	0	2.7版本妮塔入队剧情
page1.5	H主角		当然没问题。	0	2.7版本妮塔入队剧情
page1.6	H妮塔		分析员的手法可真厉害，感觉整个人都轻松了好多。	0	2.7版本妮塔入队剧情
page1.7	H妮塔		说起来，监测器也运行一段时间了，我们要不要看看心率数据？	0	2.7版本妮塔入队剧情
page1.8	H主角		听你这语气，对心率达标挺有信心啊。	0	2.7版本妮塔入队剧情
page1.9	H妮塔		嗯……总觉得今天心跳加速的感觉还挺明显的。	0	2.7版本妮塔入队剧情
page1.10	H妮塔		大概是因为拼尽全力运动的缘故吧……	0	2.7版本妮塔入队剧情
page1.11			点开妮塔的心率报告，变化的曲线起起伏伏，高点意外地不止一个，数值却始终在舒适区间游走。	0	2.7版本妮塔入队剧情
page1.12	H妮塔		怎么样，分析员~结果如何？	0	2.7版本妮塔入队剧情
page1.13	H主角		很遗憾，离理论值还有一段距离。	0	2.7版本妮塔入队剧情
page1.14	H妮塔		诶……这样吗？	0	2.7版本妮塔入队剧情
page1.15	H主角		你看起来倒不怎么失望？	0	2.7版本妮塔入队剧情
page1.16	H妮塔		要说失望也确实有一点……	0	2.7版本妮塔入队剧情
page1.17	H妮塔		但想起刚刚和分析员待在一起的那会儿，心情莫名就变好起来了，嘿嘿。	0	2.7版本妮塔入队剧情
page1.18	H主角		（看妮塔从容地笑着，我忽然发现自己早已落入她的节奏。）	0	2.7版本妮塔入队剧情
page1.19	H主角		（她既享受着与我相处时的心动感，又能轻松地把控这种悸动，或许这就是妮塔的特别之处吧。）	0	2.7版本妮塔入队剧情
page1.20	H主角		不气馁就好，我们还有很多方式可以尝试。	0	2.7版本妮塔入队剧情
page1.21	H妮塔		别的方式……我可能不太会，得靠分析员多帮帮我啦。	0	2.7版本妮塔入队剧情
page1.22	H主角		（研发部门提供的第二个方向，<orange>是让妮塔情绪亢奋起来……</>）	0	2.7版本妮塔入队剧情
page1.23	H主角		（一时间还想不到该怎么做，不过<orange>基地大厅应该有能帮忙出出主意的人……</>）	0	2.7版本妮塔入队剧情
