音效配置ID	描述	音效事件
ID	Describe	EventName
1001002	武器击中	Play_Sound_UI_Tip_Hit
1001003	武器击杀	Play_Sound_UI_Tip_Kill
1001004	主角护盾破碎	Play_Sound_UI_HuDunPoSui
1001005	普罗米攻过载提示的音效	Play_Sound_girl004_overload
1001006	悖论迷宫-抽奖音效	Play_DLC7_ChouJiang
		
1000	战斗通用类	
1001	表达触发QTE时的通用特效	Play_Sound_QTE_Start
1002	表达触发QTE后切回原来角色的通用音效	Play_Sound_QTE_End
1003	角色死亡后触发的通用音效	Play_Sound_Death
1004	怪物被命中反馈音效	Play_Sound_Monster_Hit
1005	怪物被命中弱点反馈音效	Play_Sound_Monster_WeakHit
1006	枪械打空瞬间音效	Play_Bullet_EmptyMoment
1007	枪械空扳机音效	Play_Bullet_EmptyTime
1008	大招充能完毕提示音效	Play_UI_Fight_Skill03_Power_Full
1009	技能无法使用提示音	Play_UI_Fight_Skill_Useless
1010	能量充满提示音	Play_UI_Fight_Energy_Full
1011	狙击枪开镜音效1	Play_UI_Fight_SG_Aim_Normal
1012	狙击枪开镜音效1	Play_UI_Fight_SG_Aim_Unique
1013	蓄能型技能的每层回复提示音	Play_UI_Fight_Skill_Stage
1014	充能过程提示音	Play_UI_Fight_Charging
1015	技能强化效果提示音	Play_UI_Fight_Skill_Enhance
1016	技能CD减少效果提示音	Play_UI_Fight_CD_Reduce
1017	进入瞄准状态（除狙击）	Play_Character_Common_Weapon_Rise
1018	退出瞄准状态（除狙击）	Play_Character_Common_Weapon_Down
1019	耐力不足	Play_UI_Fight_Roll_Useless
1020	获得治疗	Play_Buff_Heal
1021	敌人护盾击破	Play_Monster_ShieldBerak
1022	低血量时配合屏幕闪动播放的音效	Play_Sound_Death
1023	命中可破坏部位	Play_Sound_Monster_Broken
1024	进入掩体	Play_Character_Common_Weapon_Hit
1025	翻越掩体	Play_Character_Common_FlipCover
1026	退出掩体	Play_Character_Common_Land
1027	进入低血量屏显碎裂声	Play_UI_Fight_HpLow_Moment
1028	进入低血量持续闪烁声	Play_UI_Fight_HpLow_Loop
1029	联机中复活开始（加载进度条的过程）	Play_Online_Revive_Loop
1030	联机中复活成功瞬间	Play_Online_Revive_Success
1031	弓 举起+进入瞄准	Play_Weapon_Bow_Rise
1032	加特林 举起	Play_Weapon_GTL_Raise
1033	加特林 放下	Play_Weapon_GTL_Down
1034	飞剑 举起	Play_Weapon_FS_Up_01
1035	飞剑 放下	Play_Weapon_FS_Down
		
2000	场景关卡类	
2001	引导线	Play_Scene_GuideLine
2002	残影触碰动效	Play_Scene_Ghost
2003	DLC1-棋盘格 较短的距离，分析员在地面上走路	Play_Chess_DLC1_Walk
2004	DLC1-棋盘格 较长的距离，分析员在地面上跑步	Play_Chess_DLC1_Run
2005	DLC1-棋盘格 配合动作，箱子在地面上被推动的声音	Play_Chess_DLC1_Normal1
2006	DLC1-棋盘格 配合动作，箱子推到指定位置激活特效	Play_Chess_DLC1_Normal2
2007	DLC1-棋盘格 与操作台交互，箱子被重置到之前的位置	Play_Chess_DLC1_Normal3
2008	DLC1-棋盘格 满足条件（箱子到位或者使用道具）后，阻挡门开启	Play_Chess_DLC1_Normal4
2009	DLC1-棋盘格 箱子推到指定位置后，宝箱出现	Play_Chess_DLC1_Normal5
2010	DLC1-棋盘格 与宝箱交互后，宝箱消失并弹出物品	Play_Chess_DLC1_Normal6
2011	DLC1-棋盘格 与结束点交互后，弹出弹窗，确认后离开地图	Play_Chess_DLC1_Normal7
2012	DLC1-棋盘格 点击物件，交互后拾取物件（物件消失进入背包）	Play_Chess_DLC1_Normal8
2013	DLC1-棋盘格 与关卡模型交互后，进入编队界面和战斗流程	Play_UI_Common_Confirm
2014	DLC1-棋盘格 与剧情的叹号模型或者NPC模型交互后，进入剧情	Play_UI_Common_Confirm
2015	DLC1-打靶 倒计时5.4.3.2.1的计时音效	Play_UI_Lantern_Countdown
2016	DLC1-打靶 开始，start的启动音效	Play_UI_Lantern_Start
2017	DLC1-射击命中机关后 机关能量球改变颜色的音效	Play_Interact016_01_Change
2018	DLC1-打玻璃瓶关卡 玻璃破碎时的音效	Play_DLC1_Bottle_Break
2019	肉鸽开门	Play_Object_Underground_Door_Open
2020	肉鸽关门	Play_Object_Underground_Door_Close
2021	关卡内等级提升	Play_DLC7_PaLu01
2022	关卡内成功抓捕新星开拓	Play_DLC7_PaLu02
		
2500	宿舍类	
2501	视频house_cartoon01（电脑或电视上播的）	Play_House_Cartoon01
2502	视频house_cartoon03（电脑或电视上播的）	Play_House_Cartoon03
2503	走廊常驻视频house_cartoon02	Play_House_Cartoon02
2504	大厅常驻视频	Play_House_Hall
2505	F键进卧室	Play_House_Open_Door
2506	交互NPC、场景物件	Play_House_Interactive
2507	扫地机器人（Loop）	Play_House_Robot
2508	电梯启动时开门和关门	Play_House_Elevator_Start
2509	电梯运行(Loop)	Play_House_Elevator_Loop
2510	电梯停止时开门和关门	Play_House_Elevator_Stop
2511	电梯运行打断事件	Stop_House_Elevator_Loop
2512	关掉所有正在播放的表演动作的音量	Set_Voice_Volume_All
2513	打开所有正在播放的表演动作的音量	Reset_Voice_Volume_All
2514	芬妮-小提琴区 互动开始	Play_Girl008_01_House_Violin_Idle01
2515	芬妮-小提琴区 互动结束	Stop_House_Girl008_Violin
2516	琴诺-水龙头 互动开始	Play_player_house_girl007_interact_watertap
2517	琴诺-水龙头 互动结束	Stop_player_house_girl007_interact_watertap
2518	辰星-冥想区音效 互动开始	Play_Girl014_01_House_Meditation_Idle01
2519	辰星-冥想区音效 互动结束	Stop_Girl014_01_House_Meditation_Idle01
2520	茉莉安咖啡壶 互动开始	Play_house_girl005_solo004_idle01
2521	茉莉安咖啡壶 互动结束	Stop_house_girl005_solo004_idle01
2522	肴 躺椅 闹钟 互动开始	Play_Girl010_01_House_Clock
2523	宿舍洗澡	Play_House_LinYu
2524	按摩成功	Play_House_AnMo_Success
2525	按摩失败	Play_House_AnMo_Fail
2526	环境音-树梢风声	Play_Story_DLC34_40
2527	环境音-鸟叫声	Play_Story_DLC34_41
2528	环境音-流水声	Play_Story_DLC34_42
2529	环境音-风铃声	Play_Story_DLC34_43
2530	环境音-瀑布声	Play_Story_DLC34_44
2531	环境音-围炉篝火声	Play_Story_DLC34_45
		
3000	UI界面类	
3001	开始	Play_UI_Login_Start
3002	弹窗	Play_UI_Common_Pop
3003	取消	Play_UI_Common_Cancel
3004	返回	Play_UI_Common_Back
3005	确定	Play_UI_Common_Confirm
3006	切换角色	Play_UI_Role_Role
3007	切换武器	Play_UI_Role_Weapon
3008	作战	Play_UI_Level_Fight
3009	角色等级提升	Play_UI_Common_Upgrade
3010	普通关卡战斗结算胜利音效-A	Play_UI_Fight_Win_End04
3011	获得道具-普通级别	Play_UI_Common_Getprops_Normal
3012	普通关卡战斗结算失败音效	Play_UI_Common_Cancel
3013	扭蛋界面持续氛围音播放	Play_UI_Common_Lottery_Loop
3014	升级通用	Play_UI_Common_Upgrade
3015	扭蛋界面符文展示开始	Play_UI_Common_Lottery_Click
3016	扭蛋界面持续氛围音停止	Stop_UI_Common_Lottery_Loop
3017	天启升级成功	Play_UI_Role_Break
3018	病号服模型扰动	Play_UI_Spine_Change
3019	点击未解锁的关卡	Play_UI_Common_Unopen
3020	分析员等级提升	Play_UI_Upgrade
3021	获得道具	Play_UI_Common_Getprops
3022	编队界面切换角色位置	Play_UI_Team_Character_Switchlocation
3023	剧情选项点击音效	Play_UI_Stroy_Option_Click
3024	对话弹窗出现	Play_UI_Window_On
3025	对话弹窗消失	Play_UI_Window_Off
3026	配合武器的logo变UI向四周展开	Play_UI_Gacha_Weapon_Gold
3027	配合武器的logo变UI向四周展开	Play_UI_Gacha_Weapon_Purple
3028	配合武器的logo变UI向四周展开	Play_UI_Gacha_Weapon_Blue
3029	配合角色的logo变UI向四周展开，以及冲击波的展开	Play_UI_Gacha_Girl_Gold
3030	配合角色的logo变UI向四周展开，以及冲击波的展开	Play_UI_Gacha_Girl_Purple
3031	冲击波的回收	Play_UI_Gacha_Girl_Flashback
3032	右下角的弹出UI 配合音效	Play_UI_Gacha_Weapon_Pop
3033	右下角的弹出UI 配合音效	Play_UI_Gacha_Weapon_Gain
3034	“结算-单抽.mp4”制作结算卡单次掉落	Play_UI_Gacha_Settlement_One
3035	“结算-十抽.mp4”制作结算卡十次掉落	Play_UI_Gacha_Settlement_Ten
3036	若重复获得角色，碎片转换的音效	Play_UI_Gacha_Switch_Gold
3037	若重复获得角色，碎片转换的音效	Play_UI_Gacha_Switch_Purple
3038	序章和主界面命名时报错提示音效	Play_UI_Name_Tip
3039	武器常驻池Loop开始	Play_UI_Weapon_Loop
3040	扭蛋界面所有声音播放的打断	Stop_UI_Interview_All
3041	武器常驻池出UI动效	Play_UI_Weapon_Pop
3042	角色常驻池出UI动效	Play_UI_Girl_Pop
3043	角色-狂猎UP池视频	Play_UI_PV_KuangLie
3044	武器UP池视频	Play_UI_Weapon_Show
3045	获得道具	Play_UI_Common_Getprops
3046	天启阶段性升级	Play_UI_Common_Talent
3047	点击按钮后，鬼工球会快速转动到指定位置。需求转动过程中的音效	Play_DLC1_Ballroll
3048	鬼工球转动到指定位置后，屏幕会变白。需求白光音效	Play_DLC1_Whitescreen
3049	角色等级提升前段	Play_UI_Upgrade02
3050	角色等级提升后段	Play_UI_Upgrade03
3051	角色-冬至UP池视频	Play_UI_PV_Dongzhi
3052	角色-按卡西亚UP池视频	Play_UI_PV_Ankaxiya
3053	成就达成	Play_UI_Misson_Achievement
3054	宿舍拼图-放下拼图至拼图板中	Play_Dorm_Puzzle_Settle
3055	普通关卡战斗结算胜利音效-C	Play_UI_Fight_Win_End04_C
3056	普通关卡战斗结算胜利音效-B	Play_UI_Fight_Win_End04_B
3057	设置爬塔音乐淡出	Set_Tower_Music_Fadeout
3058	红缨兆正扭蛋视频	Play_UI_Weapon_Show02
3059	角色-云篆UP池视频	Play_UI_PV_Yunzuan
3060	进入DLC2活动界面时播放的音效	Play_UI_DLC2_Enter
3061	角色-缄默UP池视频	Play_UI_PV_Jianmo
3062	DLC2藏锋专武	Play_UI_Weapon_Show_DLC2
3063	角色-藏锋UP池视频	Play_UI_PV_CangFeng
3064	溯影-扭蛋专武视频	Play_UI_Weapon_Show_DLC3
3065	角色-雨燕up池视频	Play_UI_PV_YuYan
3066	角色-溯影up池视频	Play_UI_PV_SuYing
3067	角色-苔丝up池视频	Play_UI_PV_TaiSi
3068	苔丝-扭蛋专武视频	Play_UI_Weapon_Show_DLC4
3069	拼图完成UI音效	Play_UI_House_GetInfo
3070	角色-凯西娅UP池视频	Play_UI_PV_KaiXiYa
3071	凯西娅-扭蛋专武视频	Play_UI_Weapon_Show_DLC5
3072	DLC5入场幕帘拉开	Play_DLC5_Enter
3073	DLC6武器up视频	Play_UI_Weapon_Show_DLC6
3074	DLC6角色up视频	Play_UI_PV_YiQieEr
3075	悖谬UP池【琴诺-悖谬】	Play_UI_PV_BeiMiu
3076	悖谬专武UP池【白夜别诗】	Play_UI_Weapon_Show_DLC7
3077	羽蜕UP池【恩雅-羽蜕】	Play_UI_PV_YuTui
3078	羽蜕专武UP池【渊光】	Play_UI_Weapon_Show_DLC7
3079	DLC7入场月亮音效1	Play_DLC7_Enter01
3080	DLC7入场月亮音效2	Play_DLC7_Enter02
3081	DLC7入场月亮音效3	Play_DLC7_Enter03
3082	瑟瑞丝-瞬刻up池	Play_UI_PV_ShunKe
3083	瞬刻专武	Play_UI_Weapon_Show_DLC8
3084	DLC8活动转场1	Play_DLC8_Enter01
3085	DLC8活动转场2	Play_DLC8_Enter02
3086	里芙新换装UP池【里芙-无限之视】	Play_UI_PV_WuXianZhiShi
3087	里芙新换装专武UP池【九夜之冕】	Play_UI_Weapon_Show_LiFu_DLC9
3088	芬妮新换装UP池【芬妮-辉耀】	Play_UI_PV_HuiYao
3089	芬妮新换装专武UP池【捕心先锋】	Play_UI_Weapon_Show_FenNi_DLC9
3090	dlc9大富翁点击音效	Play_Rich_DLC9_Tap
3091	dlc9初次进入活动	Play_DLC9_Enter01
3092	dlc9后续进入活动	Play_DLC9_Enter02
3093	dlc9点击按钮进入DLC9主线关卡	Play_DLC9_Enter03
3094	DLC10角色UP池	Play_UI_PV_LongSheLan
3095	DLC10武器UP池	Play_UI_Weapon_Show_DLC10
3096	DLC10首次进入活动界面	Play_DLC10_Enter01
3097	DLC10第二次进入活动界面	Play_DLC10_Enter02
3098	DLC10进入玩法界面	Play_DLC10_Enter03
3099	朝翼UP池【凯茜娅-朝翼】	Play_UI_PV_ZhaoYi
3100	朝翼专武UP池【晴海星埃】	Play_UI_Weapon_Show_ZhaoYi_DLC11
3101	幽潮UP池【茉莉安-幽潮】	Play_UI_PV_YouChao
3102	幽潮专武UP池【深渊幽灵】	Play_UI_Weapon_Show_YouChao_DLC11
3103	DLC11首次进入活动	Play_DLC11_Enter02
3104	DLC11后续进入活动	Play_DLC11_Enter01
3105	DLC11预览视频	Play_UI_SC_HD
3106	【兵器解锁】	Play_UI_BingQi_Unlock
3107	【兵器升级】	Play_UI_BingQi_Upgrade
3108	海浪	Play_DLC12_Girl005b_02_1
3109	主镜头03-互动五金链子音	Play_DLC12_Girl005b_02_5
3110	show3-道具生成+切换	Play_DLC12_Girl005b_02_6
3111	show03，UI增长的音效	Play_DLC12_Girl005b_02_7
3112	show03，UI满的音效	Play_DLC12_Girl005b_02_8
3113	show03，UI清零的音效	Play_DLC12_Girl005b_02_9
3114	2.3芙提雅up池【2.3芙提雅】	Play_UI_PV_ChiChe
3115	2.3芙提雅专武up池【2.3芙提雅武器】	Play_UI_Weapon_Show_DLC12
3116	节点解锁	Play_DLC12_Rogue01
3117	合成	Play_DLC12_Rogue04
3118	背包扩充	Play_DLC12_Rogue03
3119	物件放入	Play_DLC12_Rogue02
3120	首次进入活动	Play_Enter01
3121	第二次进入活动	Play_Enter02
3122	DLC13首次进入活动	Play_DLC13_Enter01_A
3123	DLC13二次进入活动	Play_DLC13_Enter01_B
3124	DLC13进入曲径通幽界面	Play_DLC13_Enter02
3125	DLC13武器UP池	Play_UI_Weapon_Show_DLC13
3126	DLC13角色UP池	Play_UI_PV_BuBu
3127	DLC25迷宫Buff	Play_DLC25_MiGongbuff
3128	活动-主界面复杂版入场	Play_DLC25_Enter01
3129	活动-主界面简单版入场	Play_DLC25_Enter02
3130	活动-主线切换动效	Play_DLC25_Enter03
3131	DLC14辰星武器Up池	Play_UI_Weapon_Show_ChenXing_DLC14
3132	DLC14肴武器Up池	Play_UI_Weapon_Show_Yao_DLC14
3133	DLC14预览视频	Play_UI_Yao_HDYuLan
3134	DLC14辰星角色Up池	Play_UI_PV_QiongXian
3135	DLC14肴角色Up池	Play_UI_PV_YeTianGuang
3136	DLC15武器Up池	Play_UI_Weapon_Show_DLC15
3137	DLC15角色Up池	Play_UI_PV_LanFeng
3138	DLC26活动首次入场	Play_DLC26_Enter01
3139	DLC26活动二次入场	Play_DLC26_Enter02
3140	DLC27活动首次入场	Play_DLC27_Enter01
3141	DLC27活动二次入场	Play_DLC27_Enter02
3142	DLC27材料本	Play_DLC27_Enter03
3143	DLC27武器Up池01	Play_UI_Weapon_Show_NaiLiDe_DLC27
3145	DLC27角色Up池01	Play_UI_PV_NaiLiDe
3147	DLC27照相馆拍照UI按键	Play_DLC27_UI_Photo
3148	DLC27妮塔背景循环音效	Play_DLC27_Girl003a_02_HDAmb
3149	色子转动音效	Play_DLC27_Scene07_01
3150	进入惊喜房间音效	Play_DLC27_Scene07_02
3151	小金栗飞行到左上后的扫光音效	Play_DLC27_Scene07_03
3152	翻牌音效	Play_DLC27_Scene07_04
3153	翻牌结果确定后奖励区域扫光音效	Play_DLC27_Scene07_05
3154	惊喜翻倍数字滚动音效【Loop】	Play_DLC27_Scene07_06
3155	惊喜翻倍数字确定后的扫光	Play_DLC27_Scene07_07
3156	老虎机转动音效	Play_DLC27_Scene07_08
3157	老虎机停止后扫光	Play_DLC27_Scene07_09
3158	首次进入DLC活动界面音效	Play_DLC28_Enter01
3159	第二次及之后进入DLC活动界面音效	Play_DLC28_Enter02
3160	进入复刷材料本界面音效	Play_DLC28_Enter03
3161	DLC28武器Up池	Play_UI_Weapon_Show_DLC28
3162	DLC28角色Up池	Play_UI_PV_TianEZuo
3163	DLC30活动首次入场	Play_DLC30_Enter01
3164	DLC30活动二次入场	Play_DLC30_Enter02
3165	进入复刷材料本界面音效	Play_DLC30_Enter03
3166	悖论迷宫怪物图鉴解锁/升级	Play_DLC30_UI_01
3167	爆爆菜园蔬菜技能点亮	Play_DLC30_Scene03_13
3168	爆爆菜园蔬菜技能解锁	Play_DLC30_Scene03_14
3169	爆爆菜园关卡结束解锁新蔬菜	Play_DLC30_Scene03_12
3170	DLC30武器Up池KaiXiYa	Play_UI_Weapon_Show_KaiXiYa_DLC30
3171	DLC30武器Up池TaiSi	Play_UI_Weapon_Show_TaiSi_DLC30
3172	DLC30角色Up池KaiXiYa	Play_UI_PV_KuangShi
3173	DLC30角色Up池TaiSi	Play_UI_PV_QiHuan
3174	DLC31活动首次入场	Play_DLC31_Enter01
3175	DLC31活动重复入场	Play_DLC31_Enter02
3176	DLC31材料本界面-转场音效	Play_DLC31_Enter03
3177	DLC31武器Up池	Play_UI_Weapon_Show_DLC31
3178	DLC31角色Up池	Play_UI_PV_KeLuoRuiNa
3179	DLC32首次进入DLC活动界面音效	Play_DLC32_Enter01
