事件名(程序自动生成此表请勿手动修改)	中文开始	中文持续	日语开始	日语持续	英语开始	英语持续	韩语开始	韩语持续
name	startC	endC	startJ	endJ	startE	endE	startK	endK
Vo_girl001a_03_win001_026	78	368	45	324	56	392	45	415
Vo_girl001a_03_win002_027	98	371	107	277	52	371	106	356
Vo_girl001a_win001_026	70	332	17	327	19	191	10	302
Vo_girl001a_win002_027	132	335	20	192	12	286	9	225
Vo_girl001_win001_026	90	372	19	241	13	236	8	315
Vo_girl001_win002_027	138	491	20	177	12	143	7	162
Vo_girl002a_01_win001_026	15	565	18	345	12	412	4	507
Vo_girl002a_01_win002_027	20	312	19	114	10	130	1	211
Vo_girl002a_03_win001_026	11	322	20	433	205	371	20	442
Vo_girl002a_03_win002_027	15	413	20	483	206	491	16	512
Vo_girl002a_win001_026	14	269	19	213	12	170	4	341
Vo_girl002a_win002_027	16	272	19	303	16	302	6	271
Vo_girl002b_02_win001_026	20	699	11	1168	135	448	104	685
Vo_girl002b_02_win002_027	84	474	11	1168	106	482	124	664
Vo_girl002b_win001_026	16	296	32	323	55	291	34	404
Vo_girl002b_win002_027	34	351	43	312	90	353	44	392
Vo_girl002_win001_026	44	216	19	171	16	75	4	99
Vo_girl002_win002_027	166	262	19	358	9	186	7	434
Vo_girl003a_02_win001_026	263	612	222	664	207	424	225	657
Vo_girl003a_02_win002_027	305	581	219	667	212	470	217	665
Vo_girl003a_win001_026	123	309	61	391	81	292	61	391
Vo_girl003a_win002_027	133	319	91	361	37	313	90	362
Vo_girl003_win001_026	16	398	12	432	26	307	4	382
Vo_girl003_win002_027	27	402	19	382	11	213	9	403
Vo_girl004a_02_win001_026	36	487	20	375	65	389	19	467
Vo_girl004a_02_win002_027	22	494	19	488	54	424	18	510
Vo_girl004a_03_win001_026	18	424	63	541	15	433	61	555
Vo_girl004a_03_win002_027	43	422	73	517	8	439	67	549
Vo_girl004a_win001_026	13	275	19	274	23	218	9	287
Vo_girl004a_win002_027	36	245	20	214	9	275	6	268
Vo_girl004b_02_win001_026	173	665	145	609	125	686	143	819
Vo_girl004b_02_win002_027	166	639	97	648	98	839	95	836
Vo_girl004b_04_win001_026	54	540	60	512	59	473	57	509
Vo_girl004b_04_win002_027	54	540	50	533	36	460	51	528
Vo_girl004b_win001_026	96	418	25	539	120	499	24	645
Vo_girl004b_win002_027	111	384	16	560	53	563	16	653
Vo_girl004_win001_026	20	225	20	273	17	184	8	240
Vo_girl004_win002_027	21	240	20	268	25	195	11	295
Vo_girl005a_03_win001_026	174	567	22	547	52	695	33	547
Vo_girl005a_03_win002_027	193	615	22	490	51	466	22	501
Vo_girl005a_win001_026	71	469	19	409	65	235	5	322
Vo_girl005a_win002_027	90	517	21	383	11	196	4	336
Vo_girl005b_02_win001_026	69	655	54	801	50	604	56	810
Vo_girl005b_02_win002_027	81	556	51	686	63	623	55	761
Vo_girl005b_03_win001_026	89	783	223	640	68	687	226	644
