唯一ID	概率播放（如果不触发则不会被打断）	优先级，值越大越高	是否可打断当前正在播放的同级配音（0，1）	CD默认0	
ID	Rate	Priority	Interrupt	CD	
skill01	0.75	7	1	30	技能1
skill02	0.75	7	1	30	技能2
skill03	1	12	1	0	大招
skill03a_1	1	10	1	0	驰摰大招语气词01
skill03a_1	1	10	1	0	驰摰大招语气词02
skill03a_2	1	10	1	0	恩雅_澜风DLC2.6
skill03a_3	1	10	1	0	薇蒂娅_天鹅座DLC2.8
skill03a_4	1	10	1	0	薇蒂娅_天鹅座DLC2.8
skill03a_5					凯茜娅_狂诗
skill03a_6					凯茜娅_狂诗
skill03a_7	0.75	10	1	30	克罗瑞娜_DLC31
skill03a_8	0.75	10	1	30	克罗瑞娜_DLC31
skill03a_9	0.75	10	1	30	克罗瑞娜_DLC31
skill03a_10	0.75	10	1	30	克罗瑞娜_DLC31
skill03a_11	0.75	10	1	30	克罗瑞娜_DLC31
skill03a_32	1	10	1	30	澄意_DLC32
skill03a_33	0.7	10	1	10	DLC33米娅
skill03a_34	1	10	1	0	
skill03b_34	1	10	1	0	
skill03c_34	1	10	1	0	
skill03d_34	1	10	1	0	
skill03a_35	1	10	1	0	
skill03a_36	1	10	1	0	DLC36胧嫣
skill03b_36	0.75	7	1	15	
skill04	1	7	1	0	QTE
skill04_01	0.75	7	1	5	苔丝_绮幻
skill04b_35	0.75	7	1	5	
skill04a_35	1	7	1	0	
skill01a_2	0.7	7	1	15	悖谬 蓄力开始
skill01a_3	1	7	1	30	悖谬 蓄力爆炸
skill01a_4	0.7	7	1	15	芬妮-新换装向前冲刺，发射AOE弹
skill01a_5	0.7	7	1	15	芬妮-新换装向左右冲刺，发射撕裂弹
skill01a_6	0.7	7	1	15	芬妮-新换装向后冲刺，发射贯穿弹
skill01a_7	0.7	7	1	5	龙舌兰
skill01a_8	1	7	1	0	龙舌兰
skill01a_9	1	7	1	0	龙舌兰
skill01a_10	1	7	1	0	龙舌兰
skill01a_11	0.7	7	1	15	恩雅_澜风DLC2.6
skill01a_12	0.7	7	1	15	恩雅_澜风DLC2.6
skill01a_13	0.7	7	1	15	恩雅_澜风DLC2.6
skill01a_14	0.7	7	1	15	恩雅_澜风DLC2.6
skill01a_15	0.7	7	1	15	恩雅_澜风DLC2.6
skill01a_16	0.7	7	1	15	妮塔_DLC2.7
skill01a_17	0.7	7	1	15	妮塔_DLC2.7
skill01a_18	0.7	7	1	15	妮塔_DLC2.7
skill01a_19	0.7	7	1	15	妮塔_DLC2.7
skill01a_20	0.7	7	1	15	妮塔_DLC2.7
skill01a_21	0.7	7	1	15	妮塔_DLC2.7
skill01a_22	0.7	7	1	15	妮塔_DLC2.7
skil01a_23	0.7	7	1	15	奈莉德_DLC2.7
skil01a_24	0.7	7	1	15	奈莉德_DLC2.7
skil01a_25	0.7	7	1	15	奈莉德_DLC2.7
skil01a_26	0.7	7	1	15	奈莉德_DLC2.7
skill01a_31	0.65	7	1	30	克罗瑞娜_DLC31
skill01b_31	0.75	7	1	30	克罗瑞娜_DLC31
skill01a_32	0.75	7	1	5	悠游_DLC32
skill01b_32	0.75	7	1	5	悠游_DLC32
skill01a_33	0.7	7	1	10	霆光DLC33短按
skill01b_33	0.7	7	1	10	霆光DLC33长按
skill01c_33	0.7	7	1	10	霆光DLC33特殊闪避
skill01a_34	0.75	7	1	0	
skill01b_34	0.75	7	1	0	
skill01c_34	0.75	7	1	0	
skill01d_34	0.75	7	1	5	
skill01e_34	0.75	7	1	5	
skill01f_34	0.75	7	1	5	
skill01a_35	0.75	7	1	30	DLC35茉莉安
skill01b_35	0.75	7	1	30	DLC35茉莉安
skill01c_35	0.75	7	1	5	DLC35安卡
skill01a_36	0.75	7	1	5	DLC36胧嫣
skill01b_36	1	7	1	0	DLC36胧嫣
skill01c_36	1	7	1	0	DLC36胧嫣
skill01d_36	0.75	7	1	5	
skill01a_0	1	7	0	30	藏锋技能1第一斩 未强化
skill01a_1	1	7	0	30	藏锋技能1第一斩 强化
skill01b_0	0.65	7	0	15	藏锋技能1第二斩 未强化
skill01b_1	0.65	7	0	15	藏锋技能1第二斩 强化
skill01c_0	0.75	7	1	30	藏锋技能1回旋斩 不会被强化
skillshow01	0.75	7	1	30	卜卜后摇表演
girlrush01	1	7	1	0	妮塔_DLC2.7
girlrush02	1	7	1	0	妮塔_DLC2.7
girlrush03	0.7	7	1	15	妮塔_DLC2.7
skillshow02	0.75	7	1	30	卜卜后摇表演
skillshow03	0.75	7	1	30	卜卜后摇表演
enterlevel	1	11	1	5	进入关卡
win	1	11	1	0	关卡胜利
rikienterlevel1	1	11	1	0	图鉴战斗开始1
rikienterlevel2	1	11	1	0	图鉴战斗开始2
rikiwin1	1	11	1	0	图鉴战斗胜利1
rikiwin2	1	11	1	0	图鉴战斗胜利2
rikigacha	1	11	1	0	图鉴扭蛋
rikimain001	1	11	1	0	图鉴扭蛋
rikimain002	1	11	1	0	图鉴扭蛋
rikimain003	1	11	1	0	图鉴扭蛋
rikimain101	1	11	1	0	图鉴扭蛋
rikimain201	1	11	1	0	图鉴扭蛋
rikiexchange1	1	11	1	0	图鉴扭蛋
rikiexchange2	1	11	1	0	图鉴扭蛋
rikitaskfinish1	1	11	1	0	图鉴扭蛋
rikitaskfinish2	1	11	1	0	图鉴扭蛋
rikiwavelittle	1	11	1	0	图鉴扭蛋
rikiskill04	1	11	1	0	图鉴扭蛋
rikiskill03	1	11	1	0	图鉴扭蛋
rikiskill041	1	11	1	0	图鉴扭蛋
rikiskill042	1	11	1	0	图鉴扭蛋
rikiskill031	1	11	1	0	图鉴扭蛋
rikiskill032	1	11	1	0	图鉴扭蛋
lose	1	11	1	0	关卡失败
giveup	1	11	1	0	放弃关卡
openbox	1	4	1	60	获得箱子
killmonster001	0.2	4	0	20	消灭普通敌人
killmonster002	1	4	0	20	消灭经营敌人
killmonster003	1	12	0	12	消灭Boss
getHPpack	1	2	0	3	获得血包
getCDpack	1	2	0	3	获得CD包
getCoin	0.35	7	0	35	获得道具包
level01	1	1	0	0	升级
level02	1	1	0	0	升级
LevelUp	1	6	0	0	升级
hurt001	1	9	1	5	生命低于70%
hurt002	1	9	1	5	生命低于40%
hurt003	1	9	1	5	生命为0%
hurt004	1	9	1	5	护盾被破坏
exchange	1	7	1	5	切人
reload	0.2	7	0	45	换弹
overload	1	7	1	0	武器过热
touch	1	7	1	60	场景交互
taskfinish	0.5	8	1	60	报告阶段目标达成
EntryShop	0.5	1	1	5	进入商店界面
ExitShop	0.5	1	1	5	退出商店界面
PaySuccess	0.5	1	1	90	购买成功
repel	0.6	9	1	2	被击退
float	1	10	1	2	被击飞
main001	1	11	1	0	主界面展示1（登录）
main002	1	11	1	0	主界面展示2
main003	1	11	1	0	主界面展示3
main099	1	11	1	0	？
main101	1	11	1	0	看板娘互动1-1
main102	1	11	1	0	看板娘互动1-2
main103	1	11	1	0	看板娘互动1-3
main104	1	11	1	0	看板娘互动1-4
main201	1	11	1	0	看板娘互动2-1
main202	1	11	1	0	看板娘互动2-2
main203	1	11	1	0	看板娘互动2-3
main204	1	11	1	0	看板娘互动2-4
wavelittle	0.5	5	1	30	少量敌人出现
wavemany	0.8	5	1	30	大量敌人出现
gacha	1	11	1	0	抽卡语音
Cast01	0.8	5	1	5	战斗中开火，或者释放技能时的呐喊。
Cast02	0.8	5	1	5	进行战术动作时，因突然用力而从喉咙中不自觉发出的声音。
Cast03	0.8	5	1	5	进行战术动作时，蓄力发力时发出的声音。
ar001	1	11	1	0	ar动作1
ar002	1	11	1	0	ar动作2
					
main700	1	11	1	0	场景互动
main700_01	1	11	1	0	场景互动
main700_02	1	11	1	0	场景互动
main700_03	1	11	1	0	场景互动
main700_04	1	11	1	0	场景互动
main700_05	1	11	1	0	场景互动
main701	1	11	1	0	场景互动
main701_01	1	11	1	0	场景互动
main701_02	1	11	1	0	场景互动
main701_03	1	11	1	0	场景互动
main701_04	1	11	1	0	场景互动
main701_05	1	11	1	0	场景互动
main701_06	1	11	1	0	场景互动
main701_07	1	11	1	0	场景互动
main701_08	1	11	1	0	场景互动
main701_09	1	11	1	0	场景互动
main702	1	11	1	0	场景互动
main702_01	1	11	1	0	场景互动
main702_02	1	11	1	0	场景互动
main703	1	11	1	0	场景互动
main703_01	1	11	1	0	场景互动
main703_02	1	11	1	0	场景互动
main703_03	1	11	1	0	场景互动
main703_04	1	11	1	0	场景互动
main704	1	11	1	0	场景互动
main704_01	1	11	1	0	场景互动
main704_02	1	11	1	0	场景互动
main704_03	1	11	1	0	场景互动
main704_04	1	11	1	0	场景互动
main705	1	11	1	0	场景互动
main706	1	11	1	0	场景互动
main707	1	11	1	0	场景互动
main708	1	11	1	0	场景互动
main709	1	11	1	0	场景互动
main710	1	11	1	0	场景互动
main711	1	11	1	0	场景互动
main712	1	11	1	0	场景互动
main713	1	11	1	0	场景互动
main714	1	11	1	0	场景互动
main715	1	11	1	0	场景互动
main716	1	11	1	0	场景互动
main717	1	11	1	0	场景互动
main718	1	11	1	0	场景互动
main719	1	11	1	0	场景互动
main720	1	11	1	0	场景互动
main721	1	11	1	0	场景互动
main722	1	11	1	0	场景互动
main723	1	11	1	0	场景互动
main724	1	11	1	0	场景互动
main725	1	11	1	0	场景互动
main726	1	11	1	0	场景互动
main727	1	11	1	0	场景互动
main728	1	11	1	0	场景互动
main729	1	11	1	0	场景互动
main730	1	11	1	0	场景互动
main731	1	11	1	0	场景互动
main732	1	11	1	0	场景互动
main733	1	11	1	0	场景互动
main734	1	11	1	0	场景互动
main735	1	11	1	0	场景互动
main736	1	11	1	0	场景互动
main737	1	11	1	0	场景互动
main738	1	11	1	0	场景互动
main739	1	11	1	0	场景互动
main740	1	11	1	0	场景互动
main741	1	11	1	0	场景互动
main742	1	11	1	0	场景互动
main743	1	11	1	0	场景互动
main744	1	11	1	0	场景互动
main745	1	11	1	0	场景互动
main746	1	11	1	0	场景互动
main747	1	11	1	0	场景互动
main748	1	11	1	0	场景互动
main749	1	11	1	0	场景互动
main750	1	11	1	0	场景互动
main751	1	11	1	0	场景互动
main752	1	11	1	0	场景互动
main753	1	11	1	0	场景互动
main754	1	11	1	0	场景互动
main755	1	11	1	0	场景互动
main756	1	11	1	0	场景互动
main757	1	11	1	0	场景互动
main758	1	11	1	0	场景互动
main759	1	11	1	0	场景互动
main760	1	11	1	0	场景互动
main761	1	11	1	0	场景互动
main762	1	11	1	0	场景互动
main763	1	11	1	0	场景互动
main764	1	11	1	0	场景互动
main765	1	11	1	0	场景互动
main766	1	11	1	0	场景互动
main767	1	11	1	0	场景互动
main768	1	11	1	0	场景互动
main769	1	11	1	0	场景互动
main770	1	11	1	0	场景互动
main771	1	11	1	0	场景互动
main772	1	11	1	0	场景互动
main773	1	11	1	0	场景互动
main774	1	11	1	0	场景互动
main775	1	11	1	0	场景互动
main776	1	11	1	0	场景互动
main777	1	11	1	0	场景互动
main778	1	11	1	0	场景互动
main779	1	11	1	0	场景互动
main780	1	11	1	0	场景互动
main781	1	11	1	0	场景互动
main782	1	11	1	0	场景互动
main783	1	11	1	0	场景互动
main784	1	11	1	0	场景互动
main785	1	11	1	0	场景互动
main786	1	11	1	0	场景互动
main787	1	11	1	0	场景互动
main788	1	11	1	0	场景互动
main789	1	11	1	0	场景互动
main790	1	11	1	0	场景互动
main791	1	11	1	0	场景互动
main792	1	11	1	0	场景互动
main793	1	11	1	0	场景互动
main794	1	11	1	0	场景互动
main795	1	11	1	0	场景互动
main796	1	11	1	0	场景互动
main797	1	11	1	0	场景互动
main798	1	11	1	0	场景互动
main799	1	11	1	0	场景互动
main7401	1	11	1	0	场景互动
main7402	1	11	1	0	场景互动
main7403	1	11	1	0	场景互动
main7404	1	11	1	0	场景互动
main7405	1	11	1	0	场景互动
main7406	1	11	1	0	场景互动
					
CMloopA101	1	11	1	0	陪伴场景
CMloopA102	1	11	1	0	陪伴场景
CMloopA103	1	11	1	0	陪伴场景
CMloopA104	1	11	1	0	陪伴场景
CMloopA105	1	11	1	0	陪伴场景
CMloopA106	1	11	1	0	陪伴场景
CMloopA107	1	11	1	0	陪伴场景
CMloopA108	1	11	1	0	陪伴场景
CMloopA109	1	11	1	0	陪伴场景
CMloopA110	1	11	1	0	陪伴场景
CMloopA111	1	11	1	0	陪伴场景
CMloopA112	1	11	1	0	陪伴场景
CMloopA113	1	11	1	0	陪伴场景
CMloopA201	1	11	1	0	陪伴场景
CMloopA202	1	11	1	0	陪伴场景
CMloopA203	1	11	1	0	陪伴场景
CMloopA204	1	11	1	0	陪伴场景
CMloopA205	1	11	1	0	陪伴场景
CMloopA206	1	11	1	0	陪伴场景
CMloopAtoB	1	11	1	0	陪伴场景
CMloopBtoA01	1	11	1	0	陪伴场景
CMloopBtoA02	1	11	1	0	陪伴场景
CMloopA301	1	10	1	0	陪伴场景
CMloopA302	1	10	1	0	陪伴场景
CMloopA303	1	10	1	0	陪伴场景
CMloopA304	1	10	1	0	陪伴场景
CMloopA305	1	10	1	0	陪伴场景
CMloopA306	1	10	1	0	陪伴场景
CMloopA307	1	10	1	0	陪伴场景
CMhu5_101	1	11	1	0	陪伴场景
CMhu5_102	1	11	1	0	陪伴场景
CMhu5_201	1	11	1	0	陪伴场景
CMhu30_101	1	11	1	0	陪伴场景
CMhu1h_101	1	11	1	0	陪伴场景
CMhu1h_102	1	11	1	0	陪伴场景
CMhu12h_101	1	11	1	0	陪伴场景
CMhu12h_102	1	11	1	0	陪伴场景
CMhu12h_103	1	11	1	0	陪伴场景
CMhu12h_104	1	11	1	0	陪伴场景
CMclock01	1	11	1	0	陪伴场景
CMclock02	1	11	1	0	陪伴场景
CMclock03	1	11	1	0	陪伴场景
CMclock04	1	11	1	0	陪伴场景
CMclock05	1	11	1	0	陪伴场景
CMclock06	1	11	1	0	陪伴场景
CMclock07	1	11	1	0	陪伴场景
CMclock08	1	11	1	0	陪伴场景
CMclock09	1	11	1	0	陪伴场景
CMloopB301	1	10	1	0	陪伴场景
CMloopB302	1	10	1	0	陪伴场景
CMloopB303	1	10	1	0	陪伴场景
CMloopB304	1	10	1	0	陪伴场景
CMloopB305	1	10	1	0	陪伴场景
CMloopB306	1	10	1	0	陪伴场景
