 	角色ID	Wwise事件	描述	气泡文本key	多个Wwise事件时随机概率	是否播放状态:0-自己播,队友不播;1-自己播,队友也播
VoiceID	CharacterID	WwiseEvent	Des	VoiceText	Weight	PlayState
分析员_互动						
main701	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main701	1	0
main702	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main702	1	0
main703	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main703	1	0
main704	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main704	1	0
main705	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main705	1	0
main706	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main706	1	0
main707	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main707	1	0
						
main708	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main708	1	0
main709	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main709	1	0
main710	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main710	1	0
main711	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main711	1	0
main712	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main712	1	0
main713	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main713	1	0
main714	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main714	1	0
main715	10940101	Play_Vo_Fxy_None		speak.10940101_120202_main715	1	0
						
main781	10960102	Play_Vo_Fxy_None		speak.10960102_121002_main781	1	0
main782	10960102	Play_Vo_Fxy_None		speak.10960102_121002_main782	1	0
main785	10960102	Play_Vo_Fxy_None		speak.10960102_121002_main785	1	0
main786	10960102	Play_Vo_Fxy_None		speak.10960102_121002_main786	1	0
main787	10960102	Play_Vo_Fxy_None		speak.10960102_121002_main787	1	0
main788	10960102	Play_Vo_Fxy_None		speak.10960102_121002_main788	1	0
						
main701	10960101	Play_Vo_Fxy_None	好听。	speak.10960101_121002_main701	1	0
main702	10960101	Play_Vo_Fxy_None	深沉而悠扬，铿锵不失含蓄，实在引人入胜。	speak.10960101_121002_main702	1	0
main703	10960101	Play_Vo_Fxy_None	你看上去，好像松了一口气？	speak.10960101_121002_main703	1	0
main704	10960101	Play_Vo_Fxy_None	你多虑了，我很喜欢。	speak.10960101_121002_main704	1	0
main705	10960101	Play_Vo_Fxy_None	没有。	speak.10960101_121002_main705	1	0
main706	10960101	Play_Vo_Fxy_None	看你看入迷了。	speak.10960101_121002_main706	1	0
main707	10960101	Play_Vo_Fxy_None	发现了。	speak.10960101_121002_main707	1	0
main708	10960101	Play_Vo_Fxy_None	你很少犯这类错误的，有什么影响了你？	speak.10960101_121002_main708	1	0
main709	10960101	Play_Vo_Fxy_None	天涯海角……	speak.10960101_121002_main709	1	0
						
main701	10910101	Play_Vo_Fxy_None	没受伤吧？	speak.10910101_111702_main701	1	0
main702	10910101	Play_Vo_Fxy_None	今天的一切原本就都是属于你的。	speak.10910101_111702_main702	1	0
main703	10910101	Play_Vo_Fxy_None	慢慢来，我们还有很多时间。	speak.10910101_111702_main703	1	0
main704	10910101	Play_Vo_Fxy_None	也感谢你的追逐，让我们没有错过彼此。	speak.10910101_111702_main704	1	0
main705	10910101	Play_Vo_Fxy_None	未来还很长呢，还有更多让你高兴的事。	speak.10910101_111702_main705	1	0
						
main780	10910101	Play_Vo_Fxy_None	你是个特别的女孩，我想让我们最重要的仪式也足够特别。	speak.10910101_121502_main780	1	0
main781	10910101	Play_Vo_Fxy_None	为什么送这个？	speak.10910101_121502_main781	1	0
main782	10910101	Play_Vo_Fxy_None	吓到你了？这里……还是太高了吧？	speak.10910101_121502_main782	1	0
main783	10910101	Play_Vo_Fxy_None	真的没问题了吗？	speak.10910101_121502_main783	1	0
main784	10910101	Play_Vo_Fxy_None	没有不信，只是习惯性关心你。	speak.10910101_121502_main784	1	0
						
main701	10910103	Play_Vo_Fxy_None	你不也提前到了。	speak.10910103_130502_main701	1	0
main702	10910103	Play_Vo_Fxy_None	当然不会。	speak.10910103_130502_main702	1	0
main703	10910103	Play_Vo_Fxy_None	为什么会有这个担忧？	speak.10910103_130502_main703	1	0
main704	10910103	Play_Vo_Fxy_None	也是因为你从来都很勇敢。	speak.10910103_130502_main704	1	0
main705	10910103	Play_Vo_Fxy_None	准备好了吗？	speak.10910103_130502_main705	1	0
main706	10910103	Play_Vo_Fxy_None	我们的感情只能被爱定义。	speak.10910103_130502_main706	1	0
main707	10910103	Play_Vo_Fxy_None	谢谢你不顾一切奔向我。	speak.10910103_130502_main707	1	0
						
main701	10910101	Play_Vo_Fxy_None	嗯，久等了。	speak.10960101_120102_main701	1	0
main702	10910101	Play_Vo_Fxy_None	嗯。	speak.10960101_120102_main702	1	0
						
						
						
苔丝_绮幻_恋如花舞						
main700	111702	Play_Vo_girl017a_02_main700	啦啦啦~马上就大功告成。这边哦~哇~谢谢，是你选的吗？走吧，我已经准备好了哦！不过……我还是好紧张啊嘿嘿。登登~！来这里哦。接下来是只属于你的魔术秀！	speak.111702_main700	1	0
main701_01	111702	Play_Vo_girl017a_02_main701_01	手借我一下！锵锵~先来个经典的近景魔术吧。嘻嘻~在这边哦，选一张吧。我捂住眼睛啦，麻烦你画个标记。	speak.111702_main701_01	1	0
main701_02	111702	Play_Vo_girl017a_02_main701_02	画好了吗？现在是苔丝的魔法时间~跑~到~这里来喽！喜欢这个魔术吗？	speak.111702_main701_02	1	0
