Wwise事件	//描述	气泡文本key	角色的D	中配字幕延迟	中配字幕持续时长	日配字幕延迟	日配字幕持续时长	英配字幕延迟	英配字幕持续时长	韩配字幕延迟	韩配字幕持续时长
WwiseEvent	Des	VoiceText	card_d	C_Delay	C_EndTime	J_Delay	J_EndTime	E_Delay	E_EndTime	K_Delay	K_EndTime
//扭蛋seq											
Play_Vo_girl015b_gacha001_042	分析员，来，一起摇摆啊~	speak.1215_gacha	15								
Play_Vo_girl017a_gacha001_042	表演开始咯，当当！	speak.1117_gacha	17								
Play_Vo_girl022_gacha001_042	我是我命运的主宰，夜色正美，不如与我漫步？	speak.1022_gacha	22								
Play_Vo_girl008c_gacha001_042		speak.1308_gacha	8								
Play_Vo_girl013b_gacha001_042		speak.1213_gacha	13								
Play_Vo_girl023_gacha001_042		speak.1023_gacha	23								
Play_Vo_girl006b_gacha001_042		speak.1206_gacha	6								
Play_Vo_girl012b_gacha001_042	谁才是好喵~	speak.1212_gacha	12								
Play_Vo_girl020a_gacha001_042	镜爻，开。乾转坤移，镜纳万象！卜卜是不是很厉害？	speak.1120_gacha	20								
Play_Vo_girl001b_gacha001_042	万物相变，随你心意，变！哼~	speak.1201_gacha	1								
Play_Vo_girl005c_gacha001_042	啊，茶冷了……来加热一下吧~亲爱的，请喝茶~	speak.1305_gacha	5								
Play_Vo_girl024_gacha001_042	是分析员将妾身带回“人间”，所以，要对妾身负责啊。	speak.1024_gacha	24								
Play_Vo_girl004c_gacha001_042	嗯！准备完毕！启动！哇——嗯？嘿嘿！	speak.1304_gacha	4								
											
//结算seq											
Play_Vo_girl001_win001_026		speak.1001_rikiwin1	1								
Play_Vo_girl001_win002_027		speak.1001_rikiwin2	1								
Play_Vo_girl002_win001_026		speak.1002_rikiwin1	2								
Play_Vo_girl002_win002_027		speak.1002_rikiwin2	2								
Play_Vo_girl003_win001_026		speak.1003_rikiwin1	3								
Play_Vo_girl003_win002_027		speak.1003_rikiwin2	3								
Play_Vo_girl004_win001_026		speak.1004_rikiwin1	4								
Play_Vo_girl004_win002_027		speak.1004_rikiwin2	4								
Play_Vo_girl005_win001_026		speak.1005_rikiwin1	5								
Play_Vo_girl005_win002_027		speak.1005_rikiwin2	5								
Play_Vo_girl006_win001_026		speak.1006_rikiwin1	6								
Play_Vo_girl006_win002_027		speak.1006_rikiwin2	6								
Play_Vo_girl007_win001_026		speak.1007_rikiwin1	7								
Play_Vo_girl007_win002_027		speak.1007_rikiwin2	7								
Play_Vo_girl008_win001_026		speak.1008_rikiwin1	8								
Play_Vo_girl008_win002_027		speak.1008_rikiwin2	8								
Play_Vo_girl010_win001_026		speak.1010_rikiwin1	10								
Play_Vo_girl010_win002_027		speak.1010_rikiwin2	10								
Play_Vo_girl011_win001_026		speak.1011_rikiwin1	11								
Play_Vo_girl011_win002_027		speak.1011_rikiwin2	11								
Play_Vo_girl012_win001_026		speak.1012_rikiwin1	12								
Play_Vo_girl012_win002_027		speak.1012_rikiwin2	12								
Play_Vo_girl013_win001_026		speak.1013_rikiwin1	13								
Play_Vo_girl013_win002_027		speak.1013_rikiwin2	13								
Play_Vo_girl014_win001_026		speak.1014_rikiwin1	14								
Play_Vo_girl014_win002_027		speak.1014_rikiwin2	14								
Play_Vo_girl015_win001_026	过于简单了，哼。	speak.1015_rikiwin1	15								
Play_Vo_girl015_win002_027	去找新目标吧。	speak.1015_rikiwin2	15								
Play_Vo_girl016_win001_026	过于简单了，哼。	speak.1016_rikiwin1	16								
