字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H苔丝		分析员，我听说你最近发展了副业！		
page1.2	H主角		副业？		
page1.3	H苔丝		对啊，听说你当演员了！		
page1.4	H主角		这个……目前没有继续发展的计划。		
page1.5	H苔丝		这样吗？		
page1.6	H苔丝		但是分析员的演技还是很厉害了吧！		
page1.7	H主角		不好说，每个人对“演技”的标准不一样。		
page1.8	H苔丝		我是不是可以邀请你来当我下次表演的搭档呢！		
page1.9	H主角		怎么突然提到这个？		
page1.10	H苔丝		才不是突然呢！我很早以前就在这么打算了！		
page1.11	H主角		蓄谋已久啊……		
page1.12	H苔丝		嘿嘿~因为一直以为你会拒绝表演这种事，就不敢提。但是现在已经当演员了，说明你是不抗拒表演的。		
page1.13	H主角		这个逻辑倒也没错（虽然不是我主动的）。		
page1.14	H苔丝		对吧对吧！你就帮我一次嘛！		
page1.15	H主角		魔术还是有点……		
page1.16	H苔丝		求求你了，分析员~我会好好报答的！		
page1.17	H主角		只有一次哦。		
page1.18	H苔丝		太好了！		
page1.19	H苔丝		那我们来核对一下日程吧，看看什么时候开始排练！嘿嘿~		
