id	备注	是否是起点商品	位置(坐标）	相邻商品(位置id)	连线路径{对象位置id,{连线路径经过的点}}	购买所需价格（珍珠）	商品内容（id+数量）
ID	Comment	Origin	Position	LinkNode	LinkLine	NeedCash	Goods
3		1	3	{13}	{{13,{3,8,13}}}	{{17,4}}	{4,3,1,1,5000}
11		0	11	{13,22,31}	{{13,{11,12,13}},{22,{11,16,21,22}},{31,{11,16,21,26,31}}}	{{18,4}}	{5,1,1,3,5}
13		0	13	{3,11,15}	{{3,{13,8,3}},{11,{13,12,11}},{15,{13,14,15}}}	{{21,4}}	{5,9,1,2,4}
15		0	15	{13,24,35}	{{13,{15,14,13}},{24,{15,20,25,24}},{35,{15,20,25,30,35}}}	{{19,4}}	{5,3,1,3,5}
22		0	22	{11,31,33}	{{11,{22,21,16,11}},{31,{22,21,26,31}},{33,{22,27,32,33}}}	{{20,4}}	{4,2,1,6,1}
24		0	24	{15,33,35}	{{15,{24,25,20,15}},{33,{24,29,34,33}},{35,{24,25,30,35}}}	{{17,3},{18,3}}	{4,3,1,1,5000}
31		0	31	{11,22,46}	{{11,{31,26,21,16,11}},{22,{31,26,21,22}},{46,{46,41,36,31}}}	{{18,3},{20,3}}	{5,3,1,3,5}
33		0	33	{22,24,43}	{{22,{33,32,27,22}},{24,{33,34,29,24}},{43,{33,38,43}}}	{{17,3},{21,3}}	{5,9,1,2,5}
35		0	35	{15,24,50}	{{15,{35,30,25,20,15}},{24,{35,30,25,24}},{50,{50,45,40,35}}}	{{18,5}}	{5,1,1,3,5}
43		0	43	{33,58}	{{33,{43,38,33}},{58,{58,53,48,43}}}	{{18,3},{20,3}}	{4,3,2,1,40}
46		0	46	{31,58,67}	{{31,{46,41,36,31}},{58,{58,53,48,43}},{67,{67,62,57,58}}}	{{19,5}}	{5,5,1,1,5}
50		0	50	{35,80}	{{35,{50,45,40,35}},{80,{80,75,70,65,60,55,50}}}	{{18,3},{21,3}}	{5,5,1,2,5}
58		0	58	{43,46,67,69,78}	{{43,{58,53,48,43}},{46,{58,57,56,51,46}},{67,{58,57,62,67}},{69,{69,68,63,58}},{78,{78,73,68,63,58}}}	{{17,5}}	{5,3,1,3,6}
67		0	67	{46,58,76}	{{46,{46,51,56,57,62,67}},{58,{58,57,62,67}},{76,{76,71,72,67}}}	{{19,3},{21,3}}	{4,3,1,1,10000}
69		0	69	{58,78,80}	{{58,{58,63,68,69}},{78,{78,73,68,69}},{80,{80,79,74,69}}}	{{18,6}}	{5,21,2,4,1}
76		0	76	{67,87}	{{67,{67,72,71,76}},{87,{87,86,81,76}}}	{{18,3},{21,3}}	{5,1,1,4,3}
78		0	78	{58,69,87}	{{58,{58,63,68,73,78}},{69,{69,68,73,78}},{87,{87,88,83,78}}}	{{20,6}}	{5,3,1,4,3}
80		0	80	{50,69,90}	{{50,{80,75,70,65,60,55,50}},{69,{69,74,79,80}},{90,{90,85,80}}}	{{19,3},{20,3}}	{5,9,1,2,5}
87		0	87	{76,78,96,98}	{{76,{76,81,86,87}},{78,{78,83,88,87}},{96,{96,91,92,87}},{98,{98,93,92,87}}}	{{17,6}}	{4,3,1,1,10000}
90		0	90	{80,100}	{{80,{80,85,90}},{100,{100,95,90}}}	{{19,3},{21,3}}	{4,3,2,1,40}
96		0	96	{87,98,106}	{{87,{87,92,91,96}},{98,{98,93,92,91,96}},{106,{106,101,96}}}	{{21,7}}	{5,1,1,4,3}
98		0	98	{87,96,100,108}	{{87,{87,92,93,98}},{96,{96,91,92,93,98}},{100,{100,99,98}},{108,{108,103,98}}}	{{17,4},{18,4}}	{5,5,1,1,5}
100		0	100	{90,98,115}	{{90,{90,95,100}},{98,{98,99,100}},{115,{115,110,105,100}}}	{{18,7}}	{4,3,1,1,10000}
106		0	106	{96,116}	{{96,{96,101,106}},{116,{116,111,106}}}	{{19,4},{21,4}}	{5,5,1,2,5}
108		0	108	{98,118}	{{98,{98,103,108}},{118,{118,113,108}}}	{{19,4},{21,4}}	{5,21,2,4,1}
115		0	115	{100}	{{100,{105,110,115}}}	{{17,8}}	{5,5,1,3,3}
116		0	116	{106}	{{106,{106,111,116}}}	{{17,4},{21,4}}	{4,2,1,6,2}
118		0	118	{108,129,138}	{{108,{108,113,118}},{129,{129,128,123,118}},{138,{138,133,128,123,118}}}	{{19,8}}	{4,3,1,1,10000}
129		0	129	{118,138,140}	{{118,{118,123,128,129}},{138,{138,133,128,129}},{140,{140,135,130,129}}}	{{18,4},{21,4}}	{5,3,1,4,3}
138		0	138	{118,129,148}	{{118,{118,123,128,133,138}},{129,{129,128,133,138}},{148,{148,143,138}}}	{{20,8}}	{5,21,2,4,1}
140		0	140	{129,150}	{{129,{129,130,135,140}},{150,{150,145,140}}}	{{17,8}}	{5,5,1,2,5}
148		0	148	{138,150,158}	{{138,{138,143,148}},{150,{150,149,148}},{158,{158,153,148}}}	{{19,5},{20,5}}	{4,3,1,1,10000}
150		0	150	{140,148}	{{140,{140,145,150}},{148,{148,149,150}}}	{{17,5},{20,5}}	{5,1,1,4,4}
158		0	158	{148,168}	{{148,{148,153,158}},{168,{168,163,158}}}	{{18,5},{19,5}}	{5,9,1,2,6}
168		0	168	{158,178}	{{178,{168,173,178}},{158,{158,163,168}}}	{{19,9}}	{5,21,2,4,1}
176		0	176	{178,187,196}	{{178,{176,177,178}},{187,{176,181,186,187}},{196,{176,181,186,191,196}}}	{{20,5},{21,5}}	{4,3,1,1,20000}
178		0	178	{168,176,180}	{{168,{178,173,168}},{176,{178,177,176}},{180,{178,179,180}}}	{{17,9}}	{4,2,1,6,2}
180		0	180	{178,189,200}	{{178,{180,179,178}},{189,{180,185,190,189}},{200,{180,185,190,195,200}}}	{{19,6},{21,6}}	{5,5,1,4,2}
187		0	187	{176,196,198}	{{176,{187,186,181,176}},{196,{187,186,191,196}},{198,{187,192,197,198}}}	{{20,10}}	{5,5,1,3,3}
189		0	189	{180,198,200}	{{180,{189,190,185,180}},{198,{189,194,199,198}},{200,{189,190,195,200}}}	{{18,5},{20,5}}	{4,3,2,1,40}
196		0	196	{176,187,211}	{{176,{196,191,186,181,176}},{187,{196,191,186,187}},{211,{211,206,201,196}}}	{{18,10}}	{5,5,1,1,5}
198		0	198	{187,189,208}	{{187,{198,197,192,187}},{189,{198,199,194,189}},{208,{198,203,208}}}	{{19,6},{21,6}}	{5,5,1,3,4}
200		0	200	{180,189,215}	{{180,{200,195,190,185,180}},{189,{200,195,190,189}},{215,{215,210,205,200}}}	{{21,10}}	{5,3,1,4,4}
208		0	208	{198}	{{198,{208,203,198}}}	{{17,10}}	{11,1,2,1,1}
211		0	211	{196}	{{196,{211,206,201,196}}}	{{18,6},{20,6}}	{5,21,2,4,1}
215		0	215	{200}	{{200,{215,210,205,200}}}	{{19,6},{20,6}}	{4,3,1,1,20000}
