ID	位置id	底座图标	珍珠图标（GDPL）	备注	解锁关卡（通过该关卡后珍珠亮起）
ID	Position	BaseIcon	Item	Comments	UnlockLevelId
1	1	1602204	{4,1,11,1}	炎阳珍珠	4618
2	2	1602204	{4,1,11,1}	炎阳珍珠	4612
3	3	1602204	{4,1,11,1}	炎阳珍珠	4618
4	4	1602204	{4,1,11,1}	炎阳珍珠	4615
5	5	1602204	{4,1,11,1}	炎阳珍珠	
6	6	1602205	{4,1,12,1}	雪风珍珠	4622
7	7	1602205	{4,1,12,1}	雪风珍珠	4628
8	8	1602205	{4,1,12,1}	雪风珍珠	
9	9	1602205	{4,1,12,1}	雪风珍珠	4628
10	10	1602205	{4,1,12,1}	雪风珍珠	4625
11	11	1602206	{4,1,13,1}	鸣雷珍珠	
12	12	1602206	{4,1,13,1}	鸣雷珍珠	4632
13	13	1602206	{4,1,13,1}	鸣雷珍珠	4635
14	14	1602206	{4,1,13,1}	鸣雷珍珠	4638
15	15	1602206	{4,1,13,1}	鸣雷珍珠	4638
16	16	1602207	{4,1,14,1}	辉月珍珠	4642
17	17	1602207	{4,1,14,1}	辉月珍珠	
18	18	1602207	{4,1,14,1}	辉月珍珠	4648
19	19	1602207	{4,1,14,1}	辉月珍珠	4648
20	20	1602207	{4,1,14,1}	辉月珍珠	4645
21	21	1602208	{4,1,15,1}	凛冬珍珠	
22	22	1602208	{4,1,15,1}	凛冬珍珠	4652
23	23	1602208	{4,1,15,1}	凛冬珍珠	4655
24	24	1602208	{4,1,15,1}	凛冬珍珠	4658
25	25	1602208	{4,1,15,1}	凛冬珍珠	4658
