ID	备注	关卡编号	关卡名称	图标（奖励图标）	关卡等级	出场怪物信息	解锁额外扫荡产出	buff{武器类型，数量，buffid}	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	怪物强度模板	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	关卡概念图	任务资源
ID	Comments	Number	Name	RewardIcon	MonsterGrade	Monster	PearlReward	buff	MapID	FightID	Condition	ConsumeVigor	LevelStrength	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureLevel	TaskPath
4611	步枪优势副本lv.1	1	炎阳之地lv.1	{4,3,1,1}	30	{400160202,4001004,4001003,4001005}		{{5,1,2001}}	4500	1	{{1,20}}	{0,0}	4	0	0	4612				{7311}					{{4,1,11,1,1},{4,3,1,1,2000}}	1803038	Element/Element_1_1.Element_1_1
4612	步枪优势副本lv.2	2	炎阳之地lv.2	{4,1,11,1}	40	{4001008,4001004,5001001,400160601}	{{4,1,11,1,1}}	{{5,1,2001},{5,2,2002}}	4500	1	{{2,4611}}	{0,0}	4	0	0	4613				{7312}					{{4,3,2,1,20},{4,1,11,1,2},{4,3,1,1,2000}}	1803038	Element/Element_1_2.Element_1_2
4613	步枪优势副本lv.3	3	炎阳之地lv.3	{4,3,1,1}	50	{400160202,4001004,4001003,4001005}		{{5,1,2001},{5,2,2002}}	4500	1	{{2,4612}}	{0,0}	4	0	0	4614				{7313}					{{4,1,11,1,2},{4,3,1,1,2000}}	1803038	Element/Element_1_1.Element_1_1
4614	步枪优势副本lv.4	4	炎阳之地lv.4	{4,3,1,1}	60	{400160202,4001004,4001003,4001005}		{{5,1,2001},{5,2,2002}}	4500	1	{{2,4613}}	{0,0}	4	0	0	4615				{7313}					{{4,1,11,1,2},{4,3,1,1,2000}}	1803038	Element/Element_1_1.Element_1_1
4615	步枪优势副本lv.5	5	炎阳之地lv.5	{4,1,11,1}	66	{4001008,4001004,5001001,400160601}	{{4,1,11,1,1}}	{{5,1,2001},{5,2,2002},{5,3,2003}}	4500	1	{{2,4614}}	{0,0}	4	0	0	4616				{7312}					{{4,3,2,1,20},{4,1,11,1,2},{4,3,1,1,2000}}	1803038	Element/Element_1_2.Element_1_2
4616	步枪优势副本lv.6	6	炎阳之地lv.6	{4,3,1,1}	72	{400160202,4001004,4001003,4001005}		{{5,1,2001},{5,2,2002},{5,3,2003}}	4500	1	{{2,4615}}	{0,0}	4	0	0	4617				{7314}					{{4,1,11,1,3},{4,3,1,1,2000}}	1803038	Element/Element_1_1.Element_1_1
4617	步枪优势副本lv.7	7	炎阳之地lv.7	{4,3,1,1}	78	{400160202,4001004,4001003,4001005}		{{5,1,2001},{5,2,2002},{5,3,2003}}	4500	1	{{2,4616}}	{0,0}	4	0	0	4618				{7314}					{{4,1,11,1,3},{4,3,1,1,2000}}	1803038	Element/Element_1_1.Element_1_1
4618	步枪优势副本lv.8	8	炎阳之地lv.8	{4,1,11,1}	84	{400160202,4001004,500201003,4001005}	{{4,1,11,1,2}}	{{5,1,2001},{5,2,2002},{5,3,2003}}	4500	1	{{2,4617}}	{0,0}	4	0	0	0				{7315}					{{4,1,11,1,5},{4,3,1,1,2000}}	1803038	Element/Element_1_3.Element_1_3
																											
