ID	活动名称	玩法描述	活动开启时间	活动关闭时间	对应boss.txt中的ID								
ID	Name	Desc	StartTime	EndTime	Boss1	Boss2	Boss3	Boss4	Boss5	Boss6	Boss7	Boss8	Boss9
1	bossentries.Name1	Desc1	[202112010000]	[202307170400]	13	17	9	19	21	22	35	36	
2	bossentries.Name1	Desc1	[202307171000]	[202307240400]	1	2							
3	bossentries.Name1	Desc1	[202307241000]	[202307310400]	3	4							
4	bossentries.Name1	Desc1	[202307311000]	[202308070400]	5	6							
5	bossentries.Name1	Desc1	[202308071000]	[202308140400]	7	8							
6	bossentries.Name1	Desc1	[202308141000]	[202308210400]	9	10							
7	bossentries.Name1	Desc1	[202308211000]	[202308280400]	11	12							
8	bossentries.Name1	Desc1	[202308281000]	[202309040400]	13	14							
9	bossentries.Name1	Desc1	[202309041000]	[202309110400]	15	16							
10	bossentries.Name1	Desc1	[202309111000]	[202309180400]	17	18							
11	bossentries.Name1	Desc1	[202309181000]	[202309250400]	19	20							
12	bossentries.Name1	Desc1	[202309251000]	[202310020400]	21	22							
13	bossentries.Name1	Desc1	[202310021000]	[202310090400]	23	24							
14	bossentries.Name1	Desc1	[202310091000]	[202310160400]	25	26							
15	bossentries.Name1	Desc1	[202310161000]	[202310230400]	27	28							
16	bossentries.Name1	Desc1	[202310231000]	[202310300400]	29	30							
17	bossentries.Name1	Desc1	[202310301000]	[202311060400]	31	32							
18	bossentries.Name1	Desc1	[202311061000]	[202311130400]	33	34							
