ID	备注	词条组
ID	DES	tbEntries
1	必出池	{1,2,3,4,5,6,7,8,9,10,11,12,13,14}
2	25%高热类型伤害抗性	{15}
3	25%低温类型伤害抗性	{16}
4	25%电击类型伤害抗性	{17}
5	25%特异类型伤害抗性	{18}
6	25%动能类型伤害抗性	{19}
7	【难度3词条-1】编号1	{20}
8	【难度3词条-1】编号2	{21}
9	【难度3词条-1】编号3	{22}
10	【难度3词条-1】编号4	{23}
11	【难度3词条-1】编号5	{24}
12	【难度3词条-1】编号6	{25}
13	【难度4词条-1】编号1	{26}
14	【难度4词条-1】编号2	{27}
15	【难度4词条-1】编号3	{28}
16	【难度4词条-1】编号4	{29}
17	【难度4词条-1】编号5	{30}
18	【难度4词条-1】编号6	{31}
19	【难度4词条-1】编号7	{32}
20	【难度4词条-1】编号8	{33}
21	【难度8词条-2】编号1	{34,35}
22	【难度8词条-2】编号2	{36,37}
23	【难度8词条-2】编号3	{38,40}
24	【难度8词条-2】编号4	{39,40}
101	二型验证机甲	{2001,2003,2004,2051,2052}
102	“野牛”约瑟夫-1	{2005,2006,2008,2009,2011}
103	“野牛”约瑟夫-2	{2005,2006,2007,2010,2012}
104	海拉-1	{2013,2014,2015,2016,2017}
105	海拉-2	{2013,2014,2015,2016,2018}
106	波伏娃13	{2019,2020,2021,2022,2023}
107	二型验证机甲动力版-1	{2024,2026,2027,2028,2029}
108	二型验证机甲动力版-2	{2025,2026,2027,2028,2029}
109	让·苏瑞安·萨特-1	{2030,2031,2033,2034,2035}
110	让·苏瑞安·萨特-2	{2032,2031,2033,2034,2035}
111	加文	{2036,2037,2038,2039,2040}
112	二型海拉	{2041,2042,2043,2044,2045}
113	刻耳柏洛斯	{2046,2047,2048,2049,2050}
114	爱思特	{2053,2054,2055,2056,2057}
115	祟（火）测试	{2058,2059,2060,2061,2062,2087}
116	祟（冰）测试	{2064,2065,2066,2067,2068,2088}
117	威尔·安德森	{2082,2083,2084,2085,2086}
118	凯茜娅	{2076,2077,2078,2079,2080,2081}
