ID	注释	索引到具体词条技能	解锁条件（1:积分 2:等级,不填表示不需要解锁）	难度限制	填写互斥的词条ID	词条积分值	类型（1：时间限制类  2：角色存活限制 3：更换地图 0或不配表示其他类）	扩展参数{}	具体描述	总结描述
ID	Comment	EntryID	Condition	DiffLimit	tbMutex	Score	Type	tbParam	Desc	Summary
2001	二型验证机甲火神炮子弹伤害类型变更为雷属性并增加伤害			3		50			bossentries.boss2001	
2002	二型验证机甲导弹发射数量+4			1		50			bossentries.boss2002	
2003	二型验证机甲蓄力炮击爆炸后也会残留一个伤害区域			3		50			bossentries.boss2003	
2004	二型验证机甲跳跃落地时向四周发射一圈弹幕			4		50			bossentries.boss2004	
2005	“野牛”约瑟夫一阶段释放的电墙会把目标围住			6		50			bossentries.boss2005	
2006	“野牛”约瑟夫一阶段蓄力直射子弹变更为火属性并增加伤害			3		50			bossentries.boss2006	
2007	“野牛”约瑟夫一阶段跳跃位移后必定衔接蓄力直射技能			4		50			bossentries.boss2007	
2008	“野牛”约瑟夫二阶段冲拳附加直线冲击波效果			3		50			bossentries.boss2008	
2009	“野牛”约瑟夫二阶段进行冲锋腕刃攻击后会衔接三连击技能			4		50			bossentries.boss2009	
2010	“野牛”约瑟夫二阶段俯冲砸地会升起一圈子弹，落下后爆炸			3		50			bossentries.boss2010	
2011	“野牛”约瑟夫二阶段投射圆环接俯冲砸地连招，圆环变为内部分隔的正方形			6		50			bossentries.boss2011	
2012	“野牛”约瑟夫二阶段投射圆环接俯冲砸地连招，圆环会完全封锁			6		50			bossentries.boss2012	
2013	海拉手臂扫击时会在地面生成一些喷溅形式的子弹			3		50			bossentries.boss2013	
2014	海拉践踏后，还会升起一些延迟发射的跟踪子弹			6		50			bossentries.boss2014	
2015	海拉双肩喷射跟踪弹时还会发射出一些大而慢的跟踪弹			6		50			bossentries.boss2015	
2016	海拉喷射头部激光的效果改为造成全屏伤害和击飞			3		50			bossentries.boss2016	
2017	海拉召唤的泰坦杂兵会附带霸体特化技能			4		50			bossentries.boss2017	
2018	海拉释放的激光纵扫的条数从3条增加到5条			4		50			bossentries.boss2018	
2019	波伏娃13发射三连跟踪光弹时会同时释放双边扇形跟踪弹			3		50			bossentries.boss2019	
2020	波伏娃13释放瞬移时会在原地留下一个延迟追踪光弹			3		50			bossentries.boss2020	
2021	波伏娃13释放封锁光束一齐发射间隔光束的数量从1提升至3			4		50			bossentries.boss2021	
2022	波伏娃13三连胸炮的伤害提升50%			6		50			bossentries.boss2022	
2023	波伏娃13释放落雷的轮数由3轮提升至5轮，且每轮落雷的数量由3枚提升至5枚			6		50			bossentries.boss2023	
2024	二型验证机甲动力版会在朝目标跳跃和冲锋结束后固定衔接小型榴弹射击			4		50			bossentries.boss2024	
2025	二型验证机甲动力版原地跳跃时产生的地波数量由四条增加为八条			4		50			bossentries.boss2025	
