ID（1至6500之间）	备注	关卡ID（对应Level.txt中的ID）	索引到具体BOSS	对应buffID	难度对应等级{难度,等级,倍率,基础分}	词条库ID	描述	对应scene_data.txt中的ID
ID	Comment	LevelID	BossID	tbBuffID	BossLevel	BossEntries	Desc	DataId
1	二型验证机甲	501	6002002	{8230007}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,6,7,20,22,101}	bossDesc1	1
2	波伏娃13	504	6003101	{8230007}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,7,20,22,106}	bossDesc4	4
3	海拉	503	6003201	{8230008}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,6,10,13,22,104}	bossDesc3	3
4	“野牛”约瑟夫	502	6002003	{8230008}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,4,10,13,22,102}	bossDesc2	2
5	海拉·怒棘	508	6001204	{8230009}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,4,11,18,21,112}	bossDesc8	8
6	加文	507	6002102	{8230009}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,11,18,21,111}	bossDesc7	7
7	二型验证机甲·荒猎	505	6002005	{8230010}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,3,9,13,21,107}	bossDesc5	5
8	让·苏瑞安·萨特	506	6002103	{8230010}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,5,9,13,21,109}	bossDesc6	6
9	海拉·怒棘	508	6001204	{8230001}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,3,12,15,23,112}	bossDesc8	8
