ID（1至100之间）	积分要求	奖励
ID	ScoreCount	ScoreAward
1	500	{{5,15,1,1,10},{4,3,1,1,2000}}
2	1000	{{5,15,1,1,10},{5,1,1,2,5}}
3	1500	{{5,15,1,1,9},{5,9,1,2,2}}
4	2000	{{5,15,1,1,9},{5,1,1,2,5}}
5	3000	{{5,15,1,1,9},{4,3,1,1,2000}}
6	4000	{{5,15,1,1,8},{5,1,1,3,3}}
7	5000	{{5,15,1,1,8},{5,9,1,2,2}}
8	6000	{{5,15,1,1,8},{5,1,1,3,3}}
9	7000	{{5,15,1,1,8},{4,3,1,1,4000}}
10	8000	{{5,15,1,1,7},{5,9,1,2,2}}
11	9000	{{5,15,1,1,7},{5,1,1,3,3}}
12	10000	{{5,15,1,1,7},{5,9,1,2,2}}
13	11000	{{5,1,1,4,2}}
14	12000	{{4,3,1,1,4000}}
15	13000	{{5,9,1,2,2}}
16	14000	{{4,3,1,1,6000}}
