道具ID	//注释	道具类型	道具图标ID	道具名字	道具描述	玩家使用道具文本	分析员不可使用时提示文本	少女使用道具文本	出现权重	是否在剧情模式中不出现	是否不让少女随机到	功能代码字段	少女使用优先级	少女使用权重	扩展参数
ID	Comment	Type	Icon	Name	Des	PlayerTips	NoUseTips	GirlTips	Prob	BanStory	BanGirl	Function	GirlUseOrder	GirlUseWeight	Param
1	活力宝石	1	1004117	house.RouletteItem01	house.RouletteItemDes01	house.RouletteItemTip01	house.RouletteItemTip01_NoUseTip	house.RouletteItemTip01	100			AddLife	8	{{'AddLife',10}}	
2	看破墨镜	1	1004118	house.RouletteItem02	house.RouletteItemDes02	house.RouletteItemTip02		house.RouletteGirlItemTip02	200			Prophet	9	{{'Prophet',10}}	
3	拘束手铐	1	1004119	house.RouletteItem03	house.RouletteItemDes03	house.RouletteItemTip03	house.RouletteItemTip03_NoUseTip	house.RouletteItemTip03	100			BanRound	7	{{'BanRound',10}}	
4	进阶枪管	1	1004120	house.RouletteItem04	house.RouletteItemDes04	house.RouletteItemTip04	house.RouletteItemTip04_NoUseTip	house.RouletteItemTip04	200			DoubleKill	6	{{'DoubleKill',10}}	
5	怪盗之手	1	1004121	house.RouletteItem05	house.RouletteItemDes05	house.RouletteItemTip05	house.RouletteItemTip05_NoUseTip	house.RouletteGirlItemTip05	200	1		Steal	5	{{'Steal',10}}	
6	逆转魔术	1	1004122	house.RouletteItem06	house.RouletteItemDes06	house.RouletteItemTip06		house.RouletteItemTip06	200	1		Reverse	4	{{'Reverse',10}}	
7	退弹布偶	1	1004123	house.RouletteItem07	house.RouletteItemDes07	house.RouletteItemTip07	house.RouletteItemTip07_NoUseTip	house.RouletteItemTip07	200	1		Unload	3	{{'Unload',10}}	
8	重置之锤	1	1004124	house.RouletteItem08	house.RouletteItemDes08		house.RouletteItemTip08_NoUseTip		100	1	1	Reset			{4}
9	喝了能偷偷长高的牛奶	2	1004125	house.RouletteItem09	house.RouletteItemDes09				2	1	1				
10	随波逐流的浮水小鸭	2	1004126	house.RouletteItem10	house.RouletteItemDes10				2	1	1				
11	奇怪的朔州特产手套	2	1004127	house.RouletteItem11	house.RouletteItemDes11				2	1	1				
12	不搭调的温泉套餐	2	1004128	house.RouletteItem12	house.RouletteItemDes12				2	1	1				
13	鱼疗池中的黄金鱼	2	1004129	house.RouletteItem13	house.RouletteItemDes13				2	1	1				
14	让眼镜起雾的热茶	2	1004130	house.RouletteItem14	house.RouletteItemDes14				2	1	1				
