ID	关联排行榜	开启时间	结束时间	奖励时间	对应邮件ID
ID	ReferRank	StartTime	EndTime	AwardTime	MailId
1	1	[202501230400]	[202502060400]	[202502070400]	39
2	2	[202502060400]	[202502200400]	[202502210400]	40
3	3	[202503061000]	[202503200400]	[202503210400]	39
4	4	[202503200400]	[202504030400]	[202504040400]	40
5	5	[202504170400]	[202505010400]	[202505020400]	39
6	6	[202505010400]	[202505150400]	[202505160400]	40
7	7	[202505291000]	[202506120400]	[202506130400]	39
8	8	[202506120400]	[202506260400]	[202506270400]	40
9	9	[202507100400]	[202507240400]	[202507250400]	39
10	10	[202507240400]	[202508070400]	[202508080400]	40
11	11	[202508211000]	[202509040400]	[202509050400]	39
12	12	[202509040400]	[202509180400]	[202509190400]	40
13	13	[202509250400]	[202510090400]	[202510100400]	39
14	14	[202510090400]	[202510230400]	[202510240400]	40
15	15	[202511060400]	[202511200400]	[202511210400]	39
16	16	[202511200400]	[202512040400]	[202512050400]	40
17	17	[202601290400]	[202602120400]	[202602130400]	39
18	18	[202602120400]	[202602260400]	[202602270400]	40
19	19	[202603120400]	[202603260400]	[202603270400]	39
20	20	[202603260400]	[202604090400]	[202604100400]	40
21	21	[202604230400]	[202605070400]	[202605080400]	39
22	22	[202605070400]	[202605210400]	[202605220400]	40
