活动Id	日期	重点标记	奖励{g,d,p,l,n}
ActId	DayId	Special	SignReward
19	1	1	{{4,3,2,1,100}}
19	2		{{4,2,1,4,1}}
19	3	1	{{4,3,2,1,100}}
19	4		{{5,1,1,4,3}}
19	5		{{4,2,1,4,2}}
19	6		{{5,2,1,4,3}}
19	7	1	{{4,3,2,1,100}}
			
41	1	1	{{4,3,2,1,100}}
41	2		{{4,2,1,4,1}}
41	3	1	{{4,3,2,1,100}}
41	4		{{5,1,1,4,3}}
41	5		{{4,2,1,4,2}}
41	6		{{5,2,1,4,3}}
41	7	1	{{4,3,2,1,100}}
			
62	1	1	{{4,3,2,1,100}}
62	2		{{4,2,1,4,1}}
62	3	1	{{4,3,2,1,100}}
62	4		{{5,1,1,4,3}}
62	5		{{4,2,1,4,2}}
62	6		{{5,2,1,4,3}}
62	7	1	{{4,3,2,1,100}}
			
79	1	1	{{4,3,2,1,100}}
79	2		{{4,2,1,4,1}}
79	3	1	{{4,3,2,1,100}}
79	4		{{5,1,1,4,3}}
79	5		{{4,2,1,4,2}}
79	6		{{5,2,1,4,3}}
79	7	1	{{4,3,2,1,100}}
			
94	1	1	{{4,3,2,1,100}}
94	2		{{4,2,1,4,1}}
94	3	1	{{4,3,2,1,100}}
94	4		{{5,1,1,4,3}}
94	5		{{4,2,1,4,2}}
94	6		{{5,2,1,4,3}}
94	7	1	{{4,3,2,1,100}}
			
103	1	1	{{4,3,2,1,100}}
103	2		{{4,2,1,4,1}}
103	3	1	{{4,3,2,1,100}}
103	4		{{5,1,1,4,3}}
103	5		{{4,2,1,4,2}}
103	6		{{5,2,1,4,3}}
103	7	1	{{4,3,2,1,100}}
			
114	1	1	{{4,3,2,1,100}}
114	2		{{4,2,1,4,1}}
114	3	1	{{4,3,2,1,100}}
114	4		{{5,1,1,4,3}}
114	5		{{4,2,1,4,2}}
114	6		{{5,2,1,4,3}}
114	7	1	{{4,3,2,1,100}}
			
149	1	1	{{4,3,2,1,100}}
149	2		{{4,2,1,4,1}}
149	3	1	{{4,3,2,1,100}}
149	4		{{5,1,1,4,3}}
149	5		{{4,2,1,4,2}}
149	6		{{5,2,1,4,3}}
149	7	1	{{4,3,2,1,100}}
			
165	1	1	{{4,3,2,1,100}}
165	2		{{4,2,1,4,1}}
165	3	1	{{4,3,2,1,100}}
