字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	
1		0	？？			呜……	0	
2		5	安全部干员			退回线后面！	0	
3		0				……？	0	
4		5	安全部干员			playername长官，这里发现有两个遭到污染的民众……	0	
5		5	安全部干员			其中一个是小女孩……另一个应该是她的哥哥，请问，这一批还有空位吗？	0	
6		0				呼。	0	
b-1	b-1	0					0	
7	b-1-1	0				拒绝他。	0	
8	b-1-2	0				拒绝他。	0	
9	b-1-3	0				拒绝他。	0	
10		5	安全部干员			……我的意思不是……嗯……嗯……不能开这个先例。	0	
11		0				又是这里。	0	
12		0				三年前的瓦尔基里游戏会场，泰坦降临，爆炸，被感染的女孩，我已经知道她的最终结局。	0	
13		5	安全部干员			明白，我会严格执行。	0	
14		5	安全部干员			请退回警戒线内，下一批救援马上就到。	0	
b-2	b-2	0					0	
15	b-2-1	0				等等……	0	
16		0				没有理会我的呼喊，面前的安全部干员径直离开，而站在一旁的女孩却迈开步子，逐渐向我靠近。	0	
17		0				我们之间的距离本就不多，很快，她娇小的身体贴住了我。	0	
18		0	？？			分析员……	0	
19		0	？？			分析……	0	
20		0				先前模糊的面容一点点清晰，我认识她，我想喊出她的名字，所有话语却在这一刻统统卡在了喉咙。	0	
21		0				她逐渐靠近的眼中透着难以掩饰的悲戚，四目相对时，汹涌的情感像是要将我淹没……	0	
22		0	分析员			莫尔索！	0	
23		6	琴诺悖谬			哎？！分，分析员，你怎么了？	0	
24		0				早晨的阳光让我陷入了短暂的恍惚，片刻之后，我才看清站在床边的琴诺焦急的脸。	0	
25		0	分析员			没事琴诺，只是……做了个奇怪的梦。	0	
26		0				我轻轻抓住琴诺那只犹豫着要不要伸出的手，温暖而柔软的触感将我彻底带回了现实。	0	
27		6	琴诺悖谬			分析员刚才在喊莫尔索的名字……	0	
28		0				我点了点头，向琴诺讲述了方才看到的景象。	0	
29		6	琴诺悖谬			可是，琴诺和莫尔索没有去过瓦尔基里游戏会场。	0	
30		0	分析员			我知道，看来莫尔索的意识的确在影响我的记忆。	0	
31		0				不久前，在被降临团称为永恒净土的地方，我吸收了莫尔索的意识。	0	
32		0				这个颇为冒险的行为是当时我能想到的，唯一有希望能保全莫尔索的办法。	0	
33		0				而在那之后，芙提雅很快给我带来了好消息。	0	
b-3	b-3	0					0	
34	b-3-1	0				<orange>锚定装置</>？	0	
35		2	芙提雅			嗯嗯！这就是芙提雅老师之前和你说过的最新构想！	0	
36		2	芙提雅			在分析员找到那朵"花"之后，我就拉上了猫汐尔和瑟瑞斯一起开发这东西，如今正好派得上用场。	0	
37		3	猫汐尔			锚定装置在原理上与公司已有的脑神经检查器接近，分析员可以用它反复查看自己的记忆喵。	0	
38		1	瑟瑞斯			如果能找到莫尔索的意识，只要触碰她，就能把她送回到琴诺的身体里了。	0	
39		0				我看向面前的三人，两个卫城学院的前沿机械天才，再加上一个世界树私立大学毕业的脑科学专家……	0	
40		0				在这件事上，她们无疑就是我能依仗的最可靠的力量。	0	
41		0				按她们的说法，这个搜寻过程并不需要太多技巧，要做的只是一次又一次地尝试。	0	
42		0				我本以为这个过程或将持续几个月甚至数年，但在最近，我的记忆中忽然凭空多出了一些片段。	0	
43		0				莫尔索的身影出现在了瓦尔基里游戏会场，安全部办公室，甚至是多年前我独居时的家中。	0	
44		0				而无一例外的，她在这些记忆中都带着同一双悲伤的眼睛。	0	
45		0				这些琐碎的记忆在潜意识中自行拼合，让我在这几天梦到了各种奇异的场景。	0	
46		0				好消息是，这证明莫尔索的意识确实还存在。而坏消息是……	0	
47		6	琴诺悖谬			莫尔索一定经历了很痛苦的事情……	0	
48		0				琴诺的目光黯淡下去，手也不自觉地握紧了些。	0	
49		0	分析员			就目前而言，莫尔索的出现是好事。	0	
50		0	分析员			虽然她看上去不太好，但只要能够现身，离我们找到她已经不远了。	0	
51		0	分析员			更何况，她一定是想告诉我什么，才会尽力出现在我的记忆中的。	0	
52		0				我摸了摸琴诺的头，在莫尔索消失之后，琴诺也成长了许多。	0	
53		0				她如莫尔索期待的那样，更坚强地活着。但我知道她同我一样，都希望早些找回莫尔索。	0	
54		6	琴诺悖谬			我知道了……我也会尽力帮助分析员的！	0	
55		6	琴诺悖谬			那今天也要做那个吗？	0	
56		0	分析员			嗯，交给你了，琴诺。	0	
57		0				琴诺红着脸点了点头，慢慢靠近我的耳边，短促的呼吸声在此刻也清晰可闻，我不自觉地绷紧了半边身体。	0	
58		0				为了强化我对莫尔索的记忆，我向琴诺提议，让她给我多讲一些关于莫尔索的事情。	0	
59		0				她立刻答应下来，但在聊及自己的事情时，总是会羞怯到说不出话。	0	
60		0				最后我们想出的折中办法是，让她以说悄悄话的方式来讲述……虽然有些古怪。	0	
61		6	琴诺悖谬			今天要给分析员讲的是，莫尔索和我被关禁闭的事……	0	
