?ַ???????	????	????λ??	˵????	ʵ??˵????	Wwise?¼???	???ļ???	????ʽ?İ????÷??룬??Ӧģ???Ĳ߻???д??1?ǣ?0????	??ע
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				一场干净利落的斩首式胜利。在晴击退了降临团后，新兵们也顺利完成了剩余异化人的清剿。	0	
2		0				对于我来说，这意味着可以向研发部申请对生化义肢的进一步资金投入……不过这都是后话了。	0	
3		0				前方，红色的身影已经凯旋。	0	
4		6	晴			分析员，目标已经达成。	0	
5		6	晴			生化义肢没有出现任何问题，比之前更加好用了。	0	
b-1	b-1	0					0	
6	b-1-1	0				你的表现也很好。	0	
7		0				硬要说的话，是表现太好了，不太利于新兵的成长。不过晴本身也没多少带新兵的时间，问题不大。	0	
8		6	晴			过奖了。如果没其他问题的话，我就去喊新兵们返程了。	0	
b-2	b-2	0					0	
9	b-2-1	0				待会要不要去喝一杯？	0	
b-3	b-3	0					0	
10	b-3-1	0				就去以前安全部那几个活宝最喜欢的那家，叫……	0	
11		6	晴			“往生”？	0	
12		0				晴的眼神之中流露出一些复杂的神情。	0	
13		6	晴			分析员，那家店已经在一次降临事件中，被毁掉了。	0	
b-4	b-4	0					0	
14	b-4-1	0				……	0	
15		6	晴			抱歉。	0	
b-5	b-5	0					0	
16	b-5-1	0				说什么抱歉，你又不是泰坦。	0	
17		0				晴没有被我蹩脚的吐槽逗笑，她的目光飘向远方，似乎穿过了整个零区，又落回我这里。	0	
18		6	晴			我们去其他地方走走吧。	0	
19		0				说罢，我还没来得及做出反应，手腕已经被晴的左手抓住。	0	
auto_14689		0				我被晴带着走出零区、坐上地铁，一路直奔至一条繁华的商业街。	0	
21		0				即使离零区只有十公里，这里也依然人声鼎沸，一切如常。	0	
22		6	晴			比起公司附近，这边更像是正常的城市吧。	0	
b-7	b-7	0					0	
23	b-7-1	0				嗯，感觉不错。	0	
24		0				虽然，在降临事件之前，我也很少到这种商业街。	0	
b-8	b-8	0					0	
25	b-8-1	0				晴对这附近很熟悉吗？	0	
26		6	晴			不……我只来过一次，之前芬妮约了大家到这里逛街。	0	
27		0				好吧，算是意料之中。总之先随便走走好了。	0	
28		0				第一站的目标决定为一家环保美妆线下体验店。	0	
29		6	晴			美妆？	0	
30		6	晴			我没有尝试过，会很奇怪吗？	0	
b-9	b-9	0					0	
31	b-9-1	0				说实话，我也不了解这些。	0	
32		0				望着琳琅满目的叫不出名字的商品，我和晴就像两个小孩，一同陷入了沉默。	0	
33		0				柜台专员似乎看出了我们的窘迫，立马过来为我们解释了起来。	0	
34		5	店员			客人，请问需要我帮您介绍一下吗？	0	
35		5	店员			我这边比较推荐我们的口红新品，是栎树绿能公司的季度主推，在您这样的年轻女性中很受欢迎。	0	
36		5	店员			您有偏好的色号吗？	0	
37		4	晴			色号是什么……	0	
38		5	店员			……？	0	
39		4	晴			啊，抱歉，不用了！	0	
40		0				晴红着脸，把我拉出店铺。	0	
41		6	晴			呼……	0	
42		6	晴			我刚才是不是问了很蠢的问题？	0	
b-10	b-10	0					0	
43	b-10-1	0				没事，我也不知道。	0	
44		6	晴			分析员你可别骗我。	0	
45		0				虽然顾名思义能猜到是口红颜色之类的，不过还是不说出来了。	0	
46		0				第二站来到了卖香水的店。	0	
47		0				汲取了上次的经验，这次我们靠着侦察与反侦察技巧，娴熟地绕开了热情的售货员们。	0	
48		6	晴			柑橘香型，有提神醒脑的作用……嗯，看来比口红实用一点。	0	
b-11	b-11	0					0	
49	b-11-1	0				确实不错。	0	
50		6	晴			不过在实战中的话，可能会因为气味暴露自己的位置。	0	
b-12	b-12	0					0	
51	b-12-1	0				平时用就没问题吧。	0	
52		6	晴			可能会有紧急任务。我觉得，还是不太适合我。	0	
53		0				晴拿着那瓶香水左看右看，虽然说着不合适，但还是舍不得放回柜台。想了一会后，她忽然抬头看向我。	0	
54		6	晴			有办法了。分析员，这瓶香水就买下送给你吧。	0	
b-13	b-13	0					0	
55	b-13-1	0				嗯？也不是不行，不过为什么？	0	
56		6	晴			作为分析员，保持清醒很重要吧。	0	
57		6	晴			而且你用上的话，大家都能闻到，利用率最大化。	0	
58		0				……好像有点道理。	0	
59		0				在晴期待的目光中，我们买下了这瓶香水。当然，晴执意要付钱，我也就欣然接受了。	0	
60		0				走出香水店，我们继续漫无目的地逛着。	0	
61		0				一个小时后，我已经收到了一堆小物件，但晴手上还是空空如也。	0	
62		0				理由自然还是“用不上”和“不合适”。	0	
63		0				眼看这条商业街已经走到尽头，我环顾四周，试图找到最合适的礼物。	0	
64		0				很快，我就找到了目标。	0	
b-14	b-14	0					0	
65	b-14-1	0				稍等我一下。	0	
66		0				我跑去路边的一家小小的饰品店，使用材料快速打印服务做了一个发卡，回来送到了晴的手中。	0	
67		6	晴			给我的？这是……发卡，好像是一朵花。	0	
b-15	b-15	0					0	
68	b-15-1	0				是郁金香哦。	0	
69		6	晴			郁金香啊……虽然很美，但……	0	
70		6	晴			为什么要送我这个？	0	
b-16	b-16	0					0	
71	b-16-1	0				因为它的花语里，有荣誉的含义。	0	
72		6	晴			荣誉？	0	
b-17	b-17	0					0	
73	b-17-1	0				我觉得它非常适合你。	0	
74		0				我知道这就是晴一直以来追求的东西，无论战斗还是生活，她都践行着自己的信念。	0	
b-18	b-18	0					0	
75	b-18-1	0				除此之外，郁金香也有重逢的意思。	0	
b-19	b-19	0					0	
76	b-19-1	0				很高兴能再次见到你。	0	
77		6	晴			分析员……	0	
78		0				晴握住发卡，对我露出了不同于之前的微笑，随后便毫不犹豫地向前一步，结结实实地拥抱了我。	0	3.5版本因为设定修改而同步修改内容
79		6	晴			我会珍藏它的。	0	
80		6	晴			以及，我也很高兴能再次见到你，分析员。	0	
