字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	
1		0	雷吉乌斯			第52次锚定记录。	0
2		6	安全部干员			长官？	0
3		6	安全部干员			长官，这里就是降临团的1号据点了。	0
4		6	安全部干员			在外围抵抗的持械危险分子已经按您交代的抓起来了，我们现在准备进去检查一下里面还有没有危险品。	0
5		6	安全部干员			这是任务记录，您检查一下，没问题的话我就发给上面了哈。	0
6		0				我接过安全部干员递来的终端，上面只有寥寥几行字。	0
7		0				“2056年2月27日，突入危险组织‘降临团’据点，抓捕武装人员12名，头目3名……”	0
8		0	分析员			没问题，你去发吧，我也进去据点里边看看。	0
9		6	安全部干员			好嘞，那您自己小心。	0
10		0				将终端递给对方后，我沿着狭小逼仄的通道走了十来步，来到了降临团据点的内部。	0
11		0				数十个房间整齐排列着，几名干员们正穿行于它们之间，搜寻降临团藏匿的武器和爆炸物。	0
12		0				而在走廊尽头，两名干员站在一扇黑色的门前，似乎在争论着什么。看到我走近，他们立刻迎上前来。	0
13		6	安全部干员			长官，这个房间里面好像有人的声音。	0
14		6	安全部干员			我们担心里面有埋伏。您知道的，降临团一些暴徒持有利器和炸药……	0
15		0	分析员			嗯，谨慎一些是好事。	0
16		0	分析员			把防暴盾给我吧，我进去看看。	0
17		6	安全部干员			长官，这……	0
18		0				我摇了摇头，从干员手中拿过防暴盾，打开了门。	0
19		0				在我开门的同时，房间深处的角落里也传出了衣服摩擦的声音。	0
20		0				房间内一片漆黑，散发着阴冷而带有灰尘的气息。里面似乎完全没有窗户或通风口，与外界唯一的连接就是我身后的门。	0
21		0				借着门外的光，我勉强看清了这个房间的内部构造。房间里只有一张靠墙的小床，一把椅子，似乎是刻意为了让人感到不适而存在。	0
22		0				整个房间都没有能藏人的地方，看来角落里缩成一团，像被遗弃的毛绒玩具般的，就是这个房间里唯一的人。	0
23		0	分析员			不用担心了，里面只有一个孩子。	0
24		0	分析员			帮我准备块毯子，对了，还要个纸袋子。她应该在这个房间待了挺长一段时间了，直接出去的话眼睛会受伤。	0
25		0				我蹲下身子，慢慢将黑暗中的女孩抱起。	0
26		0				她的身体很轻，呼吸很重，在我怀中不停地颤抖。	0
27		0				接过干员们递过来的毯子和纸袋后，我把她裹了个严严实实。	0
28		0	分析员			别怕，很快就能出去了。	0
29		0	分析员			接下来你们把这孩子送上救护车吧，我去其他地方看看。	0
30		0				我正准备将怀中的女孩交给安全部干员们，她却忽然轻微地动了一下，似乎想抬起自己的手。	0
b-1	b-1	0					0
31	b-1-1	0				朝她伸出手	0
32		0				周围的一切随着我的行动停止，我试图伸出的手突兀地停在空中，任凭我如何努力也无法再靠近半分。	0
33		0				就在这时，我看到那只瘦弱的手在定格的时间中慢慢举起，直至触摸到我的脸颊。	0
34		0				电光石火之间，我的脑中如爆炸般涌出无数记忆。	0
35		0	分析员			……哈。	0
36		0	分析员			找到你了，莫尔索。	0
37		0	莫尔索悖谬			我做了一个漫长的梦。	0
38		0	莫尔索悖谬			我在冰冷的海洋中不断下沉，落入没有一点光亮的深渊之中。	0
39		0	莫尔索悖谬			直到一只手拉住了我，缓慢却又坚决地把我拉了上去。	0
40		0	分析员			呼——	0
41		0				从来没有觉得医疗室的灯光这么令人安心过。	0
42		0				在睁开眼时，我感觉到先前封存的记忆已经尽数恢复了，这也就意味着……	0
b-2	b-2	0					0
43	b-2-1	0	分析员			成功了吗，琴诺？	0
44		6	莫尔索悖谬			现在，是莫尔索哦。	0
45		6	莫尔索悖谬			终于……又见面了。	0
46		4	恩雅			所以，算是圆满解决了吧？	0
47		0				难得的休息日，少女们聚集在基地大厅。分析员这些天以来的“小动作”并没有瞒住任何人，但为了不给那个人徒增压力，她们只能将这份担心深藏于心。	0
48		5	瑟瑞斯			莫尔索顺利回来了，琴诺的身体也没出现问题。分析员的大脑出现了过度使用的后遗症，静养一段时间就好。	0
49		6	芙提雅			唯一的受害者是芙提雅老师的锚定装置！它在超负荷运转两周之后，还是光荣牺牲了。	0
50		6	肴			不过，在五年前把琴诺从降临团救出来的人，竟然就是还在安全部的playername……	0
51		0	肴			最离奇的是，两位，哦不，三位当事人都对这件事一无所知，最后检查了记忆才弄清楚。	0
52		5	安卡希雅			playername，总是会遇到这种事。	0
53		6	恩雅			好啦，不管怎样，分析员和小琴诺没事就好。	0
54		1	苔丝			何止是没事……	0
55		0	苔丝			我今天刚看到莫尔索说，既然她回来了，以后陪她和琴诺的时间得是别人的两倍才行。	0
56		3	芬妮			哈？！	0
57		0	琴诺悖谬			分析员，这边，前面就是那家卖草莓炒鱼丸的店了。	0
58		0				恢复得差不多以后，琴诺非说要带我去吃她发现的宝藏料理，于是一大早我就被拽出了公司。	0
b-3	b-3	0					0
59	b-3-1	0				一定要吃这个吗？	0
60		0	莫尔索悖谬			你要是受不了的话，我可以勉为其难帮你吃掉一些哦。	0
61		0				在另一边，莫尔索笑盈盈地看着我。	0
62		0				现在，通过接触琴诺，莫尔索能短暂地以信息态的方式独立于琴诺出现——虽然只有我和琴诺能看到。	0
b-4	b-4	0					0
63	b-4-1	0				你可真得帮帮我。	0
64		0	琴诺悖谬			莫尔索又让分析员偷跑……	0
65		0				琴诺赌气般地把我往她的方向拉近了些，脸上也浮现出淡淡的红晕。	0
66		0				在两人叽叽喳喳的吵闹声中，我们一同朝着远方走去，走向我和她们约定好的每一个地方。	0
