字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	
1		0				结束了今天的任务之后，我和琴诺马不停蹄赶往医疗室。	0
2		0				由脑部神经检查仪器改造而来的<orange>锚定装置</>就放置在这里，如今我已经十分熟悉使用方法。	0
3		0				在琴诺的帮助下，我将磁极贴片一一贴到头部的各个位置，随后在充满氟化碳的医疗舱中躺下，一旁的显示屏上开始出现代表大脑活动状态的波形图。	0
4		0				为了避免意外情况——例如在记忆中受到严重冲击而被困于记忆中，一旦波形图上出现异常，琴诺就会立刻关闭锚定装置，而我会在大约5秒后回到现实。	0
5		0	分析员			我准备好了，开始吧。	0
6		6	琴诺悖谬			分析员，请，请把手给我。	0
7		0				琴诺的手抓住了我伸出的左手。为了在找到莫尔索后将她送回琴诺那里，这是必要的肢体接触。	0
8		0				伴随着装置启动的蜂鸣声，我眼前的一切逐渐模糊消散。	0
9		0				这次去第一次见到琴诺的地方看看吧，我在心里这样默念着，同时尽力构想出当天的画面。	0
10		0				满是灰尘的公司安全屋，卡罗琳，茉莉安，琴诺……记忆中的一切逐渐变得清晰，黑暗中慢慢亮起了白炽灯的光芒——	0
11		2	卡罗琳			对了，你见过这边的队员了吗？	0
12		0				出现了，我可靠的情报官小姐。	0
13		0				接下来我会说“还没有”，然后卡罗琳就会给我介绍茉莉安和琴诺。而如果不这样回答的话……	0
b-1	b-1	0					0
14	b-1-1	0				其实我见过了。	0
15		6	静止卡罗琳			……	0
16		0				连同我在内，周围的一切骤然停止，像是被按下了暂停键。	0
17		0				果然还是不行。	0
18		0				在第一次使用锚定装置时我就发现，记忆就是记忆，我并不能在“已经发生的”记忆中做出改变。	0
19		0				就像已经排列好的多米诺骨牌，抽走任何一块都无法继续下去。	0
b-2	b-2	0					0
20	b-2-1	0				还没有。	0
21		2	卡罗琳			我已经通知她们了，应该也快到了。	0
22		0				随着我的“正确回答”，卡罗琳恢复了正常。	0
23		2	卡罗琳			噔~噔噔~噔~噔！	0
24		2	卡罗琳			这位是茉莉安，你们应该挺熟了。	0
25		1	茉莉安			又见面了，分析员，您路途上没遇到什么危险吧？	0
b-3	b-3	0					0
26	b-3-1	0				都很顺利。	0
27		0				有了前车之鉴，我并不打算再让记忆卡住。	0
28		1	茉莉安			我也和您有相同的感受。	0
29		2	卡罗琳			这边是琴诺……	0
30		0				我随着卡罗琳的目光看去，所见的却是一头显眼的白发。	0
31		0				与记忆中初次见面无比怯懦的琴诺不同，站在卡罗琳身后的是一脸茫然的莫尔索。	0
32		0				与上一次的梦境相似，这次莫尔索直接代替了琴诺出现吗？	0
b-4	b-4	0					0
33	b-4-1	0				尝试接触莫尔索	0
34		0				我试着向莫尔索伸出手，可这个念头刚一出现，记忆立刻又定格下来，来自于“规则”的桎梏便是如此难以突破。	0
b-5	b-5	0					0
35	b-5-1	0				和莫尔索打招呼	0
36		0				如果按照原本的记忆进行下去，也许还有转机。	0
37		0				我正准备开口，面前的莫尔索却忽然流出了眼泪。	0
38		0				紧接着，她艰难地迈着步子，向我走来。	0
39		3	莫尔索			为什么——	0
40		3	莫尔索			看不到我呢——	0
41		3	莫尔索			分析员……	0
42		0				梦中的一切再次重演，她丢了魂般地扑到我的身上，泣不成声。	0
43		0				她的身体轻盈而温暖，湿热的呼吸无比真实地充斥着我的胸口。	0
44		0				可是，为什么？	0
45		0				我显然已经接触到了莫尔索，可锚定装置并没有任何反应。	0
46		0				换而言之，出现在我面前的并不是真正的莫尔索。	0
47		0				这是记忆的世界，唯一的解释是，我现在看到的“莫尔索”是莫尔索的意识在这里留下的痕迹，她在那时拥抱的则是在我的记忆中一无所知的“我自己”。	0
48		0	分析员			刚好错位了吗……	0
49		0				事情愈发复杂起来了。	0
50		0				我被琴诺从医疗舱中扶起，额头上已经满是因为压力而渗出的汗珠。	0
51		0				锚定装置只是辅助，构建过去的记忆还是需要靠我的大脑来完成，也因此每次使用都会带来不小的负荷。	0
52		6	琴诺悖谬			分析员，你的脸色不太好……	0
53		6	琴诺悖谬			我记得瑟瑞斯说这种时候需要停止使用锚定装置，休息三到五天……	0
54		0	分析员			我没事的，琴诺。	0
55		0				我勉强挤出一个微笑——大概谁都骗不过的微笑。	0
56		0	分析员			我去找一下芙提雅她们吧。	0
