字符串索引	中文简体	1=临时文案  0和不填都=正式文案	//备注
Key	zh_CN	disable	Remark
cardexp001	新手战斗记录	0	
cardexp001_use	角色经验素材	0	
cardexp001_des	用于强化队员，提供600经验值，观看记录有助于复盘提高	0	
cardexp002	普通战斗记录	0	
cardexp002_use	角色经验素材	0	
cardexp002_des	用于强化队员，提供1200经验值，记录着各种不堪回首的战术失误	0	
cardexp003	优秀战斗记录	0	
cardexp003_use	角色经验素材	0	
cardexp003_des	用于强化队员，提供3000经验值，调用主计算阵列对以往战例给出建议	0	
cardexp004	精英战斗记录	0	
cardexp004_use	角色经验素材	0	
cardexp004_des	用于强化队员，提供9000经验值，精挑细选的经典战例，也可以称之为海姆达尔的光辉	0	
weaponexp001	通用强化套件	0	
weaponexp001_use	武器经验素材	0	
weaponexp001_des	用于强化武器，提供600经验值，常规的武器保养和改修工具套组	0	
weaponexp002	优选强化套件	0	
weaponexp002_use	武器经验素材	0	
weaponexp002_des	用于强化武器，提供1200经验值，一些特殊的结构需要相应工具才能拆装	0	
weaponexp003	精致强化套件	0	
weaponexp003_use	武器经验素材	0	
weaponexp003_des	用于强化武器，提供3000经验值，某些厂商的定制武器会用奇怪的方式锁闭关键部位	0	
weaponexp004	珍稀强化套件	0	
weaponexp004_use	武器经验素材	0	
weaponexp004_des	用于强化武器，提供9000经验值，可以应付几乎所有结构的高级工具套件	0	
supportexp001	初级职级认证	0	
supportexp001_use	后勤经验素材	0	
supportexp001_des	用于强化后勤队员，提供600经验值，菜鸟后勤往往需要更多关注和建议	0	
supportexp002	中级职级认证	0	
supportexp002_use	后勤经验素材	0	
supportexp002_des	用于强化后勤队员，提供1200经验值，加大工作量有助于进一步提高后勤人员的能力	0	
supportexp003	高级职级认证	0	
supportexp003_use	后勤经验素材	0	
supportexp003_des	用于强化后勤队员，提供3000经验值，专业后勤人员能灵活应对各种突发情况	0	
supportexp004	特级职级认证	0	
supportexp004_use	后勤经验素材	0	
supportexp004_des	用于强化后勤队员，提供9000经验值，优秀后勤人员的支持提高了每次行动的成功率	0	
pieces001	提取物·安卡希雅	0	
pieces001_use	天启道具	0	
pieces001_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces002	提取物·里芙	0	
pieces002_use	天启道具	0	
pieces002_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces003	提取物·妮塔	0	
pieces003_use	天启道具	0	
pieces003_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces004	提取物·芙提雅	0	
pieces004_use	天启道具	0	
pieces004_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces005	提取物·茉莉安	0	
pieces005_use	天启道具	0	
pieces005_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces006	提取物·茉莉安-雨燕	0	
pieces006_use	天启道具	0	
pieces006_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces007	提取物·晴	0	
pieces007_use	天启道具	0	
pieces007_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces008	提取物·琴诺	0	
pieces008_use	天启道具	0	
pieces008_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces009	提取物·芬妮	0	
pieces009_use	天启道具	0	
pieces009_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces010		0	
pieces010_use		0	
pieces010_des		0	
pieces011	提取物·里芙-狂猎	0	
pieces011_use	天启道具	0	
pieces011_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces012	提取物·肴	0	
pieces012_use	天启道具	0	
pieces012_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces013	提取物·恩雅	0	
pieces013_use	天启道具	0	
pieces013_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces014	提取物·芙提雅-缄默	0	
pieces014_use	天启道具	0	
pieces014_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces015	提取物·肴-冬至	0	
pieces015_use	天启道具	0	
pieces015_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces016	提取物·安卡希雅-辉夜	0	
pieces016_use	天启道具	0	
pieces016_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces017	提取物·猫汐尔	0	
pieces017_use	天启道具	0	
pieces017_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces018	提取物·芬妮-咎冠	0	
pieces018_use	天启道具	0	
pieces018_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces019	提取物·瑟瑞斯	0	
pieces019_use	天启道具	0	
pieces019_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces020	提取物·辰星	0	
pieces020_use	天启道具	0	
pieces020_des	用于激发天启，从泰坦的核心中提取的神秘物质	0	
pieces021	提取物·辰星-云篆	0	
pieces021_use	天启道具	0	
pieces021_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces022	提取物·晴-藏锋	0	
pieces022_use	天启道具	0	
pieces022_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces023	提取物·猫汐尔-溯影	0	
pieces023_use	天启道具	0	
pieces023_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces024	提取物·苔丝-魔术师	0	
pieces024_use	天启道具	0	
pieces024_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces025	提取物·凯茜娅-蓝闪	0	
pieces025_use	天启道具	0	
pieces025_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces026	提取物·伊切尔-豹豹	0	
pieces026_use	天启道具	0	
pieces026_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces027	提取物·琴诺-悖谬	0	
pieces027_use	天启道具	0	
pieces027_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces028	提取物·恩雅-羽蜕	0	
pieces028_use	天启道具	0	
pieces028_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces029	提取物·瑟瑞斯-瞬刻	0	
pieces029_use	天启道具	0	
pieces029_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces030	提取物·芬妮-辉耀	0	
pieces030_use	天启道具	0	
pieces030_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces031	提取物·里芙-无限之视	0	
pieces031_use	天启道具	0	
pieces031_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces032	提取物·薇蒂雅-龙舌兰	0	
pieces032_use	天启道具	0	
pieces032_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces033	提取物·凯茜娅-朝翼	0	
pieces033_use	天启道具	0	
pieces033_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces034	提取物·茉莉安-幽潮	0	
pieces034_use	天启道具	0	
pieces034_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces035	提取物·芙提雅-驰掣	0	
pieces035_use	天启道具	0	
pieces035_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	
pieces037	提取物·卜卜-小天师	0	2.4新角色碎片
pieces037_use	天启道具	0	2.4新角色碎片
pieces037_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	2.4新角色碎片
pieces038	提取物·辰星-琼弦	0	2.5新角色碎片
pieces038_use	天启道具	0	2.5新角色碎片
pieces038_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	2.5新角色碎片
pieces039	提取物·肴-夜天光	0	2.5新角色碎片
pieces039_use	天启道具	0	2.5新角色碎片
pieces039_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	2.5新角色碎片
pieces040	提取物·恩雅-澜风	0	2.6新角色碎片
pieces040_use	天启道具	0	2.6新角色碎片
pieces040_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	2.6新角色碎片
pieces041	提取物·奈莉德-冥河代理人	0	2.7新角色碎片
pieces041_use	天启道具	0	2.7新角色碎片
pieces041_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	2.7新角色碎片
pieces042	提取物·薇蒂雅-天鹅座	0	2.8新角色碎片
pieces042_use	天启道具	0	2.8新角色碎片
pieces042_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	2.8新角色碎片
pieces043	提取物·凯茜娅-狂诗	0	3.0新角色碎片
pieces043_use	天启道具	0	3.0新角色碎片
pieces043_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.0新角色碎片
pieces044	提取物·苔丝-绮幻	0	3.0新角色碎片
pieces044_use	天启道具	0	3.0新角色碎片
pieces044_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.0新角色碎片
pieces045	提取物·克罗瑞娜-绯月	0	3.1新角色碎片
pieces045_use	天启道具	0	3.1新角色碎片
pieces045_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.1新角色碎片
pieces046	提取物·芬妮-澄意	0	3.2新角色碎片
pieces046_use	天启道具	0	3.2新角色碎片
pieces046_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.2新角色碎片
pieces047	提取物·瑟瑞斯-悠游	0	3.2新角色碎片
pieces047_use	天启道具	0	3.2新角色碎片
pieces047_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.2新角色碎片
pieces048	提取物·米娅-星彩	0	3.3新角色碎片
pieces048_use	天启道具	0	3.3新角色碎片
pieces048_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.3新角色碎片
pieces049	提取物·卜卜-灵鉴	0	3.4新角色碎片
pieces049_use	天启道具	0	3.4新角色碎片
pieces049_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.4新角色碎片
pieces050	提取物·安卡希雅-时之重奏	0	3.5新角色碎片
pieces050_use	天启道具	0	3.5新角色碎片
pieces050_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.5新角色碎片
pieces051	提取物·茉莉安-霄鹰	0	3.5新角色碎片
pieces051_use	天启道具	0	3.5新角色碎片
pieces051_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.5新角色碎片
pieces052	提取物·胧嫣-瑞狐	0	3.6新角色碎片
pieces052_use	天启道具	0	3.6新角色碎片
pieces052_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.6新角色碎片
pieces053	提取物·里芙-永恒	0	3.7新角色碎片
pieces053_use	天启道具	0	3.7新角色碎片
pieces053_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	0	3.7新角色碎片
			
chip001	武格启芯·妮塔-悸响	0	2.7妮塔武格驱动
chip001_use	武格驱动道具	0	2.7妮塔武格驱动
chip001_des	用于激活天启者装备的武格驱动，不同于神格神经，主要是用于增强天启者能力和战斗意志，操控程度取决于天启者本人	0	2.7妮塔武格驱动
chip002	武格启芯·晴-霆光	0	3.3晴-霆光武格驱动
chip002_use	武格驱动道具	0	3.3晴-霆光武格驱动
chip002_des	用于激活天启者装备的武格驱动，不同于神格神经，主要是用于增强天启者能力和战斗意志，操控程度取决于天启者本人	0	3.3晴-霆光武格驱动
chip003	武格启芯·猫汐尔-莲驱	0	3.4猫汐尔-莲驱武格驱动
chip003_use	武格驱动道具	0	3.4猫汐尔-莲驱武格驱动
chip003_des	用于激活天启者装备的武格驱动，不同于神格神经，主要是用于增强天启者能力和战斗意志，操控程度取决于天启者本人	0	3.4猫汐尔-莲驱武格驱动
chip004	武格启芯·芙提雅-炬芯	0	3.6芙提雅-炬芯武格驱动
chip004_use	武格驱动道具	0	3.6芙提雅-炬芯武格驱动
chip004_des	用于激活天启者装备的武格驱动，不同于神格神经，主要是用于增强天启者能力和战斗意志，操控程度取决于天启者本人	0	3.6芙提雅-炬芯武格驱动
chip005	武格启芯·肴-金乌	0	3.7肴-金乌武格驱动
chip005_use	武格驱动道具	0	3.7肴-金乌武格驱动
chip005_des	用于激活天启者装备的武格驱动，不同于神格神经，主要是用于增强天启者能力和战斗意志，操控程度取决于天启者本人	0	3.7肴-金乌武格驱动
			
weaponbreak001	合成颗粒	0	
weaponbreak001_use	武器突破素材	0	
weaponbreak001_des	用于武器突破，常见的再生基材，甚至棚户区都能买到	0	
weaponbreak002	芳烃塑料	0	
weaponbreak002_use	武器突破素材	0	
weaponbreak002_des	用于武器突破，适用于某些特殊部位的改性材料，海姆达尔部队常规补给之一	0	
weaponbreak003	单极纤维	0	
weaponbreak003_use	武器突破素材	0	
weaponbreak003_des	用于武器突破，罕见的自带极性的材料，有一定入手难度	0	
weaponbreak004	碳原子板	0	
weaponbreak004_use	武器突破素材	0	
weaponbreak004_des	用于武器突破，采用原子搭建工艺堆叠的多层碳原子，强度超乎想象	0	
weaponbreak005	低温钢	0	
weaponbreak005_use	武器突破素材	0	
weaponbreak005_des	用于武器突破，导热系数小，韧性强，非常适合制造枪管	0	
weaponbreak006	磁性钛	0	
weaponbreak006_use	武器突破素材	0	
weaponbreak006_des	用于武器突破，根据电压或温度变化可改变磁性与磁极的特殊材料	0	
weaponbreak007	智能合金	0	
weaponbreak007_use	武器突破素材	0	
weaponbreak007_des	用于武器突破，一种物理特性可编程的奇异合金，可能是用泰坦物质冶炼而成	0	
supportbreak001	人事档案1	0	
supportbreak001_use	后勤突破素材	0	
supportbreak001_des	用于后勤突破，越了解一个人的过去，才越知道怎么发挥其长处	0	
supportbreak002	重修申请	0	
supportbreak002_use	后勤特长重修道具	0	
supportbreak002_des	用于修改后勤的专攻特长，任何人都有改变自己的机会	0	2.4后勤重修
supportbreak003	重修额度	0	2.4后勤重修
supportbreak003_use	后勤特长重修道具	0	2.4后勤重修
supportbreak003_des	用于修改后勤的基础特长，再小的改变都可能带来惊喜	0	2.4后勤重修
supportbreak004	特定重修额度	0	2.5后勤重修
supportbreak004_use	后勤特长重修道具	0	2.5后勤重修
supportbreak004_des	用于定向重修后勤的基础特长，当目标更明确时进步会更快！	0	2.5后勤重修
supporttoken001	人事额度	0	
supporttoken001_use	后勤调配道具	0	
supporttoken001_des	用于调配后勤，衡量人事权力的额度	0	
supporttoken002	精英人事额度	0	
supporttoken002_use	后勤调配道具	0	
supporttoken002_des	专门用于调配各活动期间推出的高品质后勤	0	
spineskill001	过氧胆碱	0	
spineskill001_use	后勤突破素材	0	
spineskill001_des	用于后勤突破，可提升神经灵活性	0	
spineskill002	甲基单胺	0	
spineskill002_use	后勤突破素材	0	
spineskill002_des	用于后勤突破，暂时性提高神经清醒度	0	
spineskill003	异氨酸	0	
spineskill003_use	后勤突破素材	0	
spineskill003_des	用于后勤突破，可辅助合成特殊蛋白质	0	
spineskill004	神格肽	0	
spineskill004_use	后勤突破素材	0	
spineskill004_des	用于后勤突破，短暂抑制某些回路全靠这个	0	
		0	
		0	
		0	
spineskill006	光纤轴突	0	
spineskill006_use	神经通导素材	0	
spineskill006_des	用于强化神格神经，仿生细胞元件，可显著提高反应力	0	
spineskill007	量子胞体	0	
spineskill007_use	神经通导素材	0	
spineskill007_des	用于强化神格神经，仿生细胞元件，带有兴奋记忆功能以提升处理能力	0	
spineskill008	配型光纤轴突	0	
spineskill008_use	神经通导素材	0	
spineskill008_des	用于强化指定队员的神格神经，仿生细胞元件，可显著提高反应力	0	
spineskill009	配型量子胞体	0	
spineskill009_use	神经通导素材	0	
spineskill009_des	用于强化指定队员的神格神经，仿生细胞元件，带有兴奋记忆功能以提升处理能力	0	
spineskilladd	配型对象：%s	0	
		0	
		0	
		0	
gacha1	天启者共鸣凭证	0	
gacha1_use	共鸣道具	0	
gacha1_des	用于邀请天启者入队，附带各种物资兑换资格的聘用通知，代表海姆达尔部队对天启者的诚意	0	
gacha2	武器申请书	0	
gacha2_use	共鸣道具	0	
gacha2_des	用于兑换常规武器，由世界树统一配备给海姆达尔部队的虚拟资金，全世界的武器生产商都认可的神奇道具	0	
gacha3	天启者共鸣誓约	0	
gacha3_use	活动共鸣道具	0	
gacha3_des	用于邀请优秀天启者入队，唯有实力得到世界树公司的认可，才有资格与最优秀的天启者们并肩作战	0	
gacha4	武器定制合约	0	
gacha4_use	活动共鸣道具	0	
gacha4_des	用于申请特殊武器，很难入手的世界树内部资源，凭此物可以换取各种最尖端武器，武器商还必须提供使用者适配训练方案和永久售后服务	0	
gacha5	活动抽卡券	1000	
gacha5_use	活动共鸣道具	1000	
gacha5_des	活动抽卡券	1000	
report	战斗数据块	0	
report_use	兑换道具	0	
report_des	兑换各项功能及道具，记录着海姆达尔部队士兵们的实时战斗数据，可以视为战士们在数据空间的存在	0	
weaponskill001	动能溶胶	0	
weaponskill001_use	武器改造道具	0	
weaponskill001_des	用于武器改造，可储存动能并根据指令释放	0	
weaponskill002	全向溶胶	0	
weaponskill002_use	武器改造道具	0	
weaponskill002_des	用于武器改造，各向异性的高级动能溶胶	0	
		0	
playerexp	指挥记录	0	
playerexp_use	账号经验素材	0	
playerexp_des	用于增加分析员指挥经验，提升指挥等级；记录了前辈们精彩指挥的数据，十分的珍贵	0	
		0	
paycurr1	比特金	0	
paycurr1_use	稀有货币	0	
paycurr1_des	在数据金的基础上通过某种去中心化机制进一步验证并永久保存的高级别数据，是各大公司商业竞争力的象征	0	
paycurr2	比特金30	0	
paycurr2_use	稀有货币	0	
paycurr2_des	在数据金的基础上通过某种去中心化机制进一步验证并永久保存的高级别数据，是各大公司商业竞争力的象征	0	
paycurr3	比特金98	0	
paycurr3_use	稀有货币	0	
paycurr3_des	在数据金的基础上通过某种去中心化机制进一步验证并永久保存的高级别数据，是各大公司商业竞争力的象征	0	
paycurr4	比特金198	0	
paycurr4_use	稀有货币	0	
paycurr4_des	在数据金的基础上通过某种去中心化机制进一步验证并永久保存的高级别数据，是各大公司商业竞争力的象征	0	
paycurr5	比特金328	0	
paycurr5_use	稀有货币	0	
paycurr5_des	在数据金的基础上通过某种去中心化机制进一步验证并永久保存的高级别数据，是各大公司商业竞争力的象征	0	
paycurr6	比特金648	0	
paycurr6_use	稀有货币	0	
paycurr6_des	在数据金的基础上通过某种去中心化机制进一步验证并永久保存的高级别数据，是各大公司商业竞争力的象征	0	
vigor_box1	巴德尔试剂(小)	0	
vigor_box1_use	感知回复道具	0	
vigor_box1_des	可少量回复感知，口服即可	0	
vigor_box2	巴德尔试剂(中)	0	
vigor_box2_use	感知回复道具	0	
vigor_box2_des	可大幅回复感知，可能会引起头晕恶心或其它不良反应，休息后可缓解	0	
vigor_box3	巴德尔试剂(大)	0	
vigor_box3_use	感知回复道具	0	
vigor_box3_des	可充分回复感知，禁止非天启者使用，有引发湮灭的风险	0	
freecurr	数据金	0	
freecurr_use	稀有货币	0	
freecurr_des	将各种商业活动经解析后得到的各类分析数据，在如今的时代能产生大量价值，是比现金更值钱的东西，故成为了高端交易者青睐的通货，能买到通用银无法支付的东西和服务	0	
		0	
month_card	世界树员工惠利	0	
month_card_use	月卡	0	
month_card_des	每日获得数据金x90，萤星卡券x1，巴德尔试剂(中)x1，世界树给予部分员工每日更多资金，希望员工丰富业余生活	0	
		0	
giftbox1	每日物资配给箱	0	
giftbox1_use	礼包	0	
giftbox1_des	获得【巴德尔试剂(中)】x1，世界树员工的每日基础配给，入职即可领取	0	
giftbox2	作战记录压缩包	0	
giftbox2_use	礼包	0	
giftbox2_des	获得作战记录1x10,作战记录2x5，内含已整理完毕的作战数据，方便队员提高作战能力	0	
giftbox3	武器月度维护箱	0	
giftbox3_use	礼包	0	
giftbox3_des	获得强化套件1x10、芳烃塑料x10，来自武器商们的售后服务，保证武器的战斗力只增不减	0	
giftbox4	每周物资配给箱	0	
giftbox4_use	礼包	0	
