字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
ModUnlockLevel	{1}级解锁	0	未解锁模组提示
ModUnlockBuy	购买解锁	0	未解锁模组提示
ModUnlockBuySuccess	成功解锁战备	0	购买成功
ModUnlockBuyFail	航海家金币不足	0	购买失败
			
ModCash	航海家金币	0	玩法代币
ModCash_use	航海家金币	0	道具潜规则拼接字符key
ModCash_des	安卡希雅藏在航行中的小彩蛋，用于兑换解锁更多的联航战备	0	道具潜规则拼接字符key
ModCashDescription	安卡希雅藏在航行中的小彩蛋，用于兑换解锁更多的联航战备	0	Cash字符key
			
ModSystemDescription	配置联航战备时，根据选择战备的不同，可获得不同的战斗、火力、工程特质点数，当特质点数达到一定数值时，可获得额外正面效果	0	
ModSystemCancel	调整战备配置将取消正在应用的推荐配置：【%s】\n是否继续？	0	取消正在应用系统配置
ModAllClear	一键卸载将会卸载当前装备的所有战备，是否继续？	0	一键卸载二次确认
ModSystemCostNotEnough	装配战备已达负载上限	0	剩余Cost不足以装配选中模组
ModSystemAutoEquipLevel	联航等级提升，已自动更新战备配置	0	因升级而自动更新模组配置
ModSystemAutoEquipBuy	检测到购买新的联航战备，已自动更新战备配置	0	因购买而自动更新模组配置
ModSystemAutoBuyAndEquip	航海家金币充足，已自动购买合适战备并更新配置	0	3.6激浪联航-因金币足够自动购买并自动更新
ModSelectedEmpty	没有符合当前筛选结果的联航战备，请尝试切换筛选条件	0	筛选列表为空的提示
ModLevelUnlock	联航等级{1}级解锁	0	尝试装备的模组未等级解锁
ModBuyUnlock	购买后解锁该战备	0	尝试装备的模组未购买解锁
ModMutex	已装配%s系橙色战备，无法同时装配%s系橙色战备	0	触发模组互斥
ModUsed	已成功切换至【%s】	0	切换模组方案
ModUnEquip	当前未装配战备	0	当前未装备模组提示
			
ModTag1	防御强化	0	模组Tag
ModTag2	伤害强化	0	模组Tag
ModTag3	射击强化	0	模组Tag
ModTag4	技能强化	0	模组Tag
ModTag5	火炮伤害	0	模组Tag
ModTag6	火炮续航	0	模组Tag
ModTag7	船体维护	0	模组Tag
ModTag8	机炮强化	0	模组Tag
ModTag9	反载强化	0	模组Tag
ModTag10	控制强化	0	模组Tag
			
ImportantAward	20级解锁名片：极光冰海	0	3.6模组BP奖励
ImportantAward_Claimed	已领取	0	模组BP奖励
			
Diff3EmptyRecordTips	暂无远航记录，请参与远航模式后再来查看吧	0	没有远航模式记录时的点击提示
			
ModName1	火炮手	0	火力职业1
ModDescription1	<span color="#d68238">【火炮手】</>操控舰载火炮时，获得额外技能【火力覆盖】\n火力覆盖：发射一轮散射炮弹，每枚炮弹的爆炸范围、物品破坏力与单发炮弹相同，伤害小幅降低，冷却时间<span color="#d68238">{1}</>秒	0	模组详细描述
ModName2	爆炸艺术家	0	火力职业2
ModDescription2	<span color="#d68238">【爆炸艺术家】</>操控舰载火炮时，获得额外技能【火力覆盖】和【口径正义】\n火力覆盖：发射一轮散射炮弹，每枚炮弹的爆炸范围、物品破坏力与单发炮弹相同，伤害小幅降低，冷却时间<span color="#d68238">{1}</>秒\n口径正义：发射超大号炮弹，造成大范围的伤害，并对范围内的敌方载具和建筑造成<span color="#d68238">{2}%</>额外伤害，冷却时间<span color="#d68238">{3}</>秒	0	模组详细描述
ModName3	低温液氦弹	0	橙色1
ModDescription3	技能【火力覆盖】改为发射低温液氦炮弹，伤害和物品破坏力提升<span color="#d68238">{1}%</>对敌人额外造成冰冻效果，并使其进入脆弱状态，在<span color="#d68238">{2}</>秒内防御力降低<span color="#d68238">{3}%</>\n※无法与战斗、工程系橙色战备共同装配	0	模组详细描述
ModName4	等离子电浆	0	橙色2
ModDescription4	技能【口径正义】改为发射等离子电浆炮弹，伤害提升<span color="#d68238">{1}%</>，并在命中目标后生成电子脉冲，使范围内敌人麻痹<span color="#d68238">{2}</>秒\n※无法与战斗、工程系橙色战备共同装配	0	模组详细描述
ModName5	超导冷却器	0	橙色3
ModDescription5	舰载火炮的技能可充能<span color="#d68238">{1}</>层，冷却时间降低<span color="#d68238">{2}%</>\n※无法与战斗、工程系橙色战备共同装配	0	模组详细描述
ModName6	高爆火药	0	紫色1
ModDescription6	使用舰载火炮时，对敌方舰船和建筑造成的伤害提升<span color="#d68238">{1}%</>，船体每提升<span color="#d68238">1</>级，伤害额外提升<span color="#d68238">{2}%</>	0	模组详细描述
