	中文简体	1=临时文案  0和不填都=正式文案	//备注
Key	zh_CN	disable	Remark
character	角色	0	
supporter	后勤	0	
weapon	武器	0	
supplies	补给	0	
weapon_part	配件	0	
item	道具	0	
item2	道具	0	物品的单数表达
monster	怪物	0	
explore	探索	0	
SkillCoefficient	技能强度增幅	0	
character_skin	角色时装	0	
piece	碎片	0	
item_level	等级	0	
hero	英雄22	0	
test	英雄22156	0	
boss	怪物首领名称	0	
roleup	等级	0	
ReloadSpeed	换弹速度	0	
roleup_levelup	升级	0	
roleup_break	天启	0	
roleup_skill	神格神经	0	
weapon_stu	武器	0	
support_stu	技能	0	
other	后勤	0	
attack	攻击	0	
health	最大生命	0	
def	防御	0	
forc	暴击	0	
shield	护盾	0	
deShieldDamageScaler	破盾加成	0	
propdefence	元素防御	0	
defence	防御	0	
weaknessdamage	弱点效果	0	
criticalvalue	暴击率	0	
superpowersresistance	特异抗性	0	
criticaldamage	暴击伤害	0	
firespeed	射速	0	
bulletnum	弹容	0	
bullet_tyep	弹药类型	0	
bullet_tyep_1	常规子弹	0	
infinite	无限	0	
bulletcost	单次子弹数量	0	
reloadspeedcoefficient	换弹速率（百分比）	0	
distattenuationcoefficientA	距离衰减系数A（百分比）	0	
characterenergy	爆发能量	0	
characterenergyefficiency	爆发能量获取率	0	
hitcharacterenergyrecover	命中能量回复值（百分比）	0	
entitybulletresistance	动能抗性	0	
bombresistance	爆炸抗性	0	
fireresistance	高热抗性	0	
iceresistance	低温抗性	0	
thunderresistance	电击抗性	0	
lightresistance	光抗	0	
damagetype	武器适配率	0	
firingrangeultimatelimit	射程	0	
darkresistance	暗抗	0	
rate	防御率	0	
role_break_b	B等级	0	
role_break_a	A等级	0	
role_break_s	S等级	0	
role_break_ss	SS等级	0	
role_break_sss	SSS等级	0	
arms_lv	等级	0	
arms_lv2	等级	0	
arms_sh	攻击	0	
bag_btn_text	出售	0	
weapon_part_1	枪口	0	
weapon_part_1_2	弩臂	0	
weapon_part_1_3	枪口/弩臂	0	
weapon_part_2	镜桥	0	
weapon_part_3	枪托配件	0	
weapon_part_4	供弹	0	
weapon_part_4_2	箭筒	0	
weapon_part_4_3	供弹/箭筒/弹鼓	0	
weapon_part_5	挂件	0	
weapon_part_6	扳机	0	
weapon_part_7	握把	0	
weapon_part_8	瞄准器	0	
weapon_part_9	稳定器	0	
weapon_part_10	弹鼓	0	
weapon_part_11	挂件	0	
weapon_part_12	握把	0	
weapon_part_13	剑颚	0	
weapon_part_14	剑首	0	
Quality1	品质1	0	
Quality2	品质2	0	
Quality3	品质3	0	
Quality4	品质4	0	
Quality5	品质5	0	
Break1	突破1	0	
Break2	突破2	0	
Break3	突破3	0	
Break4	突破4	0	
Break5	突破5	0	
SortLevel	按等级排序	0	
SortQuality	按品质排序	0	
SortBreak	按突破排序	0	
equipment	装备	0	
replace	替换	0	
disboard	卸下	0	
upgrade	升级	0	
break	突破	0	
armordamagescaler	破甲加成	0	
skillsuit	件套	0	
technology	情报后勤	0	
medicalcare	医疗后勤	0	
equip	整备后勤	0	
silver	通用银	0	
silver_use	通用银	0	
silver_des	普遍使用的新世代货币，地位与现在的现金相同，能在正常社会中购买几乎所有服务	0	
gold	数据金	0	
money	比特金	0	
vigor	感知	0	
vigor_des	对于周遭事物以及神明的感知力，维持天启状态和超人身体能力的必须条件，可以通过注射巴德尔抑制剂人为提升，但副作用是……	0	
exchange_tip	是否将%d%s兑换成%d%s	0	
openbox	是否打开%s	0	
useitem	是否使用%s	0	
attackratio	攻击系数	0	
quality	核心	0	
join	上阵	0	
leave	离队	0	
exchange	交换	0	
limitlv	需要角色等级	0	
spinenode	神经节点	0	
PlayerLevel	等级	0	
PlayerExp	经验	0	
PlayerExp_BuffTitle	分析员经验加成	0	
PlayerExp_BuffTitle2	指挥速升	0	
PlayerExp_BuffInfo	当分析员等级低于60级时，每次获得的经验都会有1.5倍的加成效果。	0	
PlayerExp_BuffInfo2	提升等级，还可领取对应等级奖励！	0	
PlayerID	铭	0	
actived	激活成功	0	
MainFight	作战	0	
MainThread	主线	0	
buf	状态	0	
TxtTouchChange	更换	0	
TxtTouchNoChange	已更换	0	
TxtTouchTalk	聊天	0	
TxtTouchCloth	换装	0	
TxtTouchRoom	空间	0	
TxtRolePower	综合能力	0	
TxtRoleDetail	属性	0	
TxtWeaponDetail	性能参数	0	
TxtCircularLevel	等级	0	
TxtAllDelete	删除已读	0	
TxtAllGet	批量领取	0	
TxtSend	发件人：	0	
TxtMailTime	时间：	0	
TxtGet	领取	0	
TxtDelete	删除	0	
attrdetail	属性详情	0	
total	合计	0	
role	角色	0	
speedratio	移动速率	0	
armor	装甲值	0	
damagecoefficient	武器适配率	0	
expiration_day	%d天后过期	0	
expiration_hour	%d小时后过期	0	
expiration_minute	%d分钟后过期	0	
expiration_sec	%d秒后过期	0	
expirated	已过期	0	
forever	永久	0	
TxtEquipped	已装备	0	
TxtTrain	强化枪械	0	
TxtEnhanceWeapon	枪械培养	0	
TxtEnhanceSupport	后勤培养	0	
TxtSuccessSupport	培养成功	0	
TxtChooseSupport	后勤选择	0	
TxtSuit2	2件套	0	
TxtSuit3	3件套	0	
TxtUse	使用	0	
sort_default	默认排序	0	
sort_get	获取顺序	0	
sort_level	等级排序	0	
sort_quality	品质排序	0	
sort_break	突破排序	0	
sort_role	角色排序	0	
sort_type	类型排序	0	
sort_suit	套装排序	0	
sort_team	小队排序	0	
sort_time	时间排序	0	
TxtSell	出售	0	
TxtMax	最大	0	
TxtMin	最小	0	
TxtAttribute	属性	0	
TxtSetUpName	设置终端	0	
TxtOperationSet.Operation	操作设置	0	
TxtOperationSet.Frame	画面设置	0	
TxtOperationSet.Frame_Desc	部分设置重启后生效	0	
TxtOperationSet.Sound	声音设置	0	
TxtOperationSet.Other	其他设置	0	
TxtOperationSet.Fight	常规操作设定	0	
TxtOperationSet.Fight_Desc	使用手柄时无法进行当前设置	0	DLC2.3—真实手柄使用优化
TxtOperationSet.Aim	进阶操作设定	0	
TxtOperationSet.Sensitivity	灵敏度设置	0	
TxtOperationSet.Volume	音量设置	0	
TxtOperationSet.Image	图像设置	0	
TxtOperationSet.FightKey	战斗按键设置	0	
TxtOperationSet.FightKey_Desc	标有*的设置项支持组合按键设置	0	
TxtOperationSet.Multilingual	显示语言与语音包选择	0	
TxtOperationSet.Misc	杂项设置	0	
TxtOperationSet.Language	语言设置	0	
TxtOperationSet.PopUp	通知与用户协议	0	
TxtOperationSet.UesrPopup	用户协议相关	0	
TxtOperationSet.Account	账号绑定	0	
TxtOperationSet.Account_Desc	如需关联第三方账号，需首先绑定Seasun账号	0	
TxtOperationSet.Account1	官方账号	0	
TxtOperationSet.Account2	X账号	0	
TxtOperationSet.Account3	苹果账号	0	
TxtOperationSet.Account4	脸书账号	0	
TxtOperationSet.Account5	谷歌账号	0	
TxtOperationSet.AccountTip1	该平台账号已绑定	0	
TxtOperationSet.AccountTip2	绑定成功	0	
TxtOperationSet.AccountTip3	绑定失败	0	
TxtOperationSet.AccountTip4	该平台账号已经绑定了其他seasun账号	0	
TxtOperationSet.AccountBtn	绑定	0	
TxtReset	重置	0	
TxtResetDiff	重置难度	0	
TxtRendering	渲染精度	0	
TxtCamera_sensitivity	镜头灵敏度	0	
TxtFire_sensitivity	开火灵敏度	0	
TxtGyroscopefire_sensitivity	陀螺仪开火灵敏度	0	
TxtGun_Basis	枪械设置	0	
TxtGun_Basis_Desc		0	
TxtFunction_Basis	基础设置	0	
TxtAllSensitivity	全局灵敏度	0	
TxtTurnMode	转向模式	0	
TxtSetFixed	休闲-手动瞄准，自动射击	0	
TxtSetRange	进阶-手动瞄准，手动控制射击	0	
TxtSetTurn	转向灵敏度	0	
TxtSetFire	开火灵敏度	0	
TxtSetLens	开镜灵敏度	0	
TxtSetCustom	自定义按键	0	
TxtSet	设置	0	
TxtRecommend	推荐	0	
TxtCustom	自定义	0	
Txttipstab	切换战斗提示/打开表情轮盘	0	
Txttipstab_fight	按%d键切换	0	
TxtOperationSet.Sound1	高品质音效可能会引起耗电增加、画面帧数波动	0	
TxtOperationSet.Sound2	自动武器弹匣内剩余弹量较低时，播放的特殊开火音效	0	
TxtOperationSet.Language1	语音包管理	0	
TxtOperationSet.Language2	使用中	0	
TxtOperationSet.Language3	语音包下载	0	
TxtOperationSet.Language4	资源下载中……	0	
TxtOperationSet.Language5	尚未下载所选语言的完整语音包，下载以切换游戏语音。	0	
TxtOperationSet.Language6	语音包大小：	0	
TxtOperationSet.Language7	下载进度：	0	
TxtOperationSet.Language8	请选择语言	0	
TxtOperationSet.Language9	请选择语音	0	
TxtOperationSet.Language10	后台下载中	0	
TxtOperationSet.Language11	卸载	0	
TxtOperationSet.Language12	语音包下载完毕，是否立即切换？	0	
TxtOperationSet.Language13	语言	0	
TxtLevelinfo	关卡信息	0	
TxtGiveUp	放弃行动	0	
TxtReturn	继续行动	0	
TxtPause	暂停中…	0	
TxtFightPause	暂停	0	
SkillLv	等级	0	
TxtSupportDes1	目前已经配置给	0	
TxtSupportDes2	小队，是否更换？	0	
TxtSupportDes3	“%s”已经配备于“%s”的第%d小队，是否确认更换？	0	
TxtSupportDes4	当前后勤已切换为第%d小队	0	
TxtNomail1	暂时没有邮件	0	
TxtNomail2	无邮件	0	
TXTMail	邮件	0	
TxtSign	签到	0	
TxtReceived	已领取	0	
TxtNotAchieve	未达成	0	
TxtTimeEnd	结束时间	0	
TxtJump	前往	0	
TxtSellOut	售罄	0	
TxtSurplus	剩余	0	
TxtRewardList	奖励列表	0	
TxtLevel	主线故事	0	
TxtChallenge	特别派遣	0	
TxtResourse	常规行动	0	
TxtTime	超元链接	0	
TxtDark	禁区探索	0	
TxtRolePiece	个人故事	0	
TxtLevelSum	故事战役	0	
TxtLevelMain	篇章进展	0	
TxtRoleLock	获得%s后解锁	0	
TxtRoleLock1	获得%s-%s后解锁	0	
TxtNotOpen	暂未开放	0	
TxtSmap	日曜本	0	
TxtGoldDungeons	富饶之壶	0	
TxtWeaponBreakDungeons	重铸之炎	0	
TxtWeaponExpDungeons	止战之人	0	
TxtRoleBreakDungeons	无限之城	0	
TxtRoleExpDungeons	百足之市	0	
TxtRoleMatertialsDungeons	永冬之境	0	
TxtRoleDungeons	浴火之战	0	
TxtDlcRoleDungeons	炼心之战	0	
TxtDlcWeaponDungeons	聚兵之器	0	
TxtTeachDungeons	实战训练	0	
TxtSelectLevel	关卡选择	0	
TxtSelectsuit	选择小队	0	
TxtSmapTip1	申请进度	0	
TxtSmapTip3	任选一组后勤小队进行申请，持续完成关卡可推进申请进度。	0	
TxtSmapTip4	接收后勤	0	
TxtSmapTip5	申请	0	
TxtSmapTip6	申请进度已达上限，再次行动将无法再获取进度值。	0	
TxtGoldDungeonsTips	通用货币获取	0	
TxtWeaponBreakDungeonsTips	武器突破素材获取	0	
TxtWeaponExpDungeonsTips	武器经验素材获取	0	
TxtRoleBreakDungeonsTips	后勤突破素材获取	0	
TxtRoleExpDungeonsTips	角色经验素材获取	0	
TxtRoleMatertialsDungeonsTips	角色神经素材获取	0	
TxtRoleDungeonsTips	后勤获取	0	
TxtDlcRoleDungeonsTips	活动后勤获取	0	
TxtTeachDungeonsTips	学习战斗技巧	0	
TxtSupportIntroduction	浴火之战行动危险等级极高，请分析员根据实际情况任选一组后勤小队进行申请。持续完成关卡可推进申请进度，进度达到100时将获得该小队的一名后勤。如中途更换申请的小队，申请进度不会被重置。	0	
TxtDlcWeaponDungeonsTips	通用武器组件获取	0	
TxtDungeonsTimes	次数：	0	
TxtDungeonsLimit	限时	0	
TxtDungeonsTotalTimes	记忆嵌片：	0	
TxtDungeonsTowerName	地下清理	0	
TxtDungeonsBossName	精神拟境	0	
TxtDungeonsBossTime	构建维持时间：	0	
TxtDungeonsBossNext	拟境重构完成时间：	0	
TxtDungeonsBossComing	重构即将完成	0	
TxtDungeonsTowerCD	刷新倒计时：	0	
TxtDungeonsTowerTime0	%d天	0	
TxtDungeonsTowerTime1	%d天%d小时	0	
TxtDungeonsTowerTime2	%d小时%d分钟	0	
TxtDungeonsTowerTime3	%d分钟	0	
TxtDungeonsTowerTime4	%d小时	0	
TxtDungeonsTowerTime5	%d秒	0	
TxtDungeonsTowerReward1	段区补给	0	
TxtDungeonsTowerReward2	燧核之证	0	
TxtDungeonsTowerArea1	区域一	0	
TxtDungeonsTowerArea2	区域二	0	
TxtDungeonsTowerArea3	区域三	0	
TxtDungeonsTowerArea4	区域四	0	
TxtDungeonsTowerArea5	区域五	0	
TxtDungeonsTowerArea6	区域六	0	
TxtDungeonsTowerFloor	段	0	
TxtDungeonsTowerDifficulty	污染程度：	0	
TxtDungeonsTowerDifficulty1	低	0	
TxtDungeonsTowerDifficulty2	中	0	
TxtDungeonsTowerDifficulty3	高	0	
TxtDungeonsTowerReward	通关奖励	0	
TxtDungeonsTowerZone	区域选择	0	
TxtDungeonsTowerTip1	周期内一旦选择，将无法更改	0	
TxtDungeonsTowerTip2	污染程度越高的地区  奖励也会更加丰富	0	
TxtDungeonsTowerTip3	是否确认选择【污染程度：%s】	0	
TxtTowerAnotherTips	与此同时，在另一边。	0	
TxtDifficulty	难度	0	
TxtDropDouble	掉落双倍	0	
TxtCostReduce	消耗减少	0	
TxtTimeLimit	限时开放	0	
TxtLockTime	未到开启时间	0	
TxtLevelTarget	关卡目标	0	
TxtLevelRoundSuccess	完成波次	0	
TxtLevelDesc	关卡描述	0	
TxtLevelMonster	敌方信息	0	
TxtLevelBuff	泰坦污染	0	
TxtDungeonsTowerEasy	废弃区域	0	
TxtDungeonsTowerHard	约顿隧道	0	
TxtDungeonsTowerCurrBuff	命运系统	0	
TxtDialogueSkip	跳过	0	
TxtDialogueClose	关闭	0	
TxtDialogueAuto	自动	0	
TxtDialogueManual	手动	0	
TxtDialogueConfirm	确定	0	
TxtDialogueCancel	取消	0	
TxtDialogueSkip2D	跳过	0	
TxtChallengeNum	挑战次数	0	
TxtRecommendCombat	推荐战力	0	
TxtRecommendLevel	敌方等级	0	
TxtRecommendLevel2	推荐等级	0	
TxtRecommendLevel3	敌方初始等级	0	
TxtCombatDeficiency	队伍综合等级偏低	0	
TxtRoleBreakRank	%d阶段	0	
TxtActionStart	准备作战	0	
TxtActionMany	多次战斗	0	
TxtGetLimit	领取奖励需要	0	
TxtRewardDecorate	REWARD	0	
TxtDropMagni	掉落翻倍	0	
TxtPowerConsume	感知消耗	0	
TxtFightWin	行动完成	0	
TxtFightDefeat	行动失败	0	
TxtEasy	简单	0	
TxtNormal	普通	0	
TxtHard	困难	0	
TxtFear	恐惧	0	
TxtNightmare	噩梦	0	
TxtLevelupAccount	账号等级提升	0	
TxtLevelupEnergy	感知上限提升	0	
TxtLevelupFriend	好友上限提升	0	
TxtLevelupEnergyNow	当前感知	0	
TxtLimitBuy	限购：	0	
TxtLimitToday	今日限购：	0	
TxtLimitWeek	每周限购：	0	
TxtLimitMonth	每月限购：	0	
TxtMallGift1	立即获得	0	
TxtMallGift2	每日获得(共9日)	0	
TxtMallShow	推荐	0	
TxtTagHot	特惠	0	
TxtTagDiscount	%s折	0	
TxtTagDiscount2	8折	0	
TxtExceed	已溢出	0	
TxtAffixClear	特长重修	0	
TxtClear	重修	0	
TxtAffixSelect	选择特长	0	
TxtAffixNor	一般重置材料	0	
TxtAffixSpe	专属重置材料	0	
TxtAffixEmpty	暂无对应重置材料	0	
TxtShopPurchase	购买	0	
TxtSupportPurchase	聘调	0	
TxtShopFashion	去购买	0	
TxtShopFashion2	去换装	0	
TxtShopFashion3	去获取	0	
TxtShopFashion4	该角色未解锁	0	
TxtShopFashion5	时装预览	0	
TxtShopFashion6	外观预览	0	
TxtShopPurchaseCard	购买即获得	0	
TxtShopSend	双倍+	0	
TxTShopExtra	赠送+	0	
TxTShopDouble	双倍赠送	0	
TxtShopRefresh	刷新	0	
TxtShopmouth	剩余天数：	0	
TxtShopbox	库存：	0	
TxtShopTips	自动刷新前，可重置次数：	0	
TxtShopPurchaseBuy	购买后每日获得	0	
TxtUnlock	解锁：	0	
TxtTotalCurrency	总额：	0	
TxtMethod	获取	0	
TxtHold	持有：	0	
TxtProgress	进度	0	
TxtHold2	持有	0	
TxtMissionEmpty	目标达成	0	
TxtCompleted	达成	0	
TxtBranchMission	主线任务	0	
TxtBranchProgress	完成度	0	
TxtMissionProgress	执行度	0	
TxtItemDetail	查看详情	0	
TxtItemCheck	详情	0	
TxtRareSort	稀有度	0	
TxtLvSort	等级排序	0	
TxtCombatSort	战力排序	0	
TxtDefenceSort	防御力	0	
TxtAttackSort	技巧排序	0	
TxtHealthSort	生命上限排序	0	
TxtBreakSort	天启阶段	0	
TxtArmsSort	武装排序	0	
TxtRegisterTime	注册时间：	0	
TxtSignature	个性签名	0	
TxtGiftExchange	礼品兑换	0	
TxtExchangeTip	请输入兑换码	0	
TxtSetTip	未设置	0	
TxtExchange	兑换	0	
TxtEditName	修改昵称	0	
TxtEditSignature	修改签名	0	
TxtEditCover	修改封面	0	
TxtEditNameCard	修改名片	0	
TxtEditBubble	修改聊天气泡	0	
TxtEditmould	修改模板名	0	
TxtEditmouldDesc	请输入新的模板名字	0	
		0	
TxtSetRole	已设置	0	
TxtEditNameTip	请输入新昵称	0	
TxtEditSignatureTip	请输入新个性签名	0	
TxtEditFriendNotes	请输入好友备注		
TxtEditSignatureTip2	*还可以输入%d个字	0	
TxtEditSignatureTip3	输入1~6个字符	0	
TxtEditSignatureTip4	输入1~20个字符	0	
TxtEditSignatureTip5	最多输入%s个字	0	
TxtEditSignatureTip6	输入1~12个字符	0	
TxtNameInput	请输入名字	0	
report	情报	0	
CountdownTimeTips	时间还剩<span color="#FA0000">%d</>秒了	0	
TxtEventTime	开放时间：	0	
TxtBaseAtt	基础属性	0	
TxtSpeAtt	特殊属性	0	
TxtArmsAtt	枪械属性	0	
TxtAllAtt	合计值	0	
TxtOriginalBg	背景介绍	0	
TxtRoleUnlock	解锁	0	
TxtRoleGet	获取	0	
TxtRoleAcquired	暂未开放购买	0	
TxtActive	主动	0	
TxtPassive	被动	0	
TxtCoolDown	使用间隔	0	
DamageType.3	动能	0	
DamageType.4	高热	0	
DamageType.5	低温	0	
DamageType.6	电击	0	
DamageType.7	特异	0	
TxtStartGame	开始游戏	0	
TxtGameVersion	游戏	0	
TxtTestTip	*早期测试，不代表最终品质	0	
TxtNotice	公告	0	
TxtPowerIntro	爆发能量回复	0	
TxtPowerIntroconsump	爆发能量消耗	0	
TxtBlueIntro	常规能量消耗	0	
TxtDisUnit	米	0	
TxtLevelPoint	总计评价	0	
TxtFightQuit	退出	0	
TxtFight	再次出击	0	
TxtFightNext	下一行动	0	
TxtFightRetreat	撤退	0	
TxtFightAgain	重新执行	0	
TxtOperationSet.FrameImage	图像质量	0	
TxtOperationSet.FrameEffect	特效	0	
TxtOperationSet.FrameShadow	阴影	0	
TxtOperationSet.FrameLater	后期处理	0	
TxtOperationSet.FrameAnti-alias	抗锯齿	0	
TxtOperationSet.FrameResolutionRatio	分辨率	0	
TxtOperationSet.FrameFPs	帧率	0	
TxtOperationSet.FrameReflex	实时反射	0	
TxtOperationSet.FrameFuzzy	动态模糊	0	
TxtOperationSet.SoundVoice	语音	0	
TxtOperationSet.SoundMusic	音乐	0	
TxtOperationSet.SoundAcoustics	音效	0	
TxtOperationSet.SoundLanguage	语音语言选择	0	
TxtOperationSet.SoundChinese	中文配音	0	
TxtOperationSet.SoundEnglish	日文配音	0	
TxtOperationSet.VoiceEnglish	英文配音	0	
TxtOperationSet.SoundKorean	韩文配音	0	3.2新增韩语配音选项
TxtOperationSet.OtherTypeface	提示字大小	0	
TxtBattle	战斗	0	
TxtBattleProgress	目前进度	0	
TxtFinishSign	今日已签到	0	
TxtSignNot	活动未开放	0	
TxtSignOver	活动结束	0	
TxtSignTag	请完成1-4关	0	
TxtMissionFailed	限时挑战未完成	0	
TxtLessonFailed	请注意临界剧变积累效率	0	
TxtSneakFailed	你已惊动目标，请注意隐匿行踪	0	
		0	
TxtFightGiveup	本次行动尚未完成，是否放弃？	0	
TxtNoItem1	暂时没有该类道具	0	
TxtNoItem2	无道具	0	
TxtNoItem3	无新获取的道具	0	
TxtOriginalTips1	逃生舱维生系统确认正常，自动巡航系统确认正常，着陆点确认完成，无法变更。\n注意：继续搭乘逃生舱需验证操作权限及身体状态。	0	
TxtOriginalTips2	请使用触摸方式输入名字进行验证	0	
TxtOriginalBtn	解除生物锁	0	
TxtStartStory	开始	0	
TxtPartLock	未获取	0	
TxtLevelReward	重复掉落	0	
TxtLevelRecord	个人纪录	0	
TxtNewRecord	新纪录	0	
TxtFinishTime	本次通关时间：	0	
TxtItemFirst	首通	0	
TxtShopUnlock	通关关卡2-2后解锁	0	
TxtDailyOpenTime	%s开放	0	
DailyOpenTimeAll	常驻开放	0	
DailyOpenTimeNight	开放时间:%s	0	
TxtOriginalBtnNew	身份验证	0	3.2新取名界面
		0	
TxtNum1	一	0	
TxtNum2	二	0	
TxtNum3	三	0	
TxtNum4	四	0	
TxtNum5	五	0	
TxtNum6	六	0	
TxtNum7	日	0	
		0	
TxtFormation1	编队一	0	
TxtFormation2	编队二	0	
TxtFormation3	神格同调详情	0	
		0	
TxtNewname.MoreNumber	最多允许六个字	0	
TxtBattleSuccess	行动结束	0	
TxtUseing	交互中	0	
activityface	通关关卡1-4后解锁	0	
TxtBattleFail	行动失败	0	
LOGIN_DUPLICATED	账号重复登录	0	
FailedToRequestParameter	请求失败	0	
LOGIN_SelectServer	选择服务器	0	
FailedToConnectServer	连接失败	0	
TxtGachaTen	十次共鸣	0	
TxtGachaOne	单次共鸣	0	
TxtGachaTenGoOn	继续十次	0	
TxtGachaOneGoOn	继续单次	0	
TxtGachaFlag	每十次共鸣必得紫色或以上物品	0	
TxtGachaCostTip	本次登录不再显示	0	
TxtGachaInfoRecord	查看记录	0	
TxtGachaInfoRate	概率详情	0	
TxtGachaRecordName	名称	0	
TxtGachaRecordType	类型	0	
TxtGachaRecordTime	获得时间	0	
TxtGachaRateTitle1	概率提升产物	0	
TxtGachaRateTitle2	全部物品列表	0	
TxtGachaRateTitle3	详细规则	0	
TxtGachaRateTip1	橙色品质（占全部橙色品质出率%s）	0	
TxtGachaRateTip2	紫色品质（占全部紫色品质出率%s）	0	
TxtGachaRateTip3	橙色品质 基础出率%s%% （含保底出率%s%%）以下角色/武器出现的概率相同	0	
TxtGachaRateTip3_0	橙色品质 基础出率%s%%（含保底出率%s%%）以下角色/武器出现的概率相同	0	
TxtGachaRateTip3_1	橙色品质 基础出率%s%%（含保底出率%s%%）	0	
TxtGachaRateTip3_2	橙色品质 基础出率%s%% （含保底出率%s%%）除概率提升角色/武器外，以下角色/武器出现的概率相同，具体可见详细规则	0	
TxtGachaRateTip4	紫色品质 基础出率%s%%（含保底出率%s%%）以下角色/武器出现的概率相同	0	
TxtGachaRateTip5	蓝色品质 基础出率%s%% （含保底出率%s%%）以下角色/武器出现的概率相同	0	
TxtGachaSingleShow	%s-<span size="26">%s</>	0	
TxtGachaRate1	白色品质-%s（含保底出率%s）	0	
TxtGachaRate2	绿色品质-%s（含保底出率%s）	0	
TxtGachaRate3	蓝色品质-%s（含保底出率%s）	0	
TxtGachaRate4	紫色品质-%s（含保底出率%s）	0	
TxtGachaRate5	橙色品质-%s（含保底出率%s）	0	
TxtGachaDefaultTitile1	常守之誓	0	
TxtGachaDefaultTitile2	瓦尔基里的指引	0	
TxtGachaDefaultTitile3	中庭炉心	0	
TxtGachaDefaultTitile4	弹道弦音的合奏	0	
TxtGachaNormalRole1	肴-冬至	0	
TxtGachaNormalRole2	芬妮-咎冠	0	
TxtGachaNormalRole3	茉莉安-雨燕	0	
TxtGachaNormalRole4	里芙-狂猎	0	
TxtGachaNormalRole5	芙提雅-缄默	0	
TxtGachaNormalWeapon1	太阳酬金[霰弹枪]	0	
TxtGachaNormalWeapon2	熔岩骨骼[突击步枪]	0	
TxtGachaNormalWeapon3	星尘回忆[冲锋枪]	0	
TxtGachaRateUpTitle	概率提升	0	
TxtGachaRookieTag	新手	0	
TxtGachaRateTip6	占橙色出率%s%%	0	
TxtGachaWeaponTip	相同的橙色品质武器只需<span size="32" color="R=255,G=197,B=0,A=255">2</>把即可改造满阶		
TxtGachaRateUp1	占橙品出率100%		
TxtGachaRateUp2	概率提升		
		0	
TxtGachaRateTap	下划石碑共鸣	0	
TxtGachaRecordExplan	共鸣记录为您保留90天内最新的200条	0	
TxtPurchaseTip	%s不足，是否购入补充？	0	
TxtPurchaseTip1	恢复感知	0	
TxtPurchaseTip2	无时间限制	0	
TxtPurchaseTip3	当前感知已满	0	
TxtCostTip	是否消耗【%s】x %s 进行【%s】的共鸣	0	
TxtRangeReduce	伤害递减	0	
TxtArmsEvolution	改造	0	
TxtArmsEvolutionStage	等阶	0	
TxtArmsUp	升级	0	
TxtSupportWarn	暂无后勤	0	
TxtReUp	培养	0	
TxtSupportSuitEmpty	暂无激活小队技能	0	
TxtLevelSelect	材料选择	0	
TxtBreachSelect	突破材料选择	0	
TxtArmsBreach	突破	0	
TxtOneKey	一键选择	0	
TxtOneCancle	一键取消	0	
TxtLevelLimit	等级上限	0	
TxtLevelUpSuccess	等级提升	0	
TxtBreachSuccess	突破成功	0	
TxtArmsLevelMax	武器等级已满	0	
TxtArmsEvoSuccess	改造成功	0	
TxtArmsEvoMax	武器改造满阶	0	
		0	
TxtActivityBossDesc	具象压力源说明	0	
TxtActivityBossRecord	最佳测评记录	0	
TxtActivityBossNone	暂无测评记录	0	
TxtActivityScoreQuick	一键领取	0	
TxtActivityScoreCurr	人格稳定值：	0	
TxtActivityScoreTarget	人格稳定值达到%d		
TxtActivityBossScore	稳定值	0	
TxtActivityBossScore2	<span color="#FDFBFF99">稳定值:</>%d 	0	
TxtActivityBuffTitle	词条选择	0	
TxtActivityBuffScoreCurr	预计总稳定值：	0	
