字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注	
Key	zh_CN	disable	Remark	
1001100_name	烈日苏醒	0	冬至	常规技
1001100_des	肴处于【新日耀斑】状态时，可用【烈日公式弹】为【新·太阳风暴】补充弹药维持【新日耀斑】状态，若【烈日公式弹】命中敌人弱点，其伤害进一步提升	0		
1001200_name	曜核冲击	0		支援技
1001200_des	【冬末日冕】在布置时会击飞范围内所有目标并留在场上造成持续伤害，队友可以在范围内使用常规技或爆发技来提前消耗【冬末日冕】，从而回复一部分常规能量或爆发能量	0		
1001300_name	灼眼，重生瞬间	0		爆发技
1001300_des	肴处于【新日耀斑】状态下时射击会造成高额伤害，但每次射击需要一定的蓄力时间，建议保持安全距离进行射击，【新日耀斑】状态下射击多次命中同一部位时伤害还会进一步提升	0		
1002100_name	群狼踏雪	0	狂猎	常规技
1002100_des	持续发射【冰牙】会不断提高其伤害，射击命中会额为回复雪息，来延长冰牙发射的持续时间，在雪息充满的状态下发射【冰牙】会进一步提高本次发射所有的【冰牙】伤害	0		
1002200_name	冰狼利牙	0		支援技
1002200_des	里芙的支援技可以对范围内所有目标造成冻结效果，在面对成群敌人时有较强的控场能力，且全队造成的冻结效果都会额外附加【冻伤】效果	0		
1002300_name	雪原，无尽狩猎	0		爆发技
1002300_des	里芙的爆发技可以在大范围内造成一次巨量伤害并对所有敌人施加冻结效果，且会狩猎所有当前生命低于一定程度的敌人，在解冻时立刻击败他们	0		
1003100_name	素书灵简	0	姬辰星·云篆	常规技
1003100_des	【灵简】附着的目标被射击命中时会产生连锁电流，流动于所有【灵简】中，攻击附着目标，若敌人被多个【灵简】附着则提升被电能攻击的次数	0		
1003200_name	赤雷回锋	0		支援技
1003200_des	【赤雷】在附着时会周期性释放净化电光攻击敌人，附着敌人被命中弱点时会触发【赤色电流】造成额外伤害，还提供额外的能量回复	0		
1003300_name	制八方	0		爆发技
1003300_des	【制八方】可对面前大范围内所有目标造成大量伤害，【御天之匙】初次命中时会刷新所有【灵简】的持续时间，并使范围内单位受到的射击伤害提高	0		
1004100_name	初始棺椁	0	瑟瑞斯	常规技
1004100_des	当瑟瑞斯处于【原初庇护】状态时可以通过战术闪避获得额外的射击赋能效果，并在下一次射击时消耗，射击赋能效果可以通过多次战术闪避获得	0		
1004200_name	边缘守护	0		支援技
1004200_des	在面对敌方远程高火力输出时，瑟瑞斯的【亡者守护】可以为队友提供保护，距离【亡者守护】过近的敌人还会被额外降低移动速度	0		
1004300_name	复活，仅此一夜	0		爆发技
1004300_des	【生序之穹】会基于瑟瑞斯的最大生命值为被保护者提供护盾，且【生序之穹】持续期间额外为被保护者提供作战能力强化，并在结束时治疗目标	0		
1005100_name	绕地飞行	0	安卡希雅·辉夜	常规技
1005100_des	【上弦月镖】在投出后围绕安卡希雅旋转飞行，对所有接触的目标造成伤害并附加【寒月】效果，【寒月】效果超过3层会被冰冻，期间被射击命中会受到额外伤害并提前解除冰冻	0		
1005200_name	月晕	0		支援技
1005200_des	【下弦月镖】造成伤害时会降低敌人的全类型抗性，可大幅提高全队伤害，且存在期间持续吸附周围的目标向其中心移动，建议用在敌人密集的位置	0		
1005300_name	月食	0		爆发技
1005300_des	【月食风暴】存在期间会持续吸附范围内的敌方目标并造成高额伤害，可以有效限制高机动性的敌人，在敌人密集的位置释放时有显著的控场效果	0		
1006100_name	有偿正义	0	晴·藏锋	常规技
1006100_des	【有偿正义】会释放一道向前飞行的【信望之斩】，对沿途的所有敌人造成伤害，且晴每次击败敌人都会立刻回复1层蓄能并在一段时间内不消耗常规能量，是晴的主要输出手段	0		
1006200_name	公义绝斩	0		支援技
1006200_des	【公义绝斩】会使用3次【举证斩】和1次【处刑斩】对面前范围所有敌人造成伤害，【处刑斩】在命中时可额外造成眩晕效果，且命中的敌人数量越多还会额外减少此技能的使用间隔	0		
1006300_name	此身即胜利之刃	0		爆发技
1006300_des	晴使用爆发技后会进入【以身为刃】状态并获得【胜机值】，该状态下可以优先消耗【胜机值】使用常规技，或再次使用爆发技，在【以身为刃】状态下连续使用常规技时可以额外获得【胜欲】层数，从而有概率再次使用爆发技不消耗【胜机值】	0		
1007100_name	难逃至坚锁链	0	芙提雅·缄默	常规技
1007100_des	芙提雅的常规技可以将目标周围的目标向其拉扯，并为所有敌人施加眩晕效果，在面对分散敌人时使用可以一次性控制多名敌人	0		
1007200_name	赫菲斯托斯的敬意	0		支援技
1007200_des	【火神之护】的触发层数存在时会为被保护的队员提供高额的减伤效果并提供霸体，层数被消耗时会对周围敌人造成伤害，当层数消失时火神之护也会继续存在，但不再提供霸体和减伤效果	0		
1007300_name	不屈，至痛苦尽头	0		爆发技
1007300_des	当【不休之苦焰】持续命中1名敌人时，【不休之苦焰】造成的伤害会逐渐提高，可以对单个敌人造成巨量伤害，在释放时应选择精英敌人作为持续攻击目标	0		
1008100_name	亡灵圆舞	0	猫汐尔·溯影	常规技
1008100_des	猫汐尔的常规技可长按蓄力来提升技能伤害与移动距离。结束蓄力后将【小凯贝·献祭者】朝目标扔出，吸附路径上碰撞到的敌人一同移动，到达终点时产生爆炸对范围内敌人造成伤害。	0		
1008200_name	血脉紧缚	0		支援技
1008200_des	猫汐尔的支援技会召唤【小凯贝·束缚者】与面前多个目标连接，造成持续伤害，期间【[小凯贝·束缚者】被视为选定主目标的额外部位，可被我方队员攻击，其受到的所有伤害都会以更高的比例传递给主目标。	0		
1008300_name	重现，覆灭刹那	0		爆发技
1008300_des	猫汐尔的爆发技会在面前创造出一道向前推进的【圣殿虚影】。击飞路径上的所有敌人并造成伤害，【圣殿虚影】持续期间对范围内所有敌人施加迟缓效果，在结束时再次造成伤害	0		
1009100_name	云中穿梭	0	茉莉安·雨燕	常规技
1009100_des	茉莉安的常规技可以标记命中的部位和弱点，在下次射击时标记会为子弹提供制导效果追踪敌人，使用常规技需要消耗子弹，需要注意剩余子弹的数量	0		
1009200_name	落地强袭	0		支援技
1009200_des	茉莉安的支援技可以帮助场上队员脱离失控状态，并击飞子弹路径上的所有敌方目标并附加阻断效果	0		
1009300_name	没有脚的飞鸟	0		爆发技
1009300_des	茉莉安的爆发技会对路径上的所有敌人造成高额伤害和阻断效果，在释放后一段时间内获得强化效果并补充弹药，大幅提升常规技和射击造成的伤害	0		
1010100_name	暖场竞猜	0	苔丝	常规技
1010100_des	苔丝的常规技会根据自身当前持有卡牌的颜色决定效果,且苔丝可以通过射击弱点的方式重新抽取卡牌从而主动切换效果,如果苔丝连续使用了相同花色的技能则技能伤害还会进一步提升。	0		
1010200_name	邀请助演	0		支援技
1010200_des	苔丝的支援技会为全体队员提供对应类型的伤害提升，伤害提升的比例将随时间进一步提升，同时全体队员在造成伤害时还会额外附带1次对应类型的特殊效果。	0		
1010300_name	魔界丝影	0		爆发技
1010300_des	苔丝的爆发技不消耗爆发能量,但在效果结束后会清空当前剩余的爆发能量,在爆发技期间苔丝无法上场,但会使用射击协助场上队员,且每次协助射击都会为全队回复爆发能量,可以使其他队员快速使用其爆发技。	0		
1011100_name	穿行冥府	0	凯茜娅	常规技
1011100_des	凯茜娅可通过使用常规技切换至【第三指引】形态，使射击速度和抗打断能力得到提升，但无法进行移动，在【第三指引】形态时进行射击会消耗自身常规能量，常规能量耗尽则自动退出【第三指引】状态	0		
1011200_name	爆裂信使	0		支援技
1011200_des	凯茜娅的支援技会向目标发射1支【冬风矢】，在发射时会因后坐力向后位移一段距离，【冬风矢】会在命中目标后爆炸，造成伤害的同时冻结爆炸范围内所有敌人，在失控状态下发射【冬风矢】可以提前解除控制效果	0		
1011300_name	雄辩语矢	0		爆发技
1011300_des	凯茜娅的爆发技会制造一场持续10秒的【欺骗箭雨】，【欺骗箭雨】会对范围内的敌人持续造成低温类型伤害，若敌人在【欺骗箭雨】中停留够久还会被施加冻结效果	0		
				
1012100_name	领地梭巡	0	伊切尔	常规技
