字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
RandomEvent	似乎有什么事发生了……	0	
LoveStory	查看故事	0	
GiftSend	赠送礼物	0	
GiftExchange	小吉优选	0	
GiftExchange2	小吉精选		
menka	入住管理	0	
task	事务管理		
Bye	一会儿再见	0	
SwitchAction	看少女忙点别的		
ChangeSuit	更换服饰	0	宿舍-key冲突调整
ChangeSuit_Beach	更换少女衣着	0	宿舍DLC3.2
Beach_Tip_ExchangeGirlSuit	少女衣着更换成功	0	宿舍DLC3.2
jinianpin	小吉特赠		
HouseSkin	大厅装扮	0	DLC3.7宿舍大厅换皮
pickup	采集		
puzzleentry	信源研析		
clipgive	信源交换		
cliprecovery	信源回收		
clipgetall	一键收取		宿舍DLC3.2一键收集碎片的功能
JiasawCompleteOver	完美研析		
JiasawEarlyOver	完成研析		
PuzzlePercentReward	阶段奖励		
PuzzleCompleteReward	完成奖励		
PuzzleSpClipReward	特异信源奖励		
TalkAddEx	完成随机事件获得的相应队员好感度提升%s		
FightAddEx	行动结束获得的出战队员好感度提升%s		
DropAddEx	每次刷新信源断片的数量提升%s段		
DropNumEx	信源断片最大存在数量提升%s段		
PickProEx	采集获得8号特异信源概率提升%s		
GroundEx	解锁信源研析新类型		
TalkAddExALL	完成随机事件获得的相应队员好感度提升至%s		
FightAddExALL	行动结束获得的出战队员好感度提升至%s		
DropAddExALL	每次刷新信源断片的数量提升至%s段		
DropNumExALL	信源断片最大存在数量提升至%s段		
PickProExALL	采集获得8号特异信源概率提升至%s		
houseleveltip1	基地温馨度=所有队员的好感度总和/10		
houseleveltip2	可通过赠送礼物、完成随机事件、消耗感知的作战中安排队员上阵提升该队员的好感度		
GiftResource1	基地小吉处【小吉优选】兑换获得		
GiftResource2	基地小吉处【小吉精选】兑换获得		
GiftResource3	活动大厅-【闲情逸致】获得		
GiftResource4	主线故事-首通第一章进程6获得	0	2.7新手引导
GiftResource5	活动【翠星假日】纪念品		
GiftResource6	活动【雪境危途】纪念品		
GiftResource7	活动【缭乱舞曲】纪念品		
GiftResource8	活动【尽灼天幕】纪念品		
GiftResource9	活动【悖论迷宫】纪念品		
GiftResource10	活动【悖论迷宫】纪念品		
GiftResource11	活动【素影遗痕】纪念品		
GiftResource12	活动【幻现幻归】纪念品		
GiftResource13	活动【空都演绎】纪念品		
GiftResource14	庆典活动纪念品		
