字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
donoduel_name01	多诺-巅峰对决	0	3.5多诺-活动名称
			
arena_level_name_01	正式学习1	0	3.5多诺-擂台关卡名称
arena_level_name_02	正式学习5	0	3.5多诺-擂台关卡名称
arena_level_name_03	对决，开始	0	3.5多诺-擂台关卡名称
arena_level_name_04	她更爱的“游戏”	0	3.5多诺-擂台关卡名称
arena_level_name_05	艰难的选择	0	3.5多诺-擂台关卡名称
arena_level_name_06	新的记录	0	3.5多诺-擂台关卡名称
arena_level_name_07	逃课打法	0	3.5多诺-擂台关卡名称
arena_level_name_08	为记忆搬家	0	3.5多诺-擂台关卡名称
arena_level_name_10	挑战之路1	0	3.5多诺-擂台关卡名称
arena_level_name_11	挑战之路2	0	3.5多诺-擂台关卡名称
arena_level_name_12	挑战之路3	0	3.5多诺-擂台关卡名称
arena_level_name_13	挑战之路4	0	3.5多诺-擂台关卡名称
arena_level_name_14	挑战之路5	0	3.5多诺-擂台关卡名称
arena_level_name_15	巅峰模式	0	3.5多诺-擂台关卡名称
arena_level_name_01_des	让安卡希雅如此沉迷的多诺卡到底是什么样的游戏，体验过了才会更加清楚。	0	3.5多诺-擂台关卡介绍
arena_level_name_02_des	既然安卡希雅已经做了这么多的准备工作，那就试着进一步了解她所喜爱的多诺卡吧。	0	3.5多诺-擂台关卡介绍
arena_level_name_03_des	在完成了所有多诺卡相关的规则学习后，入坑仪式也完满结束。那么，就开始对决吧。	0	3.5多诺-擂台关卡介绍
arena_level_name_04_des	虽然茉莉安也加入到了多诺卡入坑仪式的队伍中，但她似乎不是奔着卡牌来的……	0	3.5多诺-擂台关卡介绍
arena_level_name_05_des	咕咕哝哝的米娅揉搓着自己毛茸茸的头发，似乎在进行一场艰难的选择。	0	3.5多诺-擂台关卡介绍
arena_level_name_06_des	瑟瑞斯仍然保持着记录任何小事的习惯，但从刚刚开始，她就在反复看同一页笔记了……	0	3.5多诺-擂台关卡介绍
arena_level_name_07_des	不知道肴已经睡了多久，这会儿她正在半睁睡眼望着你，她真的是来玩多诺卡的吗？	0	3.5多诺-擂台关卡介绍
arena_level_name_08_des	安卡希雅最终还是鼓起勇气，和你说出了她的心愿。	0	3.5多诺-擂台关卡介绍
arena_level_name_15_des	在巅峰模式中，可以携带10张多诺卡进入对决。每回合对决开始前，可从携带的10张多诺卡中，任选最多5张多诺卡出阵。通过在不同回合调整阵容，尽可能取得更多回合的对决胜利。每回合对决结束后，多诺卡将继承上回合的生命值。	0	3.5多诺-擂台关卡介绍
			
buff_bond1_name	防御者	0	3.5多诺-羁绊名称
buff_bond2_name	近战士	0	3.5多诺-羁绊名称
buff_bond3_name	远攻手	0	3.5多诺-羁绊名称
buff_bond4_name	异术师	0	3.5多诺-羁绊名称
buff_bond5_name	战术家	0	3.5多诺-羁绊名称
buff_bond6_name	附属幻影	0	3.5多诺-羁绊名称
buff_bond7_name	异界斗士	0	3.5多诺-羁绊名称
