字符串索引	中文简体	1=临时文案  0和不填都=正式文案	//备注
Key	zh_CN	disable	Remark
refreshtime	刷新时间：	0	
TxtEventTime	开放时间：	0	
sign	签到	0	
signed	已领取	0	
month	月	0	
1	一	0	
2	二	0	
3	三	0	
4	四	0	
5	五	0	
6	六	0	
7	七	0	
8	八	0	
9	九	0	
10	十	0	
11	十一	0	
12	十二	0	
name1	任务一	0	
name2	任务二	0	
name3	任务三	0	
name4	任务四	0	
name5	任务五	0	
name6	任务六	0	
name7	任务七	0	
name8	任务八	0	
name9	任务九	0	
name10	任务十	0	
name11	任务十一	0	
name12	任务十二	0	
name13	任务十三	0	
name14	任务十四	0	
name15	任务十五	0	
name16	任务十六	0	
name17	任务十七	0	
name18	任务十八	0	
name19	任务十九	0	
name20	任务二十	0	
name21	任务二一	0	
name22	任务二二	0	
name23	任务二三	0	
name24	任务二四	0	
name25	任务二五	0	
name26	任务二六	0	
name27	任务二七	0	
name28	任务二八	0	
name29	任务二九	0	
name30	任务三十	0	
template_2_des	每日登录即可领取对应奖励\n第二日即可领取狙击角色-<span color="#f7be37">茉莉安·雨燕</>	0	
template_3_des	每日登录即可领取对应奖励\n第七日即可领取狙击角色-<span color="#f7be37">茉莉安·雨燕</>\n第十四日即可领取突击步枪-<span color="#f7be37">审判前夜</>	0	
template_4_des	每日登录即可领取对应奖励\n累计签到七天即可领取狙击角色:肴-养生专家\n累计签到十四天即可领取专属时装:肴-工作宗旨	0	
template_5_des	活动期间，每日登录即可领取对应奖励	0	
template_6_des	1、活动期间，完成每日活动任务，可获取强力队员和大量物资补给\n2、每天04:00会开启新阶段的活动任务，共3个阶段\n3、需要完成当前阶段任务，才可进行下一阶段的对应任务	1000	
template_7_des	每日登录即可领取对应奖励\n累计签到七天即可领取狙击角色:芙提雅-小太阳\n累计签到十四天即可领取狙击角色:肴-养生专家	0	
template_8_des	活动期间，完成活动任务，可获取大量物资补给	0	
template_9_des	1.本活动开放时间为8月7日维护后-8月21日4：00\n2.本活动仅对7天以上未登录且等级≥20级的分析员开放，用以物资补偿，仅开放一次	0	
template_10_des	我们为分析员准备了提高安全系数的方案，请按照引导完成任务，保障安全和体验的同时，还能获得奖励！	0	
