机位Id	StandbyId	备注	UI对应BOX	UI对应鼠标样式	UI延迟出现时间	是否出现和谐圣光
CameraId	StandbyId	Desc	UiBox	UiMouse	UiDelay	HolyLight
6	6	恩雅情迷炎日初始standby	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
7	1	芬妮新换装恒约主场景0	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
7	7	芬妮新换装恒约主场景1	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
7	8	芬妮新换装恒约主场景2	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
7	9	芬妮新换装恒约主场景3	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
8	2	芬妮新换装恒约次镜头1	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
9	3	芬妮新换装恒约次镜头2	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
10	1	芬妮新换装恒约次镜头3	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
11	1	里芙新换装恒约主场景	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}	10	{{708,1,"Bip001-Pelvis","uw_girlroom_peace"}}
