唯一ID	备注	StandbyId	镜头资产	动作循环ID（对应DT_InteractionLoopAnimSeqConfig)	对应镜头的基础standID	对应镜头的基础FaceID	镜头模式(1代表分析员中心镜头；2代表角色中心镜头）	镜头移动参数【如果是模式1：{{镜头左角度，镜头右角度},镜头上角度,镜头下角度},{半径}（可不填，填了也不生效）}】【如果是模式2：{{镜头左角度，镜头右角度},{上距,下距,模式(1上下移动 2中心上下旋转)},{半径,距离曲线}}】	阻尼曲线资产{左右公用一个，上下公用一个}·靠近镜头最大最小值时的阻挡感，x距离y倍率）	速度曲线资产{左右公用一个，上下公用一个}·玩家输入速度与实际移动速度 x玩家输入速度y倍率）	回弹曲线表{{左右的0x距离y倍率，左右的x速度y倍率,左右的x时间y倍率}}，{{上下的倍率距离+上下的速度时间，上下的x时间y倍率}}·松手后的回弹效果	UI对应BOX	UI对应鼠标样式	UI延迟出现时间	是否需要自动播放与跳过（空白 默认都不要；1自播，2跳过；格式：{1,2}）	人物actor	是否出现和谐圣光	是否出现置顶静态图素（默认不填，当前场景不显示静态图；需要才填路径名称，对应resourceID）	引导中隐藏指引	重置BGM
Id	Desc	StandbyId	LensId	LoopId	StandID	FaceID	LensMode	LensMove	LensMoveCurve	SpeedMoveCurve	ResilienceCurve	UiBox	UiMouse	UiDelay	FunctionButtons	CharacterActor	HolyLight	StaticPixels_a	HideTipInGuide	ResetBGM
1	恩雅羽蜕护士皮待机	{1}	/Game/Cinematics/girl011a_02_manifestation/Sequence/girl011a_02_manifestation_standby_stand01_Master.girl011a_02_manifestation_standby_stand01_Master		/Game/Characters/Girl/girl011a_02/Anim/manifestation/girl011a_02_manifestation_standby_stand01.girl011a_02_manifestation_standby_stand01	/Game/Characters/Girl/girl011a_02/AnimPart00/manifestation/girl011a_02_manifestation_standby_stand01.girl011a_02_manifestation_standby_stand01	{1}	{{12,12},{2,0}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}			girl011a_02_ma_standby_stand01				
2	恩雅羽蜕护士皮待机pose1	{2}	/Game/Cinematics/girl011a_02_manifestation/Sequence/girl011a_02_manifestation_show_stand02_Master.girl011a_02_manifestation_show_stand02_Master		/Game/Characters/Girl/girl011a_02/Anim/manifestation/girl011a_02_manifestation_show_stand02.girl011a_02_manifestation_show_stand02	/Game/Characters/Girl/girl011a_02/AnimPart00/manifestation/girl011a_02_manifestation_show_stand02.girl011a_02_manifestation_show_stand02	{1}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{708,15,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"}}	{{708,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"}}			girl011a_02_ma_show_stand02	{{1101,1,"Bip001-Pelvis","uw_girlroom_peace"},{1108,1,"Bip001-Pelvis","uw_girlroom_peace"}}			
4	恩雅羽蜕护士皮待机pose3	{4}	/Game/Cinematics/girl011a_02_manifestation/Sequence/girl011a_02_manifestation_show_stand04_Master.girl011a_02_manifestation_show_stand04_Master		/Game/Characters/Girl/girl011a_02/Anim/manifestation/girl011a_02_manifestation_show_stand04.girl011a_02_manifestation_show_stand04	/Game/Characters/Girl/girl011a_02/AnimPart00/manifestation/girl011a_02_manifestation_show_stand04.girl011a_02_manifestation_show_stand04	{1}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{704,14,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"},{705,14,"uw_girlroom_touch"}}	{{704,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"},{705,"uw_girlroom_mouse"}}			girl011a_02_ma_show_stand04	{{1204,1,"Bip001-Pelvis","uw_girlroom_peace"},{1205,1,"Bip001-Pelvis","uw_girlroom_peace"}}			
5	恩雅羽蜕护士皮待机pose4	{5}	/Game/Cinematics/girl011a_02_manifestation/Sequence/girl011a_02_manifestation_show_stand05_Master.girl011a_02_manifestation_show_stand05_Master		/Game/Characters/Girl/girl011a_02/Anim/manifestation/girl011a_02_manifestation_show_stand05.girl011a_02_manifestation_show_stand05	/Game/Characters/Girl/girl011a_02/AnimPart00/manifestation/girl011a_02_manifestation_show_stand05.girl011a_02_manifestation_show_stand05	{1}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{704,15,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"},{705,15,"uw_girlroom_touch"}}	{{704,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"},{705,"uw_girlroom_mouse"}}			girl011a_02_ma_show_stand05	{{1304,1,"Bip001-Pelvis","uw_girlroom_peace"},{1305,1,"Bip001-Pelvis","uw_girlroom_peace"}}			
6	恩雅情迷炎日	{6}	/Game/Cinematics/girl011a_02_manifestation/Sequence/girl011a_02_manifestation_show_stand05_Master.girl011a_02_manifestation_show_stand05_Master		/Game/Characters/Girl/girl011_02/Anim/girl011_02_ui_stand01.girl011_02_ui_stand01	/Game/Characters/Girl/girl011a_02/AnimPart00/manifestation/girl011a_02_manifestation_show_stand01.girl011a_02_manifestation_show_stand01	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{1,15,"uw_girlroom_touch"}}	{{1,"uw_girlroom_mouse"}}			girl011a_02_ma_show_stand01	{{1,1,"Bip001-Pelvis","uw_girlroom_peace"}}			
7	芬妮恒约pose1	{1,7,8,9}	/Game/Cinematics/girl008b_02_manifestation/sequence/girl008b_02_ma_standby_stand01_Master.girl008b_02_ma_standby_stand01_Master		/Game/Characters/Girl/girl008b_02/Anim/manifestation/girl008b_02_ma_standby_stand01.girl008b_02_ma_standby_stand01	/Game/Characters/Girl/girl008b_02/AnimPart00/manifestation/girl008b_02_ma_standby_stand01.girl008b_02_ma_standby_stand01	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl008b_02_ma_standby_stand01	{{708,1,"Bip001-Spine","uw_girlroom_peace"}}			
8	芬妮恒约pose2	{2}	/Game/Cinematics/girl008b_02_manifestation/sequence/girl008b_02_ma_show_stand01_Master.girl008b_02_ma_show_stand01_Master		/Game/Characters/Girl/girl008b_02/Anim/manifestation/girl008b_02_ma_show_stand01.girl008b_02_ma_show_stand01	/Game/Characters/Girl/girl008b_02/AnimPart00/manifestation/girl008b_02_ma_show_stand01.girl008b_02_ma_show_stand01	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl008b_02_ma_show_stand01	{{704,1,"Bip001-Spine","uw_girlroom_peace"},{705,1,"Bip001-Spine","uw_girlroom_peace"}}			
9	芬妮恒约pose3	{3}	/Game/Cinematics/girl008b_02_manifestation/sequence/girl008b_02_ma_show_stand02_Master.girl008b_02_ma_show_stand02_Master		/Game/Characters/Girl/girl008b_02/Anim/manifestation/girl008b_02_ma_show_stand02.girl008b_02_ma_show_stand02	/Game/Characters/Girl/girl008b_02/AnimPart00/manifestation/girl008b_02_ma_show_stand02.girl008b_02_ma_show_stand02	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl008b_02_ma_show_stand02	{{704,1,"Bip001-Spine","uw_girlroom_peace"},{707,1,"Bip001-Spine","uw_girlroom_peace"}}			
10	芬妮恒约pose4	{6}	/Game/Cinematics/girl008b_02_manifestation/sequence/girl008b_02_ma_show_stand05_Master.girl008b_02_ma_show_stand05_Master		/Game/Characters/Girl/girl008b_02/Anim/manifestation/girl008b_02_ma_show_stand05.girl008b_02_ma_show_stand05	/Game/Characters/Girl/girl008b_02/AnimPart00/manifestation/girl008b_02_ma_show_stand05.girl008b_02_ma_show_stand05	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl008b_02_ma_show_stand05	{{706,1,"Bip001-Spine","uw_girlroom_peace"}}			
