	注释	血量	攻击ID	攻击强度id	攻击倍数	物理防御	暴击率	暴击加成	实弹抗性	火抗	冰抗	雷抗	异能抗性	场地伤害抗性	群伤减免系数
ID	Comment	Health	AttackID	GradeAttackID	AttackTimes	Defence	CriticalValue	CriticalDamage	EntityBulletResistance	FireResistance	IceResistance	ThunderResistance	SuperpowersResistance	FieldResistance	RangeDamageReduction
2001	易碎掩体	200		102	1	0	0	0	0	0	0	0	0	-100	100
2002	坚实掩体	2000		102	1	0	0	0	0	0	0	0	0	-100	100
2003	护盾掩体	400		102	1	0	0	0	0	0	0	0	0	-100	100
2009	爆炸桶	50		102	1	0	0	0	0	0	0	0	0	-100	100
2010	燃烧桶	50		102	1	0	0	0	0	0	0	0	0	-100	100
2011	异能桶	50		102	1	0	0	0	0	0	0	0	0	-100	100
2012	冰冻桶	50		102	1	0	0	0	0	0	0	0	0	-100	100
2013	变压桶	50		102	1	0	0	0	0	0	0	0	0	-100	100
2014	磁能机关	50		102	1	0	0	0	0	0	0	0	0	-100	100
2015	破片桶	50		102	1	0	0	0	0	0	0	0	0	-100	100
2016	虚拟石柱	900		102	1	0	0	0	0	0	0	0	0	-100	100
2017	新-约瑟夫掩体	3000		102	1	0	0	0	0	0	0	0	0	-100	100
2018	爆炸桶	50		102	5	0	0	0	0	0	0	0	0	-100	100
2019	联机障碍物	600		102	1	0	0	0	0	0	0	0	0	-100	100
2020	联机障碍物	200		102	1	0	0	0	0	0	0	0	0	-100	100
2021	DLC9特殊破坏物	200		102	0	0	0	0	0	0	0	0	0	-100	100
2030	云霄飞车气球	5		102	1	0	0	0	0	0	0	0	0	-100	100
2031	DLC23七日派对炸药桶	5		102	50	0	0	0	0	0	0	0	0	-100	100
2032	DLC24竹筏关炸药桶	1		102	1	0	0	0	0	0	0	0	0	-100	100
2033	激浪联航水雷	300		400	20000	0	0	0	0	0	0	0	0	-100	100
2034	激浪联航海面补给箱	1		400	1	0	0	0	0	0	0	0	0	-100	100
2035	激浪联航空中补给箱	1		400	1	0	0	0	0	0	0	0	0	-100	100
2036	虫卵	140		102	1	0	0	0	0	0	0	0	0	-100	100
2037	进击行动陷阱-小	300		102	1	0	0	0	0	0	0	0	0	-100	100
2038	进击行动陷阱-大	3000		102	1	0	0	0	0	0	0	0	0	-100	100
