ID	备注	关卡名	关卡详情	地图ID	关联growintensity怪物强度模板	BUFFID（可以多个）	队伍规则	任务资源
ID	Comments	Name	Desc	MapID	LevelStrength	BuffID	TeamRuleID	TaskPath
5000	冬至试玩	activity.try_girl_Name1	activity.try_girl_Desc0	5000	3		1117	DemoTask/Demo_Girl1021.Demo_Girl1021
5001	狂猎试玩	activity.try_girl_Name2	activity.try_girl_Desc0	5001	3		30002	DemoTask/Demo_Girl022.Demo_Girl022
5002	云篆试玩	activity.try_girl_Name3	activity.try_girl_Desc0	5002	3		1121	DemoTask/Demo_Girl11421.Demo_Girl11421
5003	瑟瑞斯试玩	activity.try_girl_Name4	activity.try_girl_Desc0	5003	3		30001	DemoTask/Demo_Girl11311.Demo_Girl11311
5004	辉夜试玩	activity.try_girl_Name5	activity.try_girl_Desc0	5004	3		30000	DemoTask/Demo_Girl0121.Demo_Girl0121
5005	皮肤试玩_缄默行疾脱兔	activity.try_girl_Name6	activity.try_girl_Desc0	5005	3		30003	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5006	皮肤试玩_藏锋凛冬冽花	activity.try_girl_Name7	activity.try_girl_Desc0	5005	3		30004	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5007	皮肤试玩_咎冠荆棘皮	activity.try_girl_Name8	activity.try_girl_Desc0	5005	3		30005	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5008	缄默试玩	activity.try_girl_Name9	activity.try_girl_Desc0	5006	3		30006	DemoTask/DemoLevel_0421.DemoLevel_0421
5009	藏锋试玩	activity.try_girl_Name10	activity.try_girl_Desc0	5007	3		30007	DemoTask/Demo_Girl1621.Demo_Girl1621
5010	溯影	activity.try_girl_Name11	activity.try_girl_Desc0	5009	3		30008	DemoTask/Demo_Girl11221.Demo_Girl11221
5012	皮肤试玩_溯影灼阳假期	activity.try_girl_Name13	activity.try_girl_Desc0	5008	3		30012	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5013	皮肤试玩_云篆波光倩影	activity.try_girl_Name14	activity.try_girl_Desc0	5008	3		30013	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5014	皮肤试玩_恩雅情迷炎日	activity.try_girl_Name15	activity.try_girl_Desc0	5008	3		30011	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5015	皮肤试玩_茉莉安一掷千金	activity.try_girl_Name16	activity.try_girl_Desc0	5008	3		30009	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5016	皮肤试玩_肴战损皮	activity.try_girl_Name17	activity.try_girl_Desc0	5008	3		30014	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5017	皮肤试玩_冬至粼粼尾浪	activity.try_girl_Name18	activity.try_girl_Desc0	5008	3		30010	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5018	苔丝	activity.try_girl_Name23	activity.try_girl_Desc0	5010	3		30019	DemoTask/Demo_Girl11711.Demo_Girl11711
5019	皮肤试玩_苔丝流放欢愉	activity.try_girl_Name19	activity.try_girl_Desc0	5011	3		30017	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5020	皮肤试玩_狂猎霜舞盛典	activity.try_girl_Name20	activity.try_girl_Desc0	5011	3		30015	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5021	皮肤试玩_咎冠初晴金雪	activity.try_girl_Name21	activity.try_girl_Desc0	5011	3		30016	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5022	皮肤试玩_冬至滑雪皮	activity.try_girl_Name22	activity.try_girl_Desc0	5011	3		30018	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5023	凯茜娅	activity.try_girl_Name24	activity.try_girl_Desc0	5013	3		30024	DemoTask/Demo_Girl11511.Demo_Girl11511
5024	皮肤试玩_凯茜娅远曲独舞	activity.try_girl_Name25	activity.try_girl_Desc0	5012	3		30020	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5025	皮肤试玩_缄默狂曲雅跃	activity.try_girl_Name26	activity.try_girl_Desc0	5012	3		30021	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5026	皮肤试玩_藏锋夜临谍舞	activity.try_girl_Name27	activity.try_girl_Desc0	5012	3		30022	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5027	皮肤试玩_芬妮战损皮	activity.try_girl_Name28	activity.try_girl_Desc0	5012	3		30023	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5028	皮肤试玩_狂猎宵宴绯盏	activity.try_girl_Name29	activity.try_girl_Desc0	5012	3		30025	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5029	皮肤试玩_辉夜东流映荷	activity.try_girl_Name30	activity.try_girl_Desc0	5012	3		30026	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5030	伊切尔	activity.try_girl_Name31	activity.try_girl_Desc0	5015	3		30030	DemoTask/Demo_Girl11611.Demo_Girl11611
5031	皮肤试玩_咎冠甜蜜统治	activity.try_girl_Name32	activity.try_girl_Desc0	5014	3		30027	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5032	皮肤试玩_伊切尔迟到花蕾	activity.try_girl_Name33	activity.try_girl_Desc0	5014	3		30028	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5033	皮肤试玩_狂猎3星皮	activity.try_girl_Name34	activity.try_girl_Desc0	5014	3		30029	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5034	琴诺悖谬	activity.try_girl_Name35	activity.try_girl_Desc0	5017	3		30035	DemoTask/Demo_Girl1721.Demo_Girl1721
5035	恩雅羽蜕	activity.try_girl_Name36	activity.try_girl_Desc0	5018	3		30034	DemoTask/Demo_Girl11121.Demo_Girl11121
5036	皮肤试玩_悖谬见习侍奉	activity.try_girl_Name37	activity.try_girl_Desc0	5016	3		30031	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5037	皮肤试玩_羽蜕轻语疗法	activity.try_girl_Name38	activity.try_girl_Desc0	5016	3		30032	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5038	皮肤试玩_苔丝秘密约会	activity.try_girl_Name39	activity.try_girl_Desc0	5016	3		30033	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5039	瑟瑞斯瞬刻	activity.try_girl_Name40	activity.try_girl_Desc0	5020	3		30036	DemoTask/Demo_Girl11321.Demo_Girl11321
5040	皮肤试玩_瞬刻须臾蹁跹	activity.try_girl_Name41	activity.try_girl_Desc0	5019	3		30037	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5041	皮肤试玩_凯西娅贴身特助	activity.try_girl_Name42	activity.try_girl_Desc0	5019	3		30038	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5042	皮肤试玩_芙提雅不灭耀心	activity.try_girl_Name43	activity.try_girl_Desc0	5019	3		30040	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5043	皮肤试玩_猫汐尔喵步巧跃	activity.try_girl_Name44	activity.try_girl_Desc0	5019	3		30039	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5044	里芙-无限之视	activity.try_girl_Name45	activity.try_girl_Desc0	5021	3		30041	DemoTask/Demo_Girl1231.Demo_Girl1231
5045	芬妮-辉耀	activity.try_girl_Name46	activity.try_girl_Desc0	5022	3		30042	DemoTask/Demo_Girl1831.Demo_Girl1831
5046	皮肤试玩_无限之视爱意凝晶	activity.try_girl_Name47	activity.try_girl_Desc0	5023	3		30043	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5047	皮肤试玩_芬妮新换装恒约	activity.try_girl_Name48	activity.try_girl_Desc0	5023	3		30044	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5048	皮肤试玩_雨燕舞会4星	activity.try_girl_Name49	activity.try_girl_Desc0	5023	3		30045	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5049	皮肤试玩_里芙宇航员BP3星	activity.try_girl_Name50	activity.try_girl_Desc0	5023	3		30046	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5050	皮肤试玩_伊切尔3星	activity.try_girl_Name51	activity.try_girl_Desc0	5023	3		30047	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5051	薇蒂雅	activity.try_girl_Name52	activity.try_girl_Desc0	5025	3		30048	DemoTask/Demo_Girl11811.Demo_Girl11811
5052	皮肤试玩_薇蒂雅翠翎倩姿	activity.try_girl_Name53	activity.try_girl_Desc0	5024	3		30049	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5053	皮肤试玩_云篆	activity.try_girl_Name54	activity.try_girl_Desc0	5024	3		30050	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5054	皮肤试玩_安卡希雅战损	activity.try_girl_Name55	activity.try_girl_Desc0	5024	3		30051	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5055	武器试玩_羽蜕轻语疗法_武器试玩	activity.try_girl_Name56	activity.try_girl_Desc0	5016	3		30052	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5056	凯茜娅·朝翼	activity.try_girl_Name57	activity.try_girl_Desc0	5028	3		30053	DemoTask/Demo_Girl11521.Demo_Girl11521
5057	茉莉安·羽蜕	activity.try_girl_Name58	activity.try_girl_Desc0	5027	3		30054	DemoTask/Demo_Girl1531.Demo_Girl1531
5058	皮肤试玩_凯茜娅·朝翼沐浪倦姿	activity.try_girl_Name59	activity.try_girl_Desc0	5026	3		30055	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5059	皮肤试玩_茉莉安·幽潮灿阳一刻	activity.try_girl_Name60	activity.try_girl_Desc0	5026	3		30056	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5060	皮肤试玩_恩雅·羽蜕浅憩之处	activity.try_girl_Name61	activity.try_girl_Desc0	5026	3		30057	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5061	皮肤试玩_琴诺·悖谬静聆潮韵	activity.try_girl_Name62	activity.try_girl_Desc0	5026	3		30058	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5062	芙提雅·驰掣	activity.try_girl_Name63	activity.try_girl_Desc0	5030	3		30059	DemoTask/Demo_Girl1431.Demo_Girl1431
5063	皮肤试玩_芙提雅·驰掣毛绒派对	activity.try_girl_Name64	activity.try_girl_Desc0	5029	3		30060	DemoTask/DemoLevel_Skin.DemoLevel_Skin
