Id	试用角色	活动说明	单独界面	是否自选卡池试玩（填1为自选卡池试玩，不填为普通试玩）
ActId	TryGirl	Desc	UI	IfOptional
12	{5}	activity.try_girl_test		
18	{3,4}	activity.try_girl_test	Dlc1Try	
25	{2}	activity.try_girl_test	Dlc1Try	
				
33	{6}	activity.try_girl_test1	Dlc1Try	
34	{7}	activity.try_girl_test1	Dlc1Try	
35	{9}	activity.try_girl_test1	Dlc1Try	
36	{8}	activity.try_girl_test1	Dlc1Try	
37	{10}	activity.try_girl_test1	Dlc1Try	
				
43	{11}	activity.try_girl_test1	Dlc1Try	
44	{5}	activity.try_girl_test1	Dlc1Try	
45	{13}	activity.try_girl_test1	Dlc1Try	
46	{14}	activity.try_girl_test1	Dlc1Try	
47	{15}	activity.try_girl_test1	Dlc1Try	
48	{16}	activity.try_girl_test1	Dlc1Try	
49	{17}	activity.try_girl_test1	Dlc1Try	
50	{18}	activity.try_girl_test1	Dlc1Try	
				
63	{19}	activity.try_girl_test1	Dlc1Try	
64	{3}	activity.try_girl_test1	Dlc1Try	
65	{20}	activity.try_girl_test1	Dlc1Try	
66	{21}	activity.try_girl_test1	Dlc1Try	
67	{22}	activity.try_girl_test1	Dlc1Try	
68	{23}	activity.try_girl_test1	Dlc1Try	
				
72	{24}	activity.try_girl_test1	Dlc1Try	
73	{6}	activity.try_girl_test1	Dlc1Try	
74	{25}	activity.try_girl_test1	Dlc1Try	
75	{26}	activity.try_girl_test1	Dlc1Try	
76	{27}	activity.try_girl_test1	Dlc1Try	
77	{28}	activity.try_girl_test1	Dlc1Try	
				
84	{29}	activity.try_girl_test1	Dlc1Try	
86	{30}	activity.try_girl_test1	Dlc1Try	
				
89	{31}	activity.try_girl_test1	Dlc1Try	
90	{11}	activity.try_girl_test1	Dlc1Try	
91	{32}	activity.try_girl_test1	Dlc1Try	
92	{33}	activity.try_girl_test1	Dlc1Try	
93	{34}	activity.try_girl_test1	Dlc1Try	
98	{5}	activity.try_girl_test1	Dlc1Try	
99	{30}	activity.try_girl_test1	Dlc1Try	
				
				
100	{35}	activity.try_girl_test1	Dlc1Try	
101	{36}	activity.try_girl_test1	Dlc1Try	
102	{19}	activity.try_girl_test1	Dlc1Try	
104	{37}	activity.try_girl_test1	Dlc1Try	
105	{38}	activity.try_girl_test1	Dlc1Try	
106	{20}	activity.try_girl_test1	Dlc1Try	
107	{39}	activity.try_girl_test1	Dlc1Try	
				
115	{40}	activity.try_girl_test1	Dlc1Try	
116	{41}	activity.try_girl_test1	Dlc1Try	
117	{42}	activity.try_girl_test1	Dlc1Try	
118	{43}	activity.try_girl_test1	Dlc1Try	
119	{44}	activity.try_girl_test1	Dlc1Try	
121	{24}	activity.try_girl_test1	Dlc1Try	
122	{38}	activity.try_girl_test1	Dlc1Try	
				
125	{45}	activity.try_girl_test1	Dlc1Try	
126	{46}	activity.try_girl_test1	Dlc1Try	
127	{5}	activity.try_girl_test1	Dlc1Try	
128	{3}	activity.try_girl_test1	Dlc1Try	
129	{6}	activity.try_girl_test1	Dlc1Try	
130	{11}	activity.try_girl_test1	Dlc1Try	
131	{19}	activity.try_girl_test1	Dlc1Try	
132	{24}	activity.try_girl_test1	Dlc1Try	
133	{31}	activity.try_girl_test1	Dlc1Try	
134	{47}	activity.try_girl_test1	Dlc1Try	
135	{48}	activity.try_girl_test1	Dlc1Try	
136	{49}	activity.try_girl_test1	Dlc1Try	
137	{50}	activity.try_girl_test1	Dlc1Try	
138	{51}	activity.try_girl_test1	Dlc1Try	
139	{8}	activity.try_girl_test1	Dlc1Try	
140	{26}	activity.try_girl_test1	Dlc1Try	
141	{30}	activity.try_girl_test1	Dlc1Try	
142	{33}	activity.try_girl_test1	Dlc1Try	
143	{9}	activity.try_girl_test1	Dlc1Try	
144	{22}	activity.try_girl_test1	Dlc1Try	
145	{21}	activity.try_girl_test1	Dlc1Try	
146	{32}	activity.try_girl_test1	Dlc1Try	
147	{25}	activity.try_girl_test1	Dlc1Try	
154	{42}	activity.try_girl_test1	Dlc1Try	
155	{52}	activity.try_girl_test1	Dlc1Try	
156	{3}	activity.try_girl_test1	Dlc1Try	
157	{35}	activity.try_girl_test1	Dlc1Try	
158	{36}	activity.try_girl_test1	Dlc1Try	
159	{53}	activity.try_girl_test1	Dlc1Try	
160	{54}	activity.try_girl_test1	Dlc1Try	
161	{55}	activity.try_girl_test1	Dlc1Try	
162	{37}	activity.try_girl_test1	Dlc1Try	
163	{38}	activity.try_girl_test1	Dlc1Try	
168	{56}	activity.try_girl_test1	Dlc1Try	
				
176	{57}	activity.try_girl_test1	Dlc1Try	
177	{58}	activity.try_girl_test1	Dlc1Try	
178	{46}	activity.try_girl_test1	Dlc1Try	
179	{40}	activity.try_girl_test1	Dlc1Try	
180	{59}	activity.try_girl_test1	Dlc1Try	
181	{60}	activity.try_girl_test1	Dlc1Try	
182	{61}	activity.try_girl_test1	Dlc1Try	
183	{62}	activity.try_girl_test1	Dlc1Try	
184	{13}	activity.try_girl_test1	Dlc1Try	
185	{14}	activity.try_girl_test1	Dlc1Try	
186	{41}	activity.try_girl_test1	Dlc1Try	
191	{63}	activity.try_girl_test1	Dlc1Try	
193	{45}	activity.try_girl_test1	Dlc1Try	
194	{64}	activity.try_girl_test1	Dlc1Try	
195	{65}	activity.try_girl_test1	Dlc1Try	
196	{60}	activity.try_girl_test1	Dlc1Try	
197	{66}	activity.try_girl_test1	Dlc1Try	
198	{67}	activity.try_girl_test1	Dlc1Try	
201	{11}	activity.try_girl_test1	Dlc1Try	
204	{68}	activity.try_girl_test1	Dlc1Try	
205	{57}	activity.try_girl_test1	Dlc1Try	
206	{31}	activity.try_girl_test1	Dlc1Try	
207	{69}	activity.try_girl_test1	Dlc1Try	
208	{70}	activity.try_girl_test1	Dlc1Try	
209	{71}	activity.try_girl_test1	Dlc1Try	
213	{72}	activity.try_girl_test1	Dlc1Try	
214	{73}	activity.try_girl_test1	Dlc1Try	
215	{58}	activity.try_girl_test1	Dlc1Try	
216	{74}	activity.try_girl_test1	Dlc1Try	
217	{75}	activity.try_girl_test1	Dlc1Try	
218	{76}	activity.try_girl_test1	Dlc1Try	
219	{77}	activity.try_girl_test1	Dlc1Try	
220	{47}	activity.try_girl_test1	Dlc1Try	
221	{48}	activity.try_girl_test1	Dlc1Try	
222	{29}	activity.try_girl_test1	Dlc1Try	
223	{8}	activity.try_girl_test1	Dlc1Try	
224	{41}	activity.try_girl_test1	Dlc1Try	
225	{42}	activity.try_girl_test1	Dlc1Try	
226	{49}	activity.try_girl_test1	Dlc1Try	
227	{53}	activity.try_girl_test1	Dlc1Try	
228	{54}	activity.try_girl_test1	Dlc1Try	
229	{64}	activity.try_girl_test1	Dlc1Try	
230	{65}	activity.try_girl_test1	Dlc1Try	
238	{5}	activity.try_girl_test1	Dlc1Try	
239	{3}	activity.try_girl_test1	Dlc1Try	
240	{6}	activity.try_girl_test1	Dlc1Try	
241	{11}	activity.try_girl_test1	Dlc1Try	
242	{19}	activity.try_girl_test1	Dlc1Try	
243	{24}	activity.try_girl_test1	Dlc1Try	
244	{31}	activity.try_girl_test1	Dlc1Try	
245	{35}	activity.try_girl_test1	Dlc1Try	
246	{36}	activity.try_girl_test1	Dlc1Try	
247	{40}	activity.try_girl_test1	Dlc1Try	
248	{45}	activity.try_girl_test1	Dlc1Try	
249	{46}	activity.try_girl_test1	Dlc1Try	
250	{52}	activity.try_girl_test1	Dlc1Try	
253	{78}	activity.try_girl_test1	Dlc1Try	
254	{24}	activity.try_girl_test1	Dlc1Try	
255	{63}	activity.try_girl_test1	Dlc1Try	
256	{79}	activity.try_girl_test1	Dlc1Try	
257	{80}	activity.try_girl_test1	Dlc1Try	
258	{81}	activity.try_girl_test1	Dlc1Try	
259	{82}	activity.try_girl_test1	Dlc1Try	
260	{83}	activity.try_girl_test1	Dlc1Try	
261	{64}	activity.try_girl_test1	Dlc1Try	
264	{75}	activity.try_girl_test1	Dlc1Try	
269	{84}	activity.try_girl_test1	Dlc1Try	
270	{68}	activity.try_girl_test1	Dlc1Try	
271	{35}	activity.try_girl_test1	Dlc1Try	
272	{36}	activity.try_girl_test1	Dlc1Try	
273	{57}	activity.try_girl_test1	Dlc1Try	
274	{85}	activity.try_girl_test1	Dlc1Try	
275	{86}	activity.try_girl_test1	Dlc1Try	
276	{87}	activity.try_girl_test1	Dlc1Try	
277	{88}	activity.try_girl_test1	Dlc1Try	
278	{89}	activity.try_girl_test1	Dlc1Try	
279	{90}	activity.try_girl_test1	Dlc1Try	
280	{70}	activity.try_girl_test1	Dlc1Try	
290	{91}	activity.try_girl_test1	Dlc1Try	
291	{40}	activity.try_girl_test1	Dlc1Try	
292	{63}	activity.try_girl_test1	Dlc1Try	
293	{72}	activity.try_girl_test1	Dlc1Try	
294	{73}	activity.try_girl_test1	Dlc1Try	
295	{92}	activity.try_girl_test1	Dlc1Try	
296	{93}	activity.try_girl_test1	Dlc1Try	
297	{94}	activity.try_girl_test1	Dlc1Try	
298	{95}	activity.try_girl_test1	Dlc1Try	
299	{96}	activity.try_girl_test1	Dlc1Try	
300	{65}	activity.try_girl_test1	Dlc1Try	
302	{64}	activity.try_girl_test1	Dlc1Try	
303	{41}	activity.try_girl_test1	Dlc1Try	
305	{97}	activity.try_girl_test1	Dlc1Try	
306	{98}	activity.try_girl_test1	Dlc1Try	
307	{45}	activity.try_girl_test1	Dlc1Try	
308	{46}	activity.try_girl_test1	Dlc1Try	
309	{68}	activity.try_girl_test1	Dlc1Try	
310	{78}	activity.try_girl_test1	Dlc1Try	
311	{99}	activity.try_girl_test1	Dlc1Try	
312	{100}	activity.try_girl_test1	Dlc1Try	
313	{101}	activity.try_girl_test1	Dlc1Try	
314	{102}	activity.try_girl_test1	Dlc1Try	
315	{103}	activity.try_girl_test1	Dlc1Try	
316	{47}	activity.try_girl_test1	Dlc1Try	
317	{48}	activity.try_girl_test1	Dlc1Try	
318	{74}	activity.try_girl_test1	Dlc1Try	
319	{75}	activity.try_girl_test1	Dlc1Try	
320	{76}	activity.try_girl_test1	Dlc1Try	
321	{87}	activity.try_girl_test1	Dlc1Try	
322	{80}	activity.try_girl_test1	Dlc1Try	
323	{64}	activity.try_girl_test1	Dlc1Try	
324	{93}	activity.try_girl_test1	Dlc1Try	
325	{88}	activity.try_girl_test1	Dlc1Try	
326	{94}	activity.try_girl_test1	Dlc1Try	
327	{79}	activity.try_girl_test1	Dlc1Try	
331	{57}	activity.try_girl_test1	Dlc1Try	
332	{58}	activity.try_girl_test1	Dlc1Try	
333	{63}	activity.try_girl_test1	Dlc1Try	
334	{72}	activity.try_girl_test1	Dlc1Try	
335	{73}	activity.try_girl_test1	Dlc1Try	
339	{104}	activity.try_girl_test1	Dlc1Try	
340	{73}	activity.try_girl_test1	Dlc1Try	
