字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H卡罗琳		哟，分析员，里芙。	0	3.4版本星祈心愿宿舍剧情
page1.2	H卡罗琳		分析员你不是要去资源部拿星祈树吗？	0	3.4版本星祈心愿宿舍剧情
page1.3	H主角		我和里芙刚刚去了一趟，但资源部关门了。	0	3.4版本星祈心愿宿舍剧情
page1.4	H卡罗琳		啊……忘了这事了。	0	3.4版本星祈心愿宿舍剧情
page1.5	H卡罗琳		最近到了年末，资源部惯例要关闭一段时间，统计库存货物数量。	0	3.4版本星祈心愿宿舍剧情
page1.6	H卡罗琳		抱歉分析员，我让工作人员把树从分部的仓库运过来吧。	0	3.4版本星祈心愿宿舍剧情
page1.7	H主角		不用了，正好现在有空，我和里芙直接去分部仓库拿就好。	0	3.4版本星祈心愿宿舍剧情
page1.8	H卡罗琳		好的，那就麻烦你们了。	0	3.4版本星祈心愿宿舍剧情
page1.9	H里芙		谢谢你，卡罗琳。	0	3.4版本星祈心愿宿舍剧情
page1.10	H卡罗琳		嗯？怎么突然说谢谢？	0	3.4版本星祈心愿宿舍剧情
page1.11			里芙笑而不语。	0	3.4版本星祈心愿宿舍剧情
page1.12			我大概能猜到，她是因为有了更多和我独处的时间而表达感谢吧。	0	3.4版本星祈心愿宿舍剧情
page1.13			三小时后。	0	3.4版本星祈心愿宿舍剧情
page1.14			费了一番工夫后，我和里芙将星祈树运回了公司基地。	0	3.4版本星祈心愿宿舍剧情
page1.15			说是星祈树，但目前这棵树上还没有任何装饰物，只是一棵普通的小树而已。	0	3.4版本星祈心愿宿舍剧情
page1.16			拜托了基地员工帮忙给树找个底座后，我和里芙总算能够休息片刻了。	0	3.4版本星祈心愿宿舍剧情
page1.17	H主角		今天辛苦你了，里芙。	0	3.4版本星祈心愿宿舍剧情
page1.18	H里芙		能陪着亲爱的一起，做什么都不辛苦。	0	3.4版本星祈心愿宿舍剧情
page1.19	H主角		话是这么说……对了，趁现在休息，我给你做一次神经调理好了。	0	3.4版本星祈心愿宿舍剧情
