	注释	血量	攻击力	防御	气绝时间	破坏值血量
ID	Comment	Health_n	Attack_n	Defence_n	BreathlessTime_n	DestroyHealth_n
3001	掩体	{{1,1500},{10,1500}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	1	
3002	连射会员	{{1,500},{5,1000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	
3003	散射会员	{{1,750},{5,1500}}	{{1,50},{10,50}}	{{1,1000},{10,1000}}	0	
3004	武装会员	{{1,1500},{5,3000}}	{{1,15},{10,15}}	{{1,1000},{10,1000}}	0	
3005	降临火花	{{1,500},{5,1000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	
3006	播种使者	{{1,1000},{5,2000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	
3007	BUFF飞机	{{1,20},{5,20}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	
3008	弓箭会员	{{1,1000},{5,2000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	
3009	幻射会员	{{1,3000},{5,6000}}	{{1,10},{10,10}}	{{1,1000},{10,1000}}	0	
3010	净化贤者	{{1,3000},{5,6000}}	{{1,50},{10,50}}	{{1,1000},{10,1000}}	0	
3011	波伏娃系统	{{1,2500},{5,5000}}	{{1,60},{10,60}}	{{1,1000},{10,1000}}	0	
3012	透墨索斯	{{1,17500},{5,35000}}	{{1,50},{10,50}}	{{1,1000},{10,1000}}	4	
3013	尼亚尔	{{1,15000},{5,30000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	4	
3014	幻射会员的枪	0	{{1,20},{10,20}}	{{1,1000},{10,1000}}	0	{{1,60},{5,60}}
3015	净化贤者的外壳	0	{{1,20},{10,20}}	{{1,1000},{10,1000}}	0	{{1,60},{5,60}}
3016	波伏娃外壳	0	{{1,20},{10,20}}	{{1,1000},{10,1000}}	0	{{1,45},{5,45}}
3017	透墨索斯气球	0	{{1,20},{10,20}}	{{1,1000},{10,1000}}	0	{{1,120},{5,120}}
3018	透墨索斯子弹	0	{{1,20},{10,20}}	{{1,1000},{10,1000}}	0	{{1,45},{5,45}}
3019	尼亚尔子弹	0	{{1,20},{10,20}}	{{1,1000},{10,1000}}	0	{{1,45},{5,45}}
3020	尼亚尔壳子	0	{{1,20},{10,20}}	{{1,1000},{10,1000}}	0	{{1,240},{5,240}}
