活动ID（期数）	索引	隶属关卡	角色技能2解锁条件，不用通用condition逻辑（0,默认解锁；1,关卡id,通关次数；2,关卡id，评价（1.ACE 2.S 3.A 4.B））	奖励	任务标题	任务描述
SeasonID	Index	Level	Condition	Award	AwardTitle	AwardDes
1	1	8656	{{1,8656,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des1
1	2	8656	{{2,8656,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name2	girlrush.girl_mission_des2
1	3	8656	{{2,8656,1}}	{{5,1,1,4,1}}	girlrush.girl_mission_name3	girlrush.girl_mission_des3
1	4	8657	{{1,8657,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des4
1	5	8657	{{2,8657,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name2	girlrush.girl_mission_des5
1	6	8657	{{2,8657,1}}	{{5,1,1,4,1}}	girlrush.girl_mission_name3	girlrush.girl_mission_des6
1	7	8658	{{1,8658,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des7
1	8	8658	{{2,8658,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name2	girlrush.girl_mission_des8
1	9	8658	{{2,8658,1}}	{{5,2,1,4,1}}	girlrush.girl_mission_name3	girlrush.girl_mission_des9
1	10	8659	{{1,8659,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des10
1	11	8659	{{2,8659,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name2	girlrush.girl_mission_des11
1	12	8659	{{2,8659,1}}	{{5,2,1,4,1}}	girlrush.girl_mission_name3	girlrush.girl_mission_des12
1	13	8660	{{1,8660,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des13
1	14	8660	{{2,8660,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name2	girlrush.girl_mission_des14
1	15	8660	{{2,8660,1}}	{{5,3,1,4,1}}	girlrush.girl_mission_name3	girlrush.girl_mission_des15
1	16	8661	{{1,8661,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des16
1	17	8661	{{2,8661,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name2	girlrush.girl_mission_des17
1	18	8661	{{2,8661,1}}	{{5,3,1,4,1}}	girlrush.girl_mission_name3	girlrush.girl_mission_des18
1	19	8671	{{1,8671,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des19
1	20	8671	{{2,8671,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name2	girlrush.girl_mission_des20
1	21	8671	{{2,8671,1}}	{{5,9,1,3,1}}	girlrush.girl_mission_name3	girlrush.girl_mission_des21
1	22	8672	{{1,8672,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name1	girlrush.girl_mission_des22
1	23	8672	{{2,8672,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name1	girlrush.girl_mission_des23
1	24	8672	{{2,8672,1}}	{{5,6,1,2,1}}	girlrush.girl_mission_name2	girlrush.girl_mission_des24
1	25	8673	{{1,8673,1}}	{{5,29,12,1,10}}	girlrush.girl_mission_name3	girlrush.girl_mission_des25
1	26	8673	{{2,8673,2}}	{{4,3,1,1,6000}}	girlrush.girl_mission_name1	girlrush.girl_mission_des26
1	27	8673	{{2,8673,1}}	{{11,1,41,1,1}}	girlrush.girl_mission_name2	girlrush.girl_mission_des27
