ID	备注	类型（0普通关 1boss关）	BUFF生效对象（1给玩家添加，0 底层设定都添加）	关卡BUFF{id1,id2,id3...}		地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{G,D,P,L}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	BossID	关卡概念图	任务资源
ID	Comments	Type	BuffOnlyAddToPlayer	BuffID		MapID	FightID	Condition	ConsumeVigor	StarCondition	Monster	LevelStrength	ShowListType	RecommendPower	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	BossId	PictureLevel	TaskPath
6001	RealTower_002	0	1	{8300059}		908	1		{0,0}		{4001002}	4				0	0	6002				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	TraningTask/TraningLevel08.TraningLevel08
6002	RealTower_001	0	1	{8300064}		601	1	{{2,6001}}	{0,0}		{4001004,44001005,44001002,44003003,44001004,5001001}	4				0	0	6003				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower001.RealTower001
6003	RealTower_002	0	1	{8300066}		602	1	{{2,6002}}	{0,0}		{4001103,4001108,400111201,4001112,4001102,4001104}	4				0	0	6004				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower012.RealTower012
6004	RealTower_004	0	1	{8300065}		604	1	{{2,6003}}	{0,0}		{4001005,4002007,4001002,4001017,5002010}	4				0	0	6005				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower004.RealTower004
6005	RealTower_005	0	1	{8300067,8300065}		605	1		{0,0}		{4003003,4002004,4002013,4001002,4003006,4003004,4001004,4001006,4002002}	4				0	0	6006				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower005.RealTower005
6006	RealTower_013	0	1	{8300072}		613	1	{{2,6005}}	{0,0}		{4001211,4001212,400121102,4001213,400121302,400121203,5001203}	4				0	0	6007				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower021.RealTower021
6007	RealTower_015	0	1	{8300061}		615	1	{{2,6006}}	{0,0}		{4001212,4001211,400121302,5001214}	4				0	0	6008				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower022.RealTower022
6008	RealTower_009	0	1	{8300067}		609	1	{{2,6007}}	{0,0}		{4003103,400110802,4001112,4001115,400111401,5001101}	4				0	0	6009				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower019.RealTower019
6009	RealTower_008	0	1	{8300065}		608	1	{{2,6008}}	{0,0}		{4002003,4003004,4001002,4003006,5002010}	4				0	0	6010				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower008.RealTower008
6010	RealTower_010	1	1	{8300062,8300067}		610	1	{{2,6005}}	{0,0}		{6002003}	4				0	0	6011				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804031	6001003	1801000	RealTower/RealTower010.RealTower010
6011	RealTower_012	0	1	{8300059}		612	1	{{2,6010}}	{0,0}		{4001211,4001212,400121203,4001213,400121102,5003208}	4				0	0	6017				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower028.RealTower028
6012	RealTower_005	0	1	{8300060}		605	1	{{2,6011}}	{0,0}		{4001103,4001108,400111201,4002106,400111401,4001114,4002102,4001115}	4				0	0	6016				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower015.RealTower015
6013	RealTower_013	0	1	{8300074}		613	1	{{2,6012}}	{0,0}		{4001211,4001212,400121203,4001213,5001206}	4				0	0	6014				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower026.RealTower026
6014	RealTower_015	0	1	{8300065}		615	1	{{2,6013}}	{0,0}		{400121203,4001211,4001213,5001205}	4				0	0	6015				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower027.RealTower027
6015	RealTower_003	0	1	{8300068,8300074}		603	1		{0,0}		{4001004,4001005,4001007,4001015,5001010}	4				0	0	6022				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower003.RealTower003
6016	RealTower_006	0	1	{8300068}		606	1	{{2,6015}}	{0,0}		{4002003,4003006,4001007,4009013,4002004,4001005,4001002,5002010,4001003,4003004,4001006}	4				0	0	6012				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower006.RealTower006
6017	RealTower_014	0	1	{8300064}		614	1	{{2,6016}}	{0,0}		{4003106,4002103,4001115,400111401,4001114,400110601,5001109}	4				0	0	6018				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower017.RealTower017
6018	RealTower_015	0	1	{8300067}		615	1	{{2,6017}}	{0,0}		{4001212,4001211,400121302,400121203,5001208}	4				0	0	6019				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower029.RealTower029
6019	RealTower_009	0	1	{8300065}		609	1	{{2,6018}}	{0,0}		{4003007,4003006,4001002,4003016,4003004,5001010}	4				0	0	6020				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower009.RealTower009
6020	RealTower_010	1	1	{8300063,8300059}		610	1	{{2,6015}}	{0,0}		{6002102}	4				0	0	6021				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804033	6001102	1801000	RealTower/RealTower020.RealTower020
6021	RealTower_005	0	1	{8300072}		605	1	{{2,6020}}	{0,0}		{4003003,4002004,400201608,4001002,400100601,4003004,4001004,4001006,4003006}	4				0	0	6036				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower035.RealTower035
6022	RealTower_008	0	1	{8300065}		608	1	{{2,6021}}	{0,0}		{4001108,4003102,4003106,400110802,4001114,400110601,4001115,400111201,5001111}	4				0	0	6023				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower018.RealTower018
6023	RealTower_001	0	1	{8300059}		601	1	{{2,6022}}	{0,0}		{4001004,4001005,4001002,4003003,400100403,5001001,400100304}	4				0	0	6024				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower011.RealTower011
6024	RealTower_014	0	1	{8300065}		614	1	{{2,6023}}	{0,0}		{4001211,4001212,400121302,400121102,400121203,5001214}	4				0	0	6025				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower023.RealTower023
6025	RealTower_009	0	1	{8300065,8300072}		609	1		{0,0}		{4001211,4001212,400121302,400121203,4001213}	4				0	0	6026				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower025.RealTower025
6026	RealTower_006	0	1	{8300076}		606	1	{{2,6025}}	{0,0}		{4002103,4002106,4003102,400111201,4001112,4001108,400110601,4001115,400110802,4001104,5001110}	4				0	0	6027				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower016.RealTower016
6027	RealTower_003	0	1	{8300064}		603	1	{{2,6026}}	{0,0}		{4002103,400111201,4001112,4001107,500110902}	4				0	0	6028				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower013.RealTower013
6028	RealTower_004	0	1	{8300068}		604	1	{{2,6027}}	{0,0}		{4001107,4002102,400110802,4001106,400110201,5001110}	4				0	0	6029				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower014.RealTower014
6029	RealTower_012	0	1	{8300059}		612	1	{{2,6028}}	{0,0}		{4001211,4001212,400121203,400121302,4001213,5003208}	4				0	0	6030				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower024.RealTower024
6030	RealTower_011	1	1	{8300068,8300064}		611	1	{{2,6025}}	{0,0}		{6003201}	4				0	0	6031				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804035	6001201	1801000	RealTower/RealTower030.RealTower030
6031	RealTower_002	0	1	{8300072}		602	1	{{2,6030}}	{0,0}		{400100601,4001005,4001007,4001017,500201003}	4				0	0	6032				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower031.RealTower031
6032	RealTower_001	0	1	{8300071}		601	1	{{2,6031}}	{0,0}		{400100403,4001005,4001002,4003003,4001004,5001001}	4				0	0	6033				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower032.RealTower032
6033	RealTower_002	0	1	{8300067}		602	1	{{2,6032}}	{0,0}		{4001103,4001108,400111201,4001112,4001102,4001104}	4				0	0	6034				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower033.RealTower033
