字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		是我赢了哦。	0	3.5版本多诺巅峰对决剧情
page1.2	H安卡希雅		唔……	0	3.5版本多诺巅峰对决剧情
page1.3	H主角		不准耍赖。	0	3.5版本多诺巅峰对决剧情
page1.4	H安卡希雅		唔……	0	3.5版本多诺巅峰对决剧情
page1.5	H主角		我觉得，应该向你要一些战利品呢。	0	3.5版本多诺巅峰对决剧情
page1.6	H安卡希雅		亲爱的，开局之前还没说过这个呢！	0	3.5版本多诺巅峰对决剧情
page1.7	H安卡希雅		呜呜呜，安卡希雅什么都没有啦，安卡希雅的一切都给亲爱的了！	0	3.5版本多诺巅峰对决剧情
page1.8	H主角		嗯，我知道。	0	3.5版本多诺巅峰对决剧情
page1.9	H主角		我知道你想要把你曾经留恋的一切都带给来我的世界。	0	3.5版本多诺巅峰对决剧情
page1.10	旁白		把真心话当成玩笑话说的她显然没有料到，心爱的人早已懂她心中的全部情感。	0	3.5版本多诺巅峰对决剧情
page1.11	H主角		其实我早就想问你，为什么要大费周章办一个入坑仪式。	0	3.5版本多诺巅峰对决剧情
page1.12	H主角		安卡希雅，可以亲口说给我听吗？	0	3.5版本多诺巅峰对决剧情
page1.13	H安卡希雅		唔，好吧。	0	3.5版本多诺巅峰对决剧情
page1.14	旁白		安卡希雅憋红了脸颊，发胀的鼻腔让她的声音听起来更加柔软可爱。	0	3.5版本多诺巅峰对决剧情
page1.15	H安卡希雅		——这样就能把我记忆里觉得最美好的部分，从过去全部都搬过来了。	0	3.5版本多诺巅峰对决剧情
page1.16	H安卡希雅		我们一起打排位、看漫画，去旧货市场淘手办。	0	3.5版本多诺巅峰对决剧情
page1.17	H安卡希雅		我们一起玩四驱车、喝奶茶，在漫画屋里嗦拉面。	0	3.5版本多诺巅峰对决剧情
page1.18	H安卡希雅		我们一起对决比赛，一起收集多诺卡……	0	3.5版本多诺巅峰对决剧情
page1.19	H安卡希雅		不仅在心流内景， 我也想和亲爱的在现实里体验这些美好。	0	3.5版本多诺巅峰对决剧情
page1.20	H安卡希雅		就这样一点一滴地，把这些全都搬到亲爱的心里……	0	3.5版本多诺巅峰对决剧情
page1.21	H安卡希雅		我这样是不是很自私？	0	3.5版本多诺巅峰对决剧情
page1.22	旁白		忍不住伸出手指，轻轻弹了下安卡希雅的额头，看着她难得露出懵懵的表情。	0	3.5版本多诺巅峰对决剧情
page1.23	旁白		我趁机牵起她的手按在了心脏的位置。	0	3.5版本多诺巅峰对决剧情
page1.24	H主角		不用担心，我心里的位置永远为你准备着，尽管把你最喜欢的东西都一口气搬进来吧。	0	3.5版本多诺巅峰对决剧情
page1.25	H安卡希雅		……那我可就不客气啦。	0	3.5版本多诺巅峰对决剧情
page1.27	旁白		少女一边呢喃着，一边羞红着脸贴近我的嘴唇……	0	3.5版本多诺巅峰对决剧情
page1.28	众人		安卡希雅犯规！	0	3.5版本多诺巅峰对决剧情
