字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H安卡希雅		不愧是我的命定之人，已经掌握了多诺卡大多数的奥秘。	0	3.5版本多诺巅峰对决剧情
page1.2	H安卡希雅		开启仪式的时机已到——以吾之信仰之力，开始进行刻印！	0	3.5版本多诺巅峰对决剧情
page1.3	H主角		“刻印”……听起来很危险的样子。	0	3.5版本多诺巅峰对决剧情
page1.31	H安卡希雅		咳咳，不是给亲爱的进行刻印啦，我指的是多诺卡上的“刻印”。	0	3.5版本多诺巅峰对决剧情
page1.4	H安卡希雅		想必亲爱的已经发现了吧？	0	3.5版本多诺巅峰对决剧情
page1.5	H安卡希雅		有一股奇妙的力量，在引导着对决走向胜利。	0	3.5版本多诺巅峰对决剧情
page1.6	H主角		确实，在对决中，卡牌之间似乎有奇妙的共鸣指引它们一起行动。	0	3.5版本多诺巅峰对决剧情
page1.7	H安卡希雅		这就是<orange>卡组连携</>。每张多诺卡上都有独特的标记来展示它可以形成的连携效果。	0	3.5版本多诺巅峰对决剧情
page1.8	H安卡希雅		这有点像卡牌之间的合体技，有相同连携效果标记的多诺卡一同上阵，就可以激活特殊很厉害的技能！	0	3.5版本多诺巅峰对决剧情
page1.9	H安卡希雅		合体果然是每个游戏里不可缺少的元素！	0	3.5版本多诺巅峰对决剧情
page1.10	H主角		那看来，还是要多多拿到卡片哦。	0	3.5版本多诺巅峰对决剧情
page1.11	H安卡希雅		别担心，因为亲爱的入坑比较晚，我特意准备了帮你垂直入坑的速通道具！	0	3.5版本多诺巅峰对决剧情
page1.12	H安卡希雅		使用<orange>探索加速技包</>，多多获取多诺卡吧。	0	3.5版本多诺巅峰对决剧情
