字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	旁白		几分钟之前，我就看到安卡希雅在反复地戳着多诺对决的界面，还是去看看她怎么了。	0	3.5版本多诺巅峰对决剧情
page1.2	H主角		认真琢磨什么呢？	0	3.5版本多诺巅峰对决剧情
page1.3	H安卡希雅		啊，吓了一跳。	0	3.5版本多诺巅峰对决剧情
page1.4	H安卡希雅		那我也要还一招——看我的超级无敌痒痒手。	0	3.5版本多诺巅峰对决剧情
page1.5	旁白		她随即举起双手，佯装打算搔痒的姿势。见我完全不为所动，她顺势直接扑进了我的怀抱。	0	3.5版本多诺巅峰对决剧情
page1.6	旁白		一通胡闹之后，安卡希雅终于恋恋不舍地松开了我。	0	3.5版本多诺巅峰对决剧情
page1.7	H主角		看什么呢？	0	3.5版本多诺巅峰对决剧情
page1.8	H安卡希雅		喏，这些……都是我以前玩多诺卡时的牌组。	0	3.5版本多诺巅峰对决剧情
page1.9	H主角		怀念吗？	0	3.5版本多诺巅峰对决剧情
page1.10	H安卡希雅		唔，也不是特别值得怀念的东西啦……	0	3.5版本多诺巅峰对决剧情
page1.11	H安卡希雅		那时候都是自己和自己对战，最终才做出了这一套卡牌。	0	3.5版本多诺巅峰对决剧情
page1.12	旁白		她看向牌组，又抬起眼眸可怜巴巴地看着我。	0	3.5版本多诺巅峰对决剧情
page1.13	旁白		我想我大概知道她在想什么了。	0	3.5版本多诺巅峰对决剧情
page1.14	H主角		谨以安卡希雅一生的游戏搭子的身份，发出对决邀请！	0	3.5版本多诺巅峰对决剧情
page1.15	旁白		安卡希雅听到我的话，低头欣慰地微笑。随即，她摆出了招牌的中二微笑	0	3.5版本多诺巅峰对决剧情
page1.16	H安卡希雅		虽然已经有一段时间没玩多诺卡，但我的牌组还是很厉害的哦。	0	3.5版本多诺巅峰对决剧情
page1.17	H安卡希雅		接下来，就让我成为亲爱的必须攻克的大BOSS吧~	0	3.5版本多诺巅峰对决剧情
page1.18	H主角		放马过来，没在怕的。	0	3.5版本多诺巅峰对决剧情
