字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H米娅		分析员分析员，我好像学会了！米娅是不是很聪明？	0	3.5版本多诺巅峰对决剧情
page1.2	H米娅		多诺卡有很多地方跟演绎桌团的玩法有点像呢，学会这个对米娅来说小菜一碟啦~	0	3.5版本多诺巅峰对决剧情
page1.3	旁白		米娅兴奋地向我展示着她快速学习的能力，头顶的“耳朵”也在欢快地抖动着来展示愉悦……	0	3.5版本多诺巅峰对决剧情
page1.4	H主角		米娅很擅长玩游戏吧，上次在演绎桌团做主持人，就能看出来你很出色。	0	3.5版本多诺巅峰对决剧情
page1.5	H米娅		其实自那之后，我已经很久没接触游戏了。	0	3.5版本多诺巅峰对决剧情
page1.6	H米娅		我一直觉得可惜……上次没能作为玩家，和分析员并肩作战、体验演绎桌团。	0	3.5版本多诺巅峰对决剧情
page1.7	H米娅		所以安卡希雅找过来的时候，我很快就答应了~	0	3.5版本多诺巅峰对决剧情
page1.8	H主角		怪不得。	0	3.5版本多诺巅峰对决剧情
page1.9	H主角		但你出场的表现，让我担心你会不会从此迷上讲中二台词……	0	3.5版本多诺巅峰对决剧情
