字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H瑟瑞斯		漆黑的焰……漆黑……黑火焰？	0	3.5版本多诺巅峰对决剧情
page1.2	H瑟瑞斯		什么焰来着？	0	3.5版本多诺巅峰对决剧情
page1.3	H主角		这么认真地记什么呢？	0	3.5版本多诺巅峰对决剧情
page1.4	H瑟瑞斯		啊，是分析员！	0	3.5版本多诺巅峰对决剧情
page1.5	H瑟瑞斯		嘿嘿，安卡希雅说，只要能记下来所有的牌组，了解它们之间各种连携效果，就能很轻松地赢下对决啦。	0	3.5版本多诺巅峰对决剧情
page1.6	H瑟瑞斯		我现在，正在尝试攻克技能大关！	0	3.5版本多诺巅峰对决剧情
page1.7	H主角		（对瑟瑞斯来说，第一步已经很难了吧……）	0	3.5版本多诺巅峰对决剧情
page1.8	H主角		如果瑟瑞斯觉得太难，也可以试试用自己的第一感觉去对决。	0	3.5版本多诺巅峰对决剧情
page1.9	H主角		我相信你对战局的感知能力。	0	3.5版本多诺巅峰对决剧情
page1.10	H瑟瑞斯		对哦！嗯嗯，加油瑟瑞斯，分析员说你可以的！	0	3.5版本多诺巅峰对决剧情
