字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H安卡希雅		居、居然！	0	3.5版本多诺巅峰对决剧情
page1.2	H主角		有点夸张了哦。	0	3.5版本多诺巅峰对决剧情
page1.3	H安卡希雅		咳咳，不过说真的，亲爱的也玩得太好了——	0	3.5版本多诺巅峰对决剧情
page1.4	H主角		以后可以跟我组合，我带你。	0	3.5版本多诺巅峰对决剧情
page1.5	H安卡希雅		亲爱的，就不能留给我一点赢过你的机会吗？	0	3.5版本多诺巅峰对决剧情
page1.6	H安卡希雅		曾经的安卡希雅，也是没人能超越的游戏大神呢。	0	3.5版本多诺巅峰对决剧情
page1.7	H主角		但我觉得你很难赢过我哦。	0	3.5版本多诺巅峰对决剧情
page1.8	H安卡希雅		亲爱的真是一点都不让着我。	0	3.5版本多诺巅峰对决剧情
page1.9	H主角		毕竟我的技巧是安卡希雅大神传授的嘛。	0	3.5版本多诺巅峰对决剧情
page1.10	H安卡希雅		啊……我这是不是搬起石头砸了自己的脚。	0	3.5版本多诺巅峰对决剧情
page1.11	H安卡希雅		哼哼，那我要趁着亲爱的还是多诺卡新手的时候，狠狠多赢几局。	0	3.5版本多诺巅峰对决剧情
