字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		这个小东西是什么？	0	3.5版本多诺巅峰对决剧情
page1.2	H安卡希雅		啊，这个是<orange>毛球币</>，是一种游戏内的通用货币。	0	3.5版本多诺巅峰对决剧情
page1.3	H安卡希雅		别看它外形这么可爱，其实用处非常大。	0	3.5版本多诺巅峰对决剧情
page1.4	H主角		那就请多诺卡特约入坑讲解官为我好好讲解一下？	0	3.5版本多诺巅峰对决剧情
page1.5	H安卡希雅		咳咳——	0	3.5版本多诺巅峰对决剧情
page1.6	H安卡希雅		如果想在接下来的对决中常胜不败，就要注意手中多诺卡的<orange>属性数值</>。	0	3.5版本多诺巅峰对决剧情
page1.7	H安卡希雅		所有的属性数值加点都要用到毛球币，攒好的毛球币要注意好好分配哦。	0	3.5版本多诺巅峰对决剧情
page1.8	H主角		嗯……	0	3.5版本多诺巅峰对决剧情
page1.9	H安卡希雅		亲爱的还有什么疑问吗？	0	3.5版本多诺巅峰对决剧情
page1.10	H主角		如果这个货币上印的是安卡希雅就好了。	0	3.5版本多诺巅峰对决剧情
page1.11	H安卡希雅		有品。	0	3.5版本多诺巅峰对决剧情
page1.12	H安卡希雅		有机会的话，下次给你定制一套印上安卡希雅的专属货币。	0	3.5版本多诺巅峰对决剧情
page1.13	H主角		那我得抓紧把手上这些挥霍干净了。	0	3.5版本多诺巅峰对决剧情
