 	关卡ID	备注	开启时间	结束时间	战区buff（调用buff表）	词条库id(调用entreisid)	ui场景模型（调用scenendata）	boss概念图	关卡概念图	关卡标题	关卡描述	对应任务奖励
ID	LevelID	Comments	StartTime	EndTime	AreaBuff	EntriesPool	SceneData	PictureBoss	PictureLevel	LevelTitle	LevelDes	ReferAward
2501	2501	一期战区一第1关	[202412260400]	[202501020400]	{2101}	{1101}	1	1804045	1801000	season_title_name1	season_level_des1	19001
2511	2511	一期战区一第2关	[202412260400]	[202501020400]	{2101}	{1101}	1	1804045	1801000	season_title_name1	season_level_des2	19002
2521	2521	一期战区一第3关	[202412190400]	[202501020400]	{2101}	{1101}	1	1804045	1801000	season_title_name1	season_level_des3	19003
2531	2531	一期战区一第4关	[202412190400]	[202501020400]	{2101}	{1101}	1	1804045	1801000	season_title_name1	season_level_des4	19004
2541	2541	一期战区一第5关	[202412190400]	[202501020400]	{2101}	{1001,1101,1201}	1	1804045	1801000	season_title_name1	season_level_des5	19005
2504	2504	一期战区二第1关	[202412260400]	[202501020400]	{2102}	{1102}	4	1804100	1801000	season_title_name2	season_level_des1	19006
2514	2514	一期战区二第2关	[202412260400]	[202501020400]	{2102}	{1102}	4	1804100	1801000	season_title_name2	season_level_des2	19007
2524	2524	一期战区二第3关	[202412260400]	[202501020400]	{2102}	{1102}	4	1804100	1801000	season_title_name2	season_level_des3	19008
2534	2534	一期战区二第4关	[202412260400]	[202501020400]	{2102}	{1102}	4	1804100	1801000	season_title_name2	season_level_des4	19009
2544	2544	一期战区二第5关	[202412260400]	[202501020400]	{2102}	{1001,1102,1202}	4	1804100	1801000	season_title_name2	season_level_des5	19010
2503	2503	二期战区一第1关	[202501020400]	[202501160400]	{2103}	{1103}	3	1804124	1801000	season_title_name1	season_level_des1	19011
2513	2513	二期战区一第2关	[202501020400]	[202501160400]	{2103}	{1103}	3	1804124	1801000	season_title_name1	season_level_des2	19012
2523	2523	二期战区一第3关	[202501020400]	[202501160400]	{2103}	{1103}	3	1804124	1801000	season_title_name1	season_level_des3	19013
2533	2533	二期战区一第4关	[202501020400]	[202501160400]	{2103}	{1103}	3	1804124	1801000	season_title_name1	season_level_des4	19014
2543	2543	二期战区一第5关	[202501020400]	[202501160400]	{2103}	{1001,1103,1203}	3	1804124	1801000	season_title_name1	season_level_des5	19015
2502	2502	二期战区二第1关	[202501090400]	[202501160400]	{2104}	{1104}	2	1804037	1801000	season_title_name2	season_level_des1	19016
2512	2512	二期战区二第2关	[202501090400]	[202501160400]	{2104}	{1104}	2	1804037	1801000	season_title_name2	season_level_des2	19017
2522	2522	二期战区二第3关	[202501090400]	[202501160400]	{2104}	{1104}	2	1804037	1801000	season_title_name2	season_level_des3	19018
2532	2532	二期战区二第4关	[202501090400]	[202501160400]	{2104}	{1104}	2	1804037	1801000	season_title_name2	season_level_des4	19019
2542	2542	二期战区二第5关	[202501090400]	[202501160400]	{2104}	{1001,1104,1204}	2	1804037	1801000	season_title_name2	season_level_des5	19020
												
2505	2505	一期战区一第1关	[202501230400]	[202502060400]	{2105}	{1105}	1	1804109	1801000	season_title_name1	season_level_des1	19001
2515	2515	一期战区一第2关	[202501230400]	[202502060400]	{2105}	{1105}	1	1804109	1801000	season_title_name1	season_level_des2	19002
2525	2525	一期战区一第3关	[202501230400]	[202502060400]	{2105}	{1105}	1	1804109	1801000	season_title_name1	season_level_des3	19003
2535	2535	一期战区一第4关	[202501230400]	[202502060400]	{2105}	{1105}	1	1804109	1801000	season_title_name1	season_level_des4	19004
2545	2545	一期战区一第5关	[202501230400]	[202502060400]	{2105}	{1001,1105,1205}	1	1804109	1801000	season_title_name1	season_level_des5	19005
2602	2602	一期战区二第1关	[202501300400]	[202502060400]	{2106}	{1106}	2	1804037	1801000	season_title_name2	season_level_des1	19006
2612	2612	一期战区二第2关	[202501300400]	[202502060400]	{2106}	{1106}	2	1804037	1801000	season_title_name2	season_level_des2	19007
2622	2622	一期战区二第3关	[202501300400]	[202502060400]	{2106}	{1106}	2	1804037	1801000	season_title_name2	season_level_des3	19008
2632	2632	一期战区二第4关	[202501300400]	[202502060400]	{2106}	{1106}	2	1804037	1801000	season_title_name2	season_level_des4	19009
2642	2642	一期战区二第5关	[202501300400]	[202502060400]	{2106}	{1001,1106,1206}	2	1804037	1801000	season_title_name2	season_level_des5	19010
2506	2506	二期战区一第1关	[202502060400]	[202502200400]	{2107}	{1107}	3	1804066	1801000	season_title_name1	season_level_des1	19011
2516	2516	二期战区一第2关	[202502060400]	[202502200400]	{2107}	{1107}	3	1804066	1801000	season_title_name1	season_level_des2	19012
2526	2526	二期战区一第3关	[202502060400]	[202502200400]	{2107}	{1107}	3	1804066	1801000	season_title_name1	season_level_des3	19013
2536	2536	二期战区一第4关	[202502060400]	[202502200400]	{2107}	{1107}	3	1804066	1801000	season_title_name1	season_level_des4	19014
2546	2546	二期战区一第5关	[202502060400]	[202502200400]	{2107}	{1001,1107,1207}	3	1804066	1801000	season_title_name1	season_level_des5	19015
2604	2604	二期战区二第1关	[202502130400]	[202502200400]	{2108}	{1108}	4	1804100	1801000	season_title_name2	season_level_des1	19016
2614	2614	二期战区二第2关	[202502130400]	[202502200400]	{2108}	{1108}	4	1804100	1801000	season_title_name2	season_level_des2	19017
2624	2624	二期战区二第3关	[202502130400]	[202502200400]	{2108}	{1108}	4	1804100	1801000	season_title_name2	season_level_des3	19018
2634	2634	二期战区二第4关	[202502130400]	[202502200400]	{2108}	{1108}	4	1804100	1801000	season_title_name2	season_level_des4	19019
