ID	备注	开启时间	结束时间	关卡类型（0教学1普通2困难3挑战）	玩法类型（0或不填为普通玩法，1为传送带玩法）	记录类型（1防线血量2最高波次）	胜利条件参数	关卡目标描述(参数读胜利条件参数)	关卡目标记录参数	关卡目标记录（参数读通关最高记录）	解锁植物	奖励列表	环境增益类型	环境增益数值	地图ID	解锁条件(1表示需要通关某个关卡，后面填关卡ID)	上一关ID	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	最大种植数量	环境buff	禁用植物	关卡buff组	关卡名称	试用角色	掉落参数	锁定植物/道具	推荐植物/道具	礼盒配置	失败引导怪物（填怪物id）
ID		StartTime	EndTime	LevelType	GameplayType	RecordType	VecConditionParameter	LevelPassDes	LevelPassRecPar	LevelPassRec	UnlockPlant	Rewards	Environment	EnvironmentParam	MapID	Condition	PreviousLevel	Monster	LevelStrength	MaxPlantNum	EnvironmentGroup	ForbiddenVeg	BuffGroup1	LevelName	TrialID	DropPara	LockedPlant	RecommendedPlant	RandomBox	PowerfulMonster
8712		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{10}	{{4,1,28,1,3},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8712			{4811217,4811310}	25	30			{{1,1000},{2,1000},{3,1000},{10,1000},{11,1000},{12,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{41,1000}}	farmwar.farmwar_levelname_01	{103181,103208,103209}	{[-1]=15,[3]=1.8,[2]=2.4}				
8713		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{15}	{{4,1,28,1,4},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8713	{{1,8712}}	8712	{4811217,4811602,4811310,4811213}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{46,1000}}	farmwar.farmwar_levelname_02	{103181,103208,103209}	{[-1]=11.2,[3]=1.4,[2]=2.9}				
8714		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{2,12}	{{4,1,28,1,4},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8714	{{1,8713}}	8713	{4811310,4811212,4811213,4811216,4811602}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{46,1000}}	farmwar.farmwar_levelname_03	{103181,103208,103209}	{[-1]=5.7,[3]=1.2,[2]=3.2}				
8715		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{4,6,8}	{{4,1,28,1,5},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8715	{{1,8714}}	8714	{4811217,4811310,4811602,4811212,4811216}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_04	{103181,103208,103209}	{[-1]=5.4,[3]=1,[2]=2.5}				
8716		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{4,1,28,1,6},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_03		8716	{{1,8715}}	8715	{4811217,4811213,4811212,4811310,4811506,4811508,5811511}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_05	{103181,103208,103209}	{[-1]=3.2,[3]=1,[2]=3.5}				
8717		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{5,7,9}	{{4,1,28,1,6},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_02		8717	{{1,8716}}	8716	{4811217,4811213,4811212,4811508,4811506,5811511}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_06	{103181,103208,103209}	{[-1]=3.1,[3]=1,[2]=3.5}				
8718		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{11,16,17,18}	{{4,1,28,1,8},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_02		8718	{{1,8717}}	8717	{4811213,4811310,4811506,4811508,5811511,4811216}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_07	{103181,103208,103209}	{[-1]=3.1,[3]=2,[2]=5.4}				
8719		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{13,14}	{{4,1,28,1,6},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_02		8719	{{1,8718}}	8718	{4811217,4811602,4811310,4811213,4811506,5811109}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_08	{103181,103208,103209}	{[-1]=5,[3]=1.5,[2]=3.2}				
8720		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{4,1,28,1,6},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_02		8720	{{1,8719}}	8719	{4811310,4811602,4811216,4811212,4811213,4811506,5811309}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_09	{103181,103208,103209}	{[-1]=4.9,[3]=1.7,[2]=3.4}				
