ID	期数	备注	道具/蔬菜培养（1表示是蔬菜，2表示是道具）	类型	节点
ID	Schedule		VegOrNot	Type	Node
1	1	辣椒		2	{{1,10000,10001,10002,10003},{1,2,10004,10005}}
2	1	玉米		4	{{3,4,5,10011},{3,10006,10007,10008,10009},{3,6,7,10014,10015},{3,8,9,10012,10013}}
3	1	西蓝花		2	{{10,10016,10017,10018,10019},{10,11,10020,10021}}
4	1	胡萝卜		2	{{12,10031,10032,10033,10034},{12,13,14,10036}}
5	1	南瓜		4	{{15,16,10026},{15,10022,10023,10024},{15,18,10027,10028},{15,17,10029,10030}}
6	1	炸弹		1	{20000,10037,10038,10039,10040}
7	1	爆爆奖章		1	{20001,10041,10042,10043,10044}
8	2	辣椒	1	2	{{19,10047,10048,10049,10050},{19,20,10051,10052}}
9	2	玉米	1	4	{{21,22,23,10057},{3,10053,10054,10055,10056},{21,24,25,10060,10061},{21,26,27,10058,10059}}
10	2	南瓜	1	4	{{33,34,10091},{33,10068,10069,10070},{33,36,10072,10073},{33,35,10074,10075}}
11	2	西蓝花	1	2	{{28,10062,10063,10064,10065},{28,29,10066,10067}}
12	2	番茄	1	3	{{37,38,10096,10097},{37,10092,10093,10094,10095},{37,39,10098,10099}}
13	2	竹笋	1	3	{{40,41,10104,10105},{40,10100,10101,10102,10103},{40,42,10106,10107}}
14	2	胡萝卜	1	2	{{30,10076,10077,10078,10079},{30,31,32,10080}}
15	2	莲藕	1	1	{43,10108,10109,10110,10111}
16	2	菜咩	1	4	{{44,45,10116},{44,10112,10113,10114,10115},{44,46,10117},{44,47,10118}}
17	2	茄子	1	3	{{48,49,10123,10124},{48,10119,10120,10121,10122},{48,50,10125,10126}}
18	2	炸弹	2	1	{20002,10081,10082,10083,10084}
19	2	冰炸弹	2	1	{20003,10127,10128,10129}
20	2	火炸弹	2	1	{20004,10130,10131,10132}
21	2	爆爆奖章	2	1	{20005,10133,10134,10135}
