ID	期数	是否在图鉴显示（1表示显示，不填表示不显示）	流派类型	是否是无尽buff	备注		名称	描述中的数值	描述	图标	关卡增益ID	Level等级	备注
ID	Schedule	ShowOrNot	Faction	IsEndless			Name	DesParam	Des	Icon	BuffId	Level	
1	1	1			爆炸颗粒Ⅰ		farmwar.farmwar_benefitname_01	{10}	farmwar.farmwar_benefitdes_01	4820000	100001	1	各类玉米射手攻击力提高至110%
2	1	1			爆炸颗粒Ⅱ		farmwar.farmwar_benefitname_02	{20}	farmwar.farmwar_benefitdes_01	4820000	100001	2	各类玉米射手攻击力提高至120%
3	1	1			爆炸颗粒Ⅲ		farmwar.farmwar_benefitname_03	{30}	farmwar.farmwar_benefitdes_01	4820000	100001	3	各类玉米射手攻击力提高至130%
4	1	1			猛烈碰撞Ⅰ		farmwar.farmwar_benefitname_04	{10}	farmwar.farmwar_benefitdes_04	4820000	100002	1	各类花菜攻击力提高至110%
5	1	1			猛烈碰撞Ⅱ		farmwar.farmwar_benefitname_05	{20}	farmwar.farmwar_benefitdes_04	4820000	100002	2	各类花菜攻击力提高至120%
6	1	1			猛烈碰撞Ⅲ		farmwar.farmwar_benefitname_06	{30}	farmwar.farmwar_benefitdes_04	4820000	100002	3	各类花菜攻击力提高至130%
7	1	1			尖端贯穿Ⅰ		farmwar.farmwar_benefitname_07	{10}	farmwar.farmwar_benefitdes_07	4820000	100003	1	各类萝卜炮手攻击力提高至110%
8	1	1			尖端贯穿Ⅱ		farmwar.farmwar_benefitname_08	{20}	farmwar.farmwar_benefitdes_07	4820000	100003	2	各类萝卜炮手攻击力提高至120%
9	1	1			尖端贯穿Ⅲ		farmwar.farmwar_benefitname_09	{30}	farmwar.farmwar_benefitdes_07	4820000	100003	3	各类萝卜炮手攻击力提高至130%
10	1	1			碳水能量Ⅰ		farmwar.farmwar_benefitname_10	{50}	farmwar.farmwar_benefitdes_10	4820001	100004	1	各类玉米射手最大生命提高至150%
11	1	1			碳水能量Ⅱ		farmwar.farmwar_benefitname_11	{100}	farmwar.farmwar_benefitdes_10	4820001	100004	2	各类玉米射手最大生命提高至200%
12	1	1			碳水能量Ⅲ		farmwar.farmwar_benefitname_12	{150}	farmwar.farmwar_benefitdes_10	4820001	100004	3	各类玉米射手最大生命提高至250%
13	1	1			搏击力量Ⅰ		farmwar.farmwar_benefitname_13	{50}	farmwar.farmwar_benefitdes_13	4820001	100005	1	各类花菜最大生命提高至150%
14	1	1			搏击力量Ⅱ		farmwar.farmwar_benefitname_14	{100}	farmwar.farmwar_benefitdes_13	4820001	100005	2	各类花菜最大生命提高至200%
15	1	1			搏击力量Ⅲ		farmwar.farmwar_benefitname_15	{150}	farmwar.farmwar_benefitdes_13	4820001	100005	3	各类花菜最大生命提高至250%
16	1	1			飞行燃料Ⅰ		farmwar.farmwar_benefitname_16	{50}	farmwar.farmwar_benefitdes_16	4820001	100006	1	各类萝卜炮手最大生命提高至150%
17	1	1			飞行燃料Ⅱ		farmwar.farmwar_benefitname_17	{100}	farmwar.farmwar_benefitdes_16	4820001	100006	2	各类萝卜炮手最大生命提高至200%
18	1	1			飞行燃料Ⅲ		farmwar.farmwar_benefitname_18	{150}	farmwar.farmwar_benefitdes_16	4820001	100006	3	各类萝卜炮手最大生命提高至250%
19	1	1			信念厚度Ⅰ		farmwar.farmwar_benefitname_19	{10}	farmwar.farmwar_benefitdes_19	4820001	100007	1	各类南瓜守卫最大生命提高至110%
20	1	1			信念厚度Ⅱ		farmwar.farmwar_benefitname_20	{20}	farmwar.farmwar_benefitdes_19	4820001	100007	2	各类南瓜守卫最大生命提高至120%
21	1	1			信念厚度Ⅲ		farmwar.farmwar_benefitname_21	{30}	farmwar.farmwar_benefitdes_19	4820001	100007	3	各类南瓜守卫最大生命提高至130%
22	1	1			乐观反馈		farmwar.farmwar_benefitname_22	{30,10}	farmwar.farmwar_benefitdes_22	4820000	100008	1	各类花菜受到伤害后，攻击力提高至200%，持续10秒，重复触发则刷新持续时间
23	1	1			光合作用Ⅰ		farmwar.farmwar_benefitname_23	{20}	farmwar.farmwar_benefitdes_23	4820001	100009	1	立刻回复全部蔬菜伙伴20%生命
24	1	1			光合作用Ⅱ		farmwar.farmwar_benefitname_24	{35}	farmwar.farmwar_benefitdes_23	4820001	100009	2	立刻回复全部蔬菜伙伴35%生命
25	1	1			光合作用Ⅲ		farmwar.farmwar_benefitname_25	{50}	farmwar.farmwar_benefitdes_23	4820001	100009	3	立刻回复全部蔬菜伙伴50%生命
28	1	1			火辣时刻Ⅰ		farmwar.farmwar_benefitname_28	{10}	farmwar.farmwar_benefitdes_28	4820007	100012	1	各类辣椒生产速度提高至110%
29	1	1			火辣时刻Ⅱ		farmwar.farmwar_benefitname_29	{20}	farmwar.farmwar_benefitdes_28	4820007	100012	2	各类辣椒生产速度提高至120%
30	1	1			火辣时刻Ⅲ		farmwar.farmwar_benefitname_30	{30}	farmwar.farmwar_benefitdes_28	4820007	100012	3	各类辣椒生产速度提高至130%
31	1	1			茁壮生长Ⅰ		farmwar.farmwar_benefitname_31	{25}	farmwar.farmwar_benefitdes_31	4820002	100016	1	种植蔬菜伙伴的冷却时间降低至75%
32	1	1			茁壮生长Ⅱ		farmwar.farmwar_benefitname_32	{50}	farmwar.farmwar_benefitdes_31	4820002	100016	2	种植蔬菜伙伴的冷却时间降低至50%
33	1	1			效率提升Ⅰ		farmwar.farmwar_benefitname_33	{10}	farmwar.farmwar_benefitdes_33	4820004	100017	1	种植蔬菜伙伴所需麻辣能量降低至90%
34	1	1			效率提升Ⅱ		farmwar.farmwar_benefitname_34	{20}	farmwar.farmwar_benefitdes_33	4820004	100017	2	种植蔬菜伙伴所需麻辣能量降低至80%
35	1	1			效率提升Ⅲ		farmwar.farmwar_benefitname_35	{30}	farmwar.farmwar_benefitdes_33	4820004	100017	3	种植蔬菜伙伴所需麻辣能量降低至70%
36	1	1			加倍幸运Ⅰ		farmwar.farmwar_benefitname_36	{10}	farmwar.farmwar_benefitdes_36	4820003	100018	1	击杀敌人后获得的代币提高至110%
37	1	1			加倍幸运Ⅱ		farmwar.farmwar_benefitname_37	{20}	farmwar.farmwar_benefitdes_36	4820003	100018	2	击杀敌人后获得的代币提高至120%
38	1	1			加倍幸运Ⅲ		farmwar.farmwar_benefitname_38	{30}	farmwar.farmwar_benefitdes_36	4820003	100018	3	击杀敌人后获得的代币提高至130%
39	1	1			大展拳脚Ⅰ		farmwar.farmwar_benefitname_39	{25}	farmwar.farmwar_benefitdes_39	4820008	100025	1	各类花菜攻击范围增大至125%
40	1	1			大展拳脚Ⅱ		farmwar.farmwar_benefitname_40	{50}	farmwar.farmwar_benefitdes_39	4820008	100019	1	各类花菜攻击范围增大至150%
41	1	1			灵活索敌		farmwar.farmwar_benefitname_41		farmwar.farmwar_benefitdes_41	4820008	100020	1	各类玉米射手攻击范围增加
42	1	1			广域扫描		farmwar.farmwar_benefitname_42		farmwar.farmwar_benefitdes_42	4820008	100021	1	各类萝卜炮手攻击范围增加
43	1	1			再三迸发		farmwar.farmwar_benefitname_43	{40,1,3}	farmwar.farmwar_benefitdes_43	4820003	100022	1	爆米花射手和飓风玉米射手的单发攻击由1颗玉米子弹变为同时发射3颗玉米子弹
44	1	1			风雪来袭		farmwar.farmwar_benefitname_44	{3}	farmwar.farmwar_benefitdes_44	4820006	100023	1	急冻玉米射手的子弹首次命中目标后会将该目标冻结，持续3秒
45	1	1			连续热浪		farmwar.farmwar_benefitname_45	{2}	farmwar.farmwar_benefitdes_45	4820005	100024	1	火辣玉米射手喷射的火焰变成2条
46	1	1			质量担当		farmwar.farmwar_benefitname_46	{15,2}	farmwar.farmwar_benefitdes_46	4820008	100026	1	各类花菜攻击有15%概率将目标击退2米
