任务组分页ID	任务ID（注意：任务ID不能超过65500）	任务排序分组	刷新规则(不配置为不刷新 1为每日刷新 2为每周刷新 3特殊刷新时间,单位天 4每周定期刷新)	//备注	分页名	任务名	任务介绍	任务或成就图标	标签{"颜色ID","表.key"})	排序	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	奖励列表	开始时间,格式	结束时间，格式同开始时间	每周定期刷新	跳转界面	跳转参数	条件跳转	背景图	背景SPINE	地区限制目前可填：0国内外,1国内,2海外
GroupID	MissionID	SortIndex	RefreshRule	Common	GroupDes	Name	Describe	Icon	Tag	Priority	PreID	ReceivedShow	Type	CheckValue	Param	Rewards	StartTime	EndTime	ResetDay	GotoUI	tbParam	ConditionGoto	BG	BGSpine	Coverage
1	1		4	【每周1\3\5刷新】累积劝降3个任意伙伴		vircapture.task_name_2	vircapture.task_desc_2		{"46DBD9","vircapture.task_icon_1"}			1	201	3		{{4,1,6,8,20000}}			{1,3,5}						
1	2		2	【周常】累计登录1天游戏		vircapture.task_name_1	vircapture.task_desc_1		{"FFC500","achievement.icon2"}			1	11	1		{{5,25,2,6,2},{4,1,6,9,5}}									
1	3		2	【周常】累计登录2天游戏		vircapture.task_name_1	vircapture.task_desc_1		{"FFC500","achievement.icon2"}			1	11	2		{{5,25,2,6,3},{4,1,6,9,10}}									
1	4		2	【周常】累计登录4天游戏		vircapture.task_name_1	vircapture.task_desc_1		{"FFC500","achievement.icon2"}			1	11	4		{{5,25,2,6,5},{4,1,6,9,15}}									
1	5		2	【周常】累积钓鱼5次		vircapture.task_name_9	vircapture.task_desc_9		{"FFC500","achievement.icon2"}			1	212	5		{{4,1,6,8,10000}}									
1	6		2	【周常】累积钓鱼15次		vircapture.task_name_9	vircapture.task_desc_9		{"FFC500","achievement.icon2"}			1	212	15		{{5,25,2,6,5},{5,25,2,5,1}}									
1	7		3	【定期】本次试炼吧！周期内，试炼积分达到1000		vircapture.task_name_4	vircapture.task_desc_4		{"46DBD9","achievement.icon3"}			1	203	1000		{{4,3,1,1,3000}}									
1	8		3	【定期】本次试炼吧！周期内，试炼积分达到3000		vircapture.task_name_4	vircapture.task_desc_4		{"46DBD9","achievement.icon3"}			1	203	3000		{{4,3,1,1,5000}}									
1	9		3	【定期】本次试炼吧！周期内，试炼积分达到5000		vircapture.task_name_4	vircapture.task_desc_4		{"46DBD9","achievement.icon3"}			1	203	5000		{{4,3,1,1,8000}}									
1	10		3	【定期】本次试炼吧！周期内，试炼积分达到7000		vircapture.task_name_4	vircapture.task_desc_4		{"46DBD9","achievement.icon3"}			1	203	7000		{{4,3,2,1,20}}									
2	11			【成就】开拓等级达到20级		vircapture.task_name_5	vircapture.task_desc_5					1	204	20		{{4,3,2,1,10}}									
2	12			【成就】开拓等级达到30级		vircapture.task_name_5	vircapture.task_desc_5					1	204	30		{{4,3,2,1,10}}									
2	13			【成就】开拓等级达到40级		vircapture.task_name_5	vircapture.task_desc_5					1	204	40		{{4,3,2,1,10}}									
2	14			【成就】闯关吧！普通模式中完成10个关卡挑战		vircapture.task_name_8	vircapture.task_desc_8_1					1	2	1	{5829}	{{4,3,2,1,10}}									
2	15			【成就】闯关吧！普通模式中完成20个关卡挑战		vircapture.task_name_8	vircapture.task_desc_8_2					1	2	1	{5839}	{{4,3,2,1,10}}									
2	16			【成就】闯关吧！普通模式中完成30个关卡挑战		vircapture.task_name_8	vircapture.task_desc_8_3					1	2	1	{5849}	{{4,3,2,1,10}}									
2	17			【成就】闯关吧！普通模式中完成40个关卡挑战		vircapture.task_name_8	vircapture.task_desc_8_4					1	2	1	{5859}	{{4,3,2,1,10}}									
2	18			【成就】闯关吧！普通模式中完成50个关卡挑战		vircapture.task_name_8	vircapture.task_desc_8_5					1	2	1	{5869}	{{4,3,2,1,20}}									
2	19			【成就】闯关吧！普通模式中完成60个关卡挑战		vircapture.task_name_8	vircapture.task_desc_8_6					1	2	1	{5879}	{{4,3,2,1,30}}									
2	20			【成就】累计劝降任意50个伙伴		vircapture.task_name_2	vircapture.task_desc_2					1	201	50		{{4,3,2,1,10}}									
2	21			【成就】累计劝降任意100个伙伴		vircapture.task_name_2	vircapture.task_desc_2					1	201	100		{{4,3,2,1,10}}									
2	22			【成就】累计劝降任意150个伙伴		vircapture.task_name_2	vircapture.task_desc_2					1	201	150		{{4,3,2,1,10}}									
2	23			【成就】累计劝降任意250个伙伴		vircapture.task_name_2	vircapture.task_desc_2					1	201	250		{{4,3,2,1,10}}									
2	24			【成就】累计劝降任意350个伙伴		vircapture.task_name_2	vircapture.task_desc_2					1	201	350		{{4,3,2,1,20}}									
2	25			【成就】累计劝降任意500个伙伴		vircapture.task_name_2	vircapture.task_desc_2					1	201	500		{{4,3,2,1,30}}									
2	26			【成就】在伙伴岛累计击败100个敌方目标		vircapture.task_name_3	vircapture.task_desc_3					1	216	100		{{4,3,2,1,10}}									
2	27			【成就】在伙伴岛累计击败300个敌方目标		vircapture.task_name_3	vircapture.task_desc_3					1	216	300		{{4,3,2,1,10}}									
2	28			【成就】在伙伴岛累计击败500个敌方目标		vircapture.task_name_3	vircapture.task_desc_3					1	216	500		{{4,3,2,1,10}}									
2	29			【成就】在伙伴岛累计击败800个敌方目标		vircapture.task_name_3	vircapture.task_desc_3					1	216	800		{{4,3,2,1,10}}									
2	30			【成就】在伙伴岛累计击败1100个敌方目标		vircapture.task_name_3	vircapture.task_desc_3					1	216	1100		{{4,3,2,1,20}}									
2	31			【成就】在伙伴岛累计击败1500个敌方目标		vircapture.task_name_3	vircapture.task_desc_3					1	216	1500		{{4,3,2,1,30}}									
2	32			【成就】累积钓鱼15次		vircapture.task_name_9	vircapture.task_desc_9					1	212	15		{{4,3,2,1,10}}									
2	33			【成就】累积钓鱼30次		vircapture.task_name_9	vircapture.task_desc_9					1	212	30		{{4,3,2,1,10}}									
2	34			【成就】累积钓鱼60次		vircapture.task_name_9	vircapture.task_desc_9					1	212	60		{{4,3,2,1,10}}									
2	35			【成就】累积钓鱼90次		vircapture.task_name_9	vircapture.task_desc_9					1	212	90		{{4,3,2,1,10}}									
2	36			【成就】累积钓鱼120次		vircapture.task_name_9	vircapture.task_desc_9					1	212	120		{{4,3,2,1,20}}									
2	37			【成就】累积钓鱼180次		vircapture.task_name_9	vircapture.task_desc_9					1	212	180		{{4,3,2,1,30}}									
2	38			【成就】累计进行5次技能升阶		vircapture.task_name_10	vircapture.task_desc_10					1	213	5		{{4,3,2,1,10}}									
2	39			【成就】累计进行20次技能升阶		vircapture.task_name_10	vircapture.task_desc_10					1	213	20		{{4,3,2,1,10}}									
2	40			【成就】累计进行40次技能升阶		vircapture.task_name_10	vircapture.task_desc_10					1	213	40		{{4,3,2,1,20}}									
2	41			【成就】累计进行60次技能升阶		vircapture.task_name_10	vircapture.task_desc_10					1	213	60		{{4,3,2,1,20}}									
2	42			【成就】累积解雇10个伙伴		vircapture.task_name_11	vircapture.task_desc_11					1	214	10		{{4,3,2,1,10}}									
2	43			【成就】累积解雇50个伙伴		vircapture.task_name_11	vircapture.task_desc_11					1	214	50		{{4,3,2,1,10}}									
2	44			【成就】累积解雇100个伙伴		vircapture.task_name_11	vircapture.task_desc_11					1	214	100		{{4,3,2,1,20}}									
2	45			【成就】累积解雇200个伙伴		vircapture.task_name_11	vircapture.task_desc_11					1	214	200		{{4,3,2,1,20}}									
2	46			【成就】快捷劝降中累计劝降10次		vircapture.task_name_12	vircapture.task_desc_12					1	215	10		{{4,3,2,1,10}}									
2	47			【成就】快捷劝降中累计劝降30次		vircapture.task_name_12	vircapture.task_desc_12					1	215	30		{{4,3,2,1,10}}									
2	48			【成就】快捷劝降中累计劝降50次		vircapture.task_name_12	vircapture.task_desc_12					1	215	50		{{4,3,2,1,20}}									
2	49			【成就】快捷劝降中累计劝降100次		vircapture.task_name_12	vircapture.task_desc_12					1	215	100		{{4,3,2,1,20}}									
2	50			【成就】累积开启10个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	10	{6}	{{4,3,2,1,10}}									
2	51			【成就】累积开启20个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	20	{6}	{{4,3,2,1,10}}									
2	52			【成就】累积开启30个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	30	{6}	{{4,3,2,1,10}}									
2	53			【成就】累积开启50个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	50	{6}	{{4,3,2,1,10}}									
2	54			【成就】累积开启70个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	70	{6}	{{4,3,2,1,20}}									
2	55			【成就】累积收集15个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	15	{4}	{{4,3,2,1,10}}									
2	56			【成就】累积收集30个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	30	{4}	{{4,3,2,1,10}}									
2	57			【成就】累积收集50个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	50	{4}	{{4,3,2,1,10}}									
2	58			【成就】累积收集70个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	70	{4}	{{4,3,2,1,10}}									
2	59			【成就】累积收集90个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	90	{4}	{{4,3,2,1,20}}									
2	60			【成就】累积打破10个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	10	{5}	{{4,3,2,1,10}}									
2	61			【成就】累积打破40个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	40	{5}	{{4,3,2,1,10}}									
2	62			【成就】累积打破80个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	80	{5}	{{4,3,2,1,10}}									
2	63			【成就】累积打破120个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	120	{5}	{{4,3,2,1,10}}									
2	64			【成就】累积打破160个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	160	{5}	{{4,3,2,1,20}}									
2	65			【成就】累积激活5个整备点		vircapture.task_name_13	vircapture.task_desc_13_4					1	219	5	{9}	{{4,3,2,1,10}}									
2	66			【成就】累积激活10个整备点		vircapture.task_name_13	vircapture.task_desc_13_4					1	219	10	{9}	{{4,3,2,1,10}}									
2	67			【成就】累积激活15个整备点		vircapture.task_name_13	vircapture.task_desc_13_4					1	219	15	{9}	{{4,3,2,1,10}}									
2	68			【成就】累积激活20个整备点		vircapture.task_name_13	vircapture.task_desc_13_4					1	219	20	{9}	{{4,3,2,1,10}}									
2	69			【成就】累积完成5个小目标		vircapture.task_name_13	vircapture.task_desc_13_5					1	219	5	{2}	{{4,3,2,1,10}}									
2	70			【成就】累积完成10个小目标		vircapture.task_name_13	vircapture.task_desc_13_5					1	219	10	{2}	{{4,3,2,1,10}}									
2	71			【成就】累积完成15个小目标		vircapture.task_name_13	vircapture.task_desc_13_5					1	219	15	{2}	{{4,3,2,1,20}}									
2	72			【成就】累积完成20个小目标		vircapture.task_name_13	vircapture.task_desc_13_5					1	219	20	{2}	{{4,3,2,1,30}}									
2	73			【成就】累积探索2个任意洞		vircapture.task_name_13	vircapture.task_desc_13_6					1	219	2	{8}	{{4,3,2,1,10}}									
