劝降等级	升级到下一级需要的经验	上阵栏位数量	阵容Cost上限	怪物等级	奖励配置	栏位显示	Cost显示	怪物等级显示	抽卡蓝品质概率	抽卡紫品质概率	抽卡金品质概率	开拓经验加成（不填默认1）
Level	Exp	Num	MaxCost	MonLv	Rewards	ShowNum	ShowMaxCost	ShowMonLv	BlueRate	PurpleRate	GoldRate	ExpUp
1	2000	1	10	101	{{4,3,1,1,2000},{5,2,1,3,1}}	1	10	1				1.5
2	4000	2	12	102	{{4,3,1,1,2000},{5,2,1,3,1}}	2	12	2				1.5
3	6000	3	14	103	{{4,3,1,1,2000},{5,2,1,3,1}}	3	14	3				1.5
4	6000	3	16	104	{{4,3,1,1,2000},{5,2,1,3,1}}	3	16	4				1.5
5	8000	3	18	105	{{4,3,1,1,2000},{5,2,1,3,1}}	3	18	5				1.5
6	8000	3	20	106	{{5,5,1,1,4},{5,2,1,3,1}}	3	20	6				1.5
7	10000	4	22	107	{{5,5,1,1,4},{5,2,1,3,1}}	4	22	7				1.5
8	10000	4	24	108	{{5,5,1,1,4},{5,2,1,3,1}}	4	24	8				1.5
9	12000	4	26	109	{{5,5,1,1,4},{5,2,1,3,1}}	4	26	9				1.5
10	12000	5	28	110	{{5,9,1,3,1},{5,5,1,1,4},{5,2,1,3,1}}	5	28	10	85	10	5	1.5
11	14000	5	30	111	{{5,5,1,1,4},{5,2,1,3,1}}	5	30	11	84	11	5	1.5
12	14000	5	32	112	{{5,5,1,1,4},{5,2,1,3,1}}	5	32	12	83	12	5	1.5
13	16000	5	34	113	{{5,5,1,1,4},{5,2,1,3,1}}	5	34	13	82	13	5	1.5
14	16000	5	36	114	{{5,5,1,1,4},{5,2,1,3,1}}	5	36	14	81	14	5	1.5
15	18000	5	38	115	{{5,5,1,4,1},{5,5,1,1,4},{5,2,1,3,1}}	5	38	15	80	15	5	1.5
16	18000	5	40	116	{{5,5,1,2,2},{5,2,1,3,1}}	5	40	16	79	16	5	1.5
17	20000	5	42	117	{{5,5,1,2,2},{5,2,1,3,1}}	5	42	17	78	17	5	1.5
18	20000	5	44	118	{{5,5,1,2,2},{5,2,1,3,1}}	5	44	18	77	18	5	1.5
19	24000	5	46	119	{{5,5,1,2,2},{5,2,1,3,1}}	5	46	19	76	19	5	1.5
20	24000	5	48	120	{{5,9,1,3,1},{5,5,1,2,2},{5,2,1,3,1}}	5	48	20	75	20	5	1.5
21	26000	5	50	121	{{5,5,1,2,2},{5,2,1,3,1}}	5	50	21	74	20	6	1.5
22	26000	5	50	122	{{5,5,1,2,2},{5,2,1,3,1}}	5	50	22	73	20	7	1.5
23	28000	5	50	123	{{5,5,1,2,2},{5,2,1,3,1}}	5	50	23	72	20	8	1.5
24	28000	5	50	124	{{5,5,1,2,2},{5,2,1,3,1}}	5	50	24	71	20	9	1.5
25	30000	5	50	125	{{9,2,41,3,1},{5,5,1,2,2},{5,2,1,3,1}}	5	50	25	70	20	10	
26	30000	5	50	126	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	26	70	20	10	
27	32000	5	50	127	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	27	70	20	10	
28	32000	5	50	128	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	28	70	20	10	
29	35000	5	50	129	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	29	70	20	10	
30	35000	5	50	130	{{5,5,1,4,1},{5,5,1,3,1},{5,2,1,3,1}}	5	50	30	70	20	10	
31	40000	5	50	131	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	31	70	20	10	
32	45000	5	50	132	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	32	70	20	10	
33	50000	5	50	133	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	33	70	20	10	
34	55000	5	50	134	{{5,5,1,3,1},{5,2,1,3,1}}	5	50	34	70	20	10	
35	60000	5	50	135	{{5,5,1,4,1},{5,5,1,3,1},{5,2,1,3,1}}	5	50	35	70	20	10	
36	65000	5	50	136	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	36	70	20	10	
37	70000	5	50	137	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	37	70	20	10	
38	75000	5	50	138	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	38	70	20	10	
39	80000	5	50	139	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	39	70	20	10	
40	80000	5	50	140	{{5,5,1,4,1},{4,3,1,1,3000},{5,2,1,3,1}}	5	50	40	70	20	10	
41	80000	5	50	141	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	41	70	20	10	
42	80000	5	50	142	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	42	70	20	10	
43	80000	5	50	143	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	43	70	20	10	
44	80000	5	50	144	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	44	70	20	10	
45	80000	5	50	145	{{9,2,61,1,1},{4,3,1,1,3000},{5,2,1,3,1}}	5	50	45	70	20	10	
46	80000	5	50	145	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	45	70	20	10	
47	80000	5	50	145	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	45	70	20	10	
48	80000	5	50	145	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	45	70	20	10	
49	80000	5	50	145	{{4,3,1,1,3000},{5,2,1,3,1}}	5	50	45	70	20	10	
50	80000	5	50	145	{{11,1,49,1,1},{4,3,1,1,3000},{5,2,1,3,1}}	5	50	45	70	20	10	
