奖励Id	抓捕进度	奖励内容
Id	Point	Rewards
1	1	{{4,1,6,5,10},{4,3,1,1,1000}}
2	2	{{4,1,6,5,10},{4,3,1,1,1000}}
3	3	{{4,1,6,5,10},{4,3,1,1,1000}}
4	4	{{4,1,6,5,10},{4,3,1,1,1000}}
5	5	{{4,1,6,5,10},{4,3,1,1,1000}}
6	6	{{4,1,6,5,10},{4,3,1,1,1000}}
7	7	{{4,1,6,5,10},{4,3,1,1,1000}}
8	8	{{4,1,6,5,10},{4,3,1,1,1000}}
9	9	{{4,1,6,5,10},{4,3,1,1,1000}}
10	10	{{4,1,6,5,10},{4,3,1,1,1000}}
11	11	{{4,1,6,5,10},{4,3,1,1,2000}}
12	12	{{4,1,6,5,10},{4,3,1,1,2000}}
13	13	{{4,1,6,5,10},{4,3,1,1,2000}}
14	14	{{4,1,6,5,10},{4,3,1,1,2000}}
15	15	{{4,1,6,5,10},{4,3,1,1,2000}}
16	16	{{4,1,6,5,10},{4,3,1,1,2000}}
17	17	{{4,1,6,5,10},{4,3,1,1,2000}}
18	18	{{4,1,6,5,10},{4,3,1,1,2000}}
19	19	{{4,1,6,5,10},{4,3,1,1,2000}}
20	20	{{4,1,6,5,10},{4,3,1,1,2000}}
21	21	{{4,1,6,5,10},{4,3,1,1,3000}}
22	22	{{4,1,6,5,10},{4,3,1,1,3000}}
23	23	{{4,1,6,5,10},{4,3,1,1,3000}}
24	24	{{4,1,6,5,10},{4,3,1,1,3000}}
25	25	{{4,1,6,5,10},{4,3,1,1,3000}}
26	26	{{4,1,6,5,10},{4,3,1,1,3000}}
27	27	{{4,1,6,5,10},{4,3,1,1,3000}}
28	28	{{4,1,6,5,10},{4,3,1,1,3000}}
29	29	{{4,1,6,5,10},{4,3,1,1,3000}}
30	30	{{4,1,6,5,10},{4,3,1,1,3000}}
31	31	{{4,1,6,5,10},{4,3,1,1,3000}}
32	32	{{15,1,3,1,1}}
33	33	{{4,1,6,5,10},{4,3,1,1,3000}}
34	34	{{4,1,6,5,10},{4,3,1,1,3000}}
35	35	{{4,1,6,5,10},{4,3,1,1,3000}}
36	36	{{4,1,6,5,10},{4,3,1,1,3000}}
37	37	{{4,1,6,5,10},{4,3,1,1,3000}}
38	38	{{4,1,6,5,10},{4,3,1,1,3000}}
39	39	{{4,1,6,5,10},{4,3,1,1,3000}}
40	40	{{4,1,6,5,10},{4,3,1,1,3000}}
41	41	{{4,1,6,5,10},{4,3,1,1,3000}}
42	42	{{4,1,6,5,10},{4,3,1,1,3000}}
43	43	{{4,1,6,5,10},{4,3,1,1,3000}}
44	44	{{4,1,6,5,10},{4,3,1,1,3000}}
