ID	备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	dlc版本	关卡Buff(SkillForPlayer)
ID	Comments	Type	MapID	FightID	Condition	ConsumeVigor	StarCondition	Monster	LevelStrength	ShowListType	RecommendPower	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	DLCVersion	Buff
5881	DLC9新星开拓2期-副本01	0	5881	1		{0,0}			19	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_01.CaveTask_01	9	{5000055}
5882	DLC9新星开拓2期-副本02	0	5881	1		{0,0}			19	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_02.CaveTask_02	9	{5000055}
5883	DLC9新星开拓2期-副本03	0	5881	1		{0,0}			19	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_03.CaveTask_03	9	{5000055}
5884	DLC9新星开拓2期-副本04	0	5881	1		{0,0}			19	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_04.CaveTask_04	9	{5000055}
5885	DLC9新星开拓2期-副本05	0	5882	1		{0,0}			19	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_05.CaveTask_05	9	{5000055}
5886	DLC9新星开拓2期-副本06	0	5881	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_06.CaveTask_06	9	{5000055}
5887	DLC9新星开拓2期-副本07	0	5881	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_07.CaveTask_07	9	{5000055}
5888	DLC9新星开拓2期-副本08	0	5884	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_08.CaveTask_08	9	{5000055}
5889	DLC9新星开拓2期-副本09	0	5881	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_09.CaveTask_09	9	{5000055}
5890	DLC9新星开拓2期-副本10	0	5881	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_10.CaveTask_10	9	{5000055}
5891	DLC9新星开拓2期-副本11	0	5883	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_11.CaveTask_11	9	{5000055}
5892	DLC9新星开拓2期-副本12	0	5881	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_12.CaveTask_12	9	{5000055}
5893	DLC9新星开拓2期-副本13	0	5882	1		{0,0}			17	0			0	0					{}									DLC9Task/Pal/Wilds/caves/CaveTask_13.CaveTask_13	9	{5000055}
