顺序ID	关卡ID，对应Level.txt中的关卡ID	关卡BUFF，对应固定的环境BUFF（可以多个）	BUff描述	不同难度对应的怪物等级	周期结束是否重置数据	星级条件 {{29,300},{29,180},{2,2}}			怪物信息{id,等级,id,等级}...}		
ID	LevelID	LevelBuff	BuffDesc	MonsterLevel	Reset	StarCondition1	StarCondition2	StarCondition3	Monster1	Monster2	Monster3
301	301	{8020011}	climbtower.8020011			{{29,60},{15,5},{6,80}}	{{29,60},{17,5},{21,10}}	{{29,60},{2,1},{29,50}}	{4001003,4001004}	{4001108,4001103}	{4001211,4001212,4001213}
302	302	{8020021}	climbtower.8020021			{{29,60},{27,1},{29,30}}	{{29,60},{27,1},{6,80}}	{{29,60},{2,1},{6,70}}	{4001002,4002002}	{4001002,4002002,4001003}	{4001002,4002002,4001003}
303	303	{8020031}	climbtower.8020031			{{29,60},{25,1},{24,2}}	{{29,60},{25,1},{6,80}}	{{29,60},{14,3},{29,50}}	{4001211}	{4001007,4001004}	{4001103,4001102,4001104}
304	304	{8020041}	climbtower.8020041			{{29,90},{20,20},{18,10}}	{{29,60},{20,20},{18,7}}	{{29,90},{20,20},{16,5}}			{5001111,4001108}
305	305	{8020051}	climbtower.8020051			{{29,90},{27,1},{6,80}}	{{29,90},{15,5},{6,80}}	{{29,60},{9},{29,50}}	{4001002,4001016}	{4002016,4001004}	{5001203}
306	306	{8020051}	climbtower.8020051			{{29,60},{16,5},{20,5}}	{{29,60},{18,5},{25,1}}	{{29,90},{16,5},{6,70}}	{4001003,4009013}	{4001211,4001213}	{5001214}
307	307	{8020061}	climbtower.8020061			{{29,60},{6,90},{21,9}}	{{29,60},{15,5},{29,50}}	{{29,120},{14,3},{9}}	{4009013}	{4009013,4008013}	{5001010,4008013}
308	308	{8020061}	climbtower.8020061			{{29,90},{16,5},{21,9}}	{{29,90},{17,5},{21,8}}	{{29,120},{27,2},{6,70}}	{4001003,4001004,4001002,4001108,4001103,4001114}	{4001013,4001005,4001004,4001211,4001213}	{5001205,4001004,4001002}
309	309	{8020071}	climbtower.8020071			{{29,90},{21,3},{29,70}}	{{29,120},{17,5},{29,90}}	{{29,120},{6,70},{29,100}}	{4001004,4001002,4001108,4001102}	{4001107,4001102,4001103,4001112}	{4001106,4001116,4001102,4001104}
310	310	{8020071}	climbtower.8020071			{{29,90},{24,3},{25,1}}	{{29,60},{16,5},{21,6}}	{{29,120},{6,60},{29,100}}	{4001211,4001212,4001213}	{4001003,4001004,4001005}	{500110901,5001101}
311	311	{8020081}	climbtower.8020081			{{29,90},{15,5},{20,5}}	{{29,90},{18,5},{6,60}}	{{29,120},{27,1},{9}}	{4001108,4001103,4001102}	{4001015}	{5001110}
312	312	{8020081}	climbtower.8020081			{{29,60},{16,5},{18,5}}	{{29,60},{14,5},{6,80}}	{{29,90},{17,3},{6,70}}	{4001004,4001005,4003016}	{4001108,4001103}	{5001206}
313	313	{8020091}	climbtower.8020091			{{29,40},{29,35},{29,30}}	{{29,60},{6,80},{29,50}}	{{29,120},{27,2},{6,60}}	{4001008}	{4001211,4001212,4001213}	{5001110,5002110}
314	314	{8020091}	climbtower.8020091			{{29,90},{24,3},{25,1}}	{{29,90},{18,5},{6,60}}	{{29,120},{9},{29,100}}	{4001005}	{4001003,4001004,4001006,4001016}	{5001208}
315	315	{8020101}	climbtower.8020101			{{29,60},{16,4},{20,5}}	{{29,90},{24,3},{25,1}}	{{29,120},{6,70},{29,90}}	{4001108}	{4001108,4001103}	{5001209}
316	316	{8020101}	climbtower.8020101			{{29,90},{20,20},{17,4}}	{{29,60},{29,50},{29,40}}	{{29,120},{6,70},{14,3}}		{4001116}	{5001204}
317	317	{8020111}	climbtower.8020111			{{29,60},{20,5},{20,3}}	{{29,90},{16,3},{29,60}}	{{29,150},{6,50},{9}}	{4001102}	{4001211,4001212,4001213}	{4001003,5002010}
