活动编号	活动开始时间	活动结束时间	基座关卡列表	大楼关卡列表	大楼解锁条件 1等级	当期BUFF（可以多个）	BUff描述
ID	StartTime	EndTime	Level1	Level2	Condition	BuffID	BuffDesc
1	[202112010400]	[202307200400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020901}	climbtower.8020901
2	[202307200400]	[202308010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020901}	climbtower.8020901
3	[202308010400]	[202308160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020902}	climbtower.8020902
4	[202308160400]	[202309010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020903}	climbtower.8020903
5	[202309010400]	[202309160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020904}	climbtower.8020904
6	[202309160400]	[202310010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020905}	climbtower.8020905
7	[202310010400]	[202310160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020906}	climbtower.8020906
8	[202310160400]	[202311010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020907}	climbtower.8020907
9	[202311010400]	[202311160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020908}	climbtower.8020908
10	[202311160400]	[202312010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020909}	climbtower.8020909
11	[202312010400]	[202312160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020910}	climbtower.8020910
12	[202312160400]	[202401010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020911}	climbtower.8020911
13	[202401010400]	[202401160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020912}	climbtower.8020912
14	[202401160400]	[202402010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020903}	climbtower.8020903
15	[202402010400]	[202402160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020903}	climbtower.8020903
16	[202402160400]	[202403010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020906}	climbtower.8020906
17	[202403010400]	[202403160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020906}	climbtower.8020906
18	[202403160400]	[202404010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020913}	climbtower.8020913
19	[202404010400]	[202404160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020902}	climbtower.8020902
20	[202404160400]	[202405010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020905}	climbtower.8020905
21	[202405010400]	[202405160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020905}	climbtower.8020905
22	[202405160400]	[202406010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020909}	climbtower.8020909
23	[202406010400]	[202406160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020915}	climbtower.8020915
24	[202406160400]	[202407010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020915}	climbtower.8020915
25	[202407010400]	[202407160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020903}	climbtower.8020903
26	[202407160400]	[202408010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020904}	climbtower.8020904
27	[202408010400]	[202408160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020911}	climbtower.8020911
28	[202408160400]	[202409010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020916}	climbtower.8020916
29	[202409010400]	[202409160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020916}	climbtower.8020916
30	[202409160400]	[202410010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020905}	climbtower.8020905
31	[202410010400]	[202410160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020031}	climbtower.8020031
32	[202410160400]	[202411010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020918}	climbtower.8020918
33	[202411010400]	[202411160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020918}	climbtower.8020918
34	[202411160400]	[202412010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020919}	climbtower.8020919
35	[202412010400]	[202412160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020919}	climbtower.8020919
36	[202412160400]	[202501010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020904}	climbtower.8020904
37	[202501010400]	[202501160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020021}	climbtower.8020021
38	[202501160400]	[202502010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020031}	climbtower.8020031
39	[202502010400]	[202502160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020920}	climbtower.8020920
