ID	备注	地图ID	战斗逻辑配置ID	解锁条件	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{G,D,P,L}}	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	关联growintensity怪物强度模板
ID	Comments	MapID	FightID	Condition	ConsumeVigor	StarCondition	Monster	ShowListType	RecommendPower	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	LevelStrength
301	tower01	301	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
302	tower02	302	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
303	tower03	303	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
304	tower04	304	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
305	tower05a	305	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	306	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
306	tower05b	306	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
307	tower06a	307	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	308	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
308	tower06b	308	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
309	tower07a	309	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	310	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
310	tower07b	310	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
